
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.01882477235894058, 'decay': 0.02466898106256942, 'dataset': 'texas', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'constant', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.4662723384814147, 'dropout': 0.4772766211800558, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.39, 'augment': False, 'method': 'euler', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1703])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.weight
torch.Size([5, 256])
m2.bias
torch.Size([5])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
Epoch: 1, Runtime: 0.1564, Loss: 1.629, forward nfe 12, backward nfe 0, tmp_train: 0.1600, tmp_val: 0.0200, tmp_test: 0.1084, Train: 0.1600, Val: 0.0200, Test: 0.1084, Best time: 2.3900
Epoch: 2, Runtime: 0.0981, Loss: 2.991, forward nfe 36, backward nfe 0, tmp_train: 0.2800, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.2800, Val: 0.1200, Test: 0.1687, Best time: 2.3900
Epoch: 3, Runtime: 0.1307, Loss: 8.180, forward nfe 60, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 4, Runtime: 0.1640, Loss: 5.300, forward nfe 84, backward nfe 0, tmp_train: 0.2800, tmp_val: 0.0400, tmp_test: 0.0723, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 5, Runtime: 0.1021, Loss: 2.672, forward nfe 108, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.0400, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 6, Runtime: 0.1295, Loss: 3.503, forward nfe 132, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1000, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 7, Runtime: 0.1284, Loss: 3.903, forward nfe 156, backward nfe 0, tmp_train: 0.3000, tmp_val: 0.1000, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 8, Runtime: 0.0961, Loss: 3.839, forward nfe 180, backward nfe 0, tmp_train: 0.6400, tmp_val: 0.4800, tmp_test: 0.5060, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 9, Runtime: 0.1157, Loss: 2.054, forward nfe 204, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
/root/miniconda3/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Euler: Unexpected arguments {'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 10, Runtime: 0.1631, Loss: 3.541, forward nfe 228, backward nfe 0, tmp_train: 0.6000, tmp_val: 0.6000, tmp_test: 0.4578, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 11, Runtime: 0.1343, Loss: 2.827, forward nfe 252, backward nfe 0, tmp_train: 0.7400, tmp_val: 0.4200, tmp_test: 0.4940, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 12, Runtime: 0.1114, Loss: 2.815, forward nfe 276, backward nfe 0, tmp_train: 0.5000, tmp_val: 0.1800, tmp_test: 0.2410, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 13, Runtime: 0.1130, Loss: 2.667, forward nfe 300, backward nfe 0, tmp_train: 0.6000, tmp_val: 0.2800, tmp_test: 0.3735, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 14, Runtime: 0.1343, Loss: 2.673, forward nfe 324, backward nfe 0, tmp_train: 0.7200, tmp_val: 0.5600, tmp_test: 0.5422, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 15, Runtime: 0.0806, Loss: 2.438, forward nfe 348, backward nfe 0, tmp_train: 0.6800, tmp_val: 0.6800, tmp_test: 0.5904, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 16, Runtime: 0.1589, Loss: 1.786, forward nfe 372, backward nfe 0, tmp_train: 0.6400, tmp_val: 0.6600, tmp_test: 0.4819, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 17, Runtime: 0.0835, Loss: 2.008, forward nfe 396, backward nfe 0, tmp_train: 0.7200, tmp_val: 0.6800, tmp_test: 0.5181, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
Epoch: 18, Runtime: 0.1200, Loss: 1.655, forward nfe 420, backward nfe 0, tmp_train: 0.8200, tmp_val: 0.6600, tmp_test: 0.5301, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.3900
