
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.01882477235894058, 'decay': 0.02466898106256942, 'dataset': 'texas', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'constant', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.4662723384814147, 'dropout': 0.4772766211800558, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.2, 'augment': False, 'method': 'euler', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1703])
m1.bias
torch.Size([256])
m2.weight
torch.Size([5, 256])
m2.bias
torch.Size([5])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
Epoch: 1, Runtime: 0.0749, Loss: 1.627, forward nfe 5, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.2600, Val: 0.1200, Test: 0.1687, Best time: 2.2000
Epoch: 2, Runtime: 0.0830, Loss: 1.432, forward nfe 15, backward nfe 0, tmp_train: 0.3800, tmp_val: 0.7400, tmp_test: 0.5542, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 3, Runtime: 0.0835, Loss: 2.119, forward nfe 25, backward nfe 0, tmp_train: 0.2000, tmp_val: 0.0200, tmp_test: 0.1084, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
/root/miniconda3/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Euler: Unexpected arguments {'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 4, Runtime: 0.1219, Loss: 1.812, forward nfe 35, backward nfe 0, tmp_train: 0.8200, tmp_val: 0.3200, tmp_test: 0.4578, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 5, Runtime: 0.0773, Loss: 1.031, forward nfe 45, backward nfe 0, tmp_train: 0.6200, tmp_val: 0.4000, tmp_test: 0.4458, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 6, Runtime: 0.0604, Loss: 1.105, forward nfe 55, backward nfe 0, tmp_train: 0.6800, tmp_val: 0.6800, tmp_test: 0.6386, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 7, Runtime: 0.0912, Loss: 1.202, forward nfe 65, backward nfe 0, tmp_train: 0.6800, tmp_val: 0.7400, tmp_test: 0.6265, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 8, Runtime: 0.1073, Loss: 0.973, forward nfe 75, backward nfe 0, tmp_train: 0.7600, tmp_val: 0.7200, tmp_test: 0.6386, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 9, Runtime: 0.1194, Loss: 0.869, forward nfe 85, backward nfe 0, tmp_train: 0.8200, tmp_val: 0.5800, tmp_test: 0.5422, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 10, Runtime: 0.0879, Loss: 0.850, forward nfe 95, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.5600, tmp_test: 0.5542, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 11, Runtime: 0.0781, Loss: 0.750, forward nfe 105, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.5400, tmp_test: 0.5663, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 12, Runtime: 0.1144, Loss: 0.741, forward nfe 115, backward nfe 0, tmp_train: 0.9600, tmp_val: 0.5800, tmp_test: 0.6386, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 13, Runtime: 0.1155, Loss: 0.669, forward nfe 125, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.5600, tmp_test: 0.5542, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 14, Runtime: 0.0851, Loss: 0.613, forward nfe 135, backward nfe 0, tmp_train: 0.8600, tmp_val: 0.5800, tmp_test: 0.6024, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 15, Runtime: 0.0897, Loss: 0.653, forward nfe 145, backward nfe 0, tmp_train: 0.8800, tmp_val: 0.6000, tmp_test: 0.6265, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 16, Runtime: 0.0898, Loss: 0.580, forward nfe 155, backward nfe 0, tmp_train: 0.8000, tmp_val: 0.6200, tmp_test: 0.6506, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 17, Runtime: 0.1255, Loss: 0.706, forward nfe 165, backward nfe 0, tmp_train: 0.9400, tmp_val: 0.6000, tmp_test: 0.6265, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
Epoch: 18, Runtime: 0.0858, Loss: 0.476, forward nfe 175, backward nfe 0, tmp_train: 0.8800, tmp_val: 0.5600, tmp_test: 0.5663, Train: 0.3800, Val: 0.7400, Test: 0.5542, Best time: 2.2000
