
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
/root/miniconda3/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: RK4: Unexpected arguments {'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.01882477235894058, 'decay': 0.02466898106256942, 'dataset': 'texas', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'constant', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.4662723384814147, 'dropout': 0.4772766211800558, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.19, 'augment': False, 'method': 'rk4', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1703])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([5, 32])
m2.m22.bias
torch.Size([5])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
Epoch: 1, Runtime: 0.1443, Loss: 1.648, forward nfe 20, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.0800, tmp_test: 0.1566, Train: 0.2400, Val: 0.0800, Test: 0.1566, Best time: 2.1900
Epoch: 2, Runtime: 0.0978, Loss: 1.668, forward nfe 60, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1400, tmp_test: 0.1566, Train: 0.2600, Val: 0.1400, Test: 0.1566, Best time: 2.1900
Epoch: 3, Runtime: 0.0862, Loss: 1.625, forward nfe 100, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.2600, Val: 0.1400, Test: 0.1566, Best time: 2.1900
Epoch: 4, Runtime: 0.0874, Loss: 1.610, forward nfe 140, backward nfe 0, tmp_train: 0.3000, tmp_val: 0.1800, tmp_test: 0.2289, Train: 0.3000, Val: 0.1800, Test: 0.2289, Best time: 2.1900
Epoch: 5, Runtime: 0.1157, Loss: 1.499, forward nfe 180, backward nfe 0, tmp_train: 0.3000, tmp_val: 0.0800, tmp_test: 0.2410, Train: 0.3000, Val: 0.1800, Test: 0.2289, Best time: 2.1900
Epoch: 6, Runtime: 0.1105, Loss: 1.476, forward nfe 220, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3000, Val: 0.1800, Test: 0.2289, Best time: 2.1900
Epoch: 7, Runtime: 0.0879, Loss: 1.514, forward nfe 260, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3000, Val: 0.1800, Test: 0.2289, Best time: 2.1900
Epoch: 8, Runtime: 0.1131, Loss: 1.580, forward nfe 300, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3000, Val: 0.1800, Test: 0.2289, Best time: 2.1900
Epoch: 9, Runtime: 0.1170, Loss: 1.465, forward nfe 340, backward nfe 0, tmp_train: 0.4800, tmp_val: 0.5600, tmp_test: 0.5181, Train: 0.4800, Val: 0.5600, Test: 0.5181, Best time: 2.1900
Epoch: 10, Runtime: 0.0849, Loss: 1.570, forward nfe 380, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7600, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 11, Runtime: 0.1000, Loss: 1.521, forward nfe 420, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 12, Runtime: 0.1163, Loss: 1.640, forward nfe 460, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 13, Runtime: 0.0865, Loss: 1.617, forward nfe 500, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 14, Runtime: 0.0929, Loss: 1.592, forward nfe 540, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 15, Runtime: 0.1100, Loss: 1.571, forward nfe 580, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 16, Runtime: 0.1231, Loss: 1.547, forward nfe 620, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 17, Runtime: 0.0852, Loss: 1.649, forward nfe 660, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 18, Runtime: 0.0849, Loss: 1.561, forward nfe 700, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 19, Runtime: 0.1229, Loss: 1.556, forward nfe 740, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 20, Runtime: 0.0880, Loss: 1.549, forward nfe 780, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 21, Runtime: 0.0868, Loss: 1.492, forward nfe 820, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
Epoch: 22, Runtime: 0.0980, Loss: 1.548, forward nfe 860, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3600, Val: 0.7600, Test: 0.5663, Best time: 2.1900
