
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
/root/miniconda3/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: RK4: Unexpected arguments {'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.01882477235894058, 'decay': 0.02466898106256942, 'dataset': 'texas', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'constant', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.4662723384814147, 'dropout': 0.4772766211800558, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.5, 'augment': False, 'method': 'rk4', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1703])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([5, 256])
m2.m22.bias
torch.Size([5])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
Epoch: 1, Runtime: 0.1324, Loss: 1.656, forward nfe 24, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.2600, Val: 0.1200, Test: 0.1687, Best time: 2.5000
Epoch: 2, Runtime: 0.1574, Loss: 1.575, forward nfe 72, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 3, Runtime: 0.1501, Loss: 1.843, forward nfe 120, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1400, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 4, Runtime: 0.1584, Loss: 1.976, forward nfe 168, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 5, Runtime: 0.1459, Loss: 1.802, forward nfe 216, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 6, Runtime: 0.1379, Loss: 1.684, forward nfe 264, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 7, Runtime: 0.1743, Loss: 1.637, forward nfe 312, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1800, tmp_test: 0.2410, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 8, Runtime: 0.1446, Loss: 1.872, forward nfe 360, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1800, tmp_test: 0.2410, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 9, Runtime: 0.1698, Loss: 1.554, forward nfe 408, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1400, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 10, Runtime: 0.1440, Loss: 1.668, forward nfe 456, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 11, Runtime: 0.1410, Loss: 1.663, forward nfe 504, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.4200, tmp_test: 0.4217, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 12, Runtime: 0.1631, Loss: 1.644, forward nfe 552, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 13, Runtime: 0.1546, Loss: 1.833, forward nfe 600, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1400, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 14, Runtime: 0.1645, Loss: 1.896, forward nfe 648, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.4600, tmp_test: 0.4217, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 15, Runtime: 0.1545, Loss: 1.783, forward nfe 696, backward nfe 0, tmp_train: 0.2000, tmp_val: 0.3200, tmp_test: 0.3614, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 16, Runtime: 0.1643, Loss: 2.041, forward nfe 744, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1600, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 17, Runtime: 0.1922, Loss: 1.915, forward nfe 792, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1400, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 18, Runtime: 0.1435, Loss: 1.702, forward nfe 840, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 19, Runtime: 0.1418, Loss: 1.738, forward nfe 888, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1000, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 20, Runtime: 0.1792, Loss: 1.758, forward nfe 936, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 21, Runtime: 0.1414, Loss: 1.670, forward nfe 984, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.2000, tmp_test: 0.2410, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 22, Runtime: 0.1619, Loss: 1.583, forward nfe 1032, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1800, tmp_test: 0.2169, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 23, Runtime: 0.1439, Loss: 1.831, forward nfe 1080, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1400, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 24, Runtime: 0.1493, Loss: 1.660, forward nfe 1128, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1000, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 25, Runtime: 0.1464, Loss: 1.818, forward nfe 1176, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1000, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 26, Runtime: 0.1531, Loss: 1.746, forward nfe 1224, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1000, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 27, Runtime: 0.1561, Loss: 1.833, forward nfe 1272, backward nfe 0, tmp_train: 0.2800, tmp_val: 0.1200, tmp_test: 0.2771, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 28, Runtime: 0.1416, Loss: 1.673, forward nfe 1320, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 29, Runtime: 0.1483, Loss: 1.599, forward nfe 1368, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 30, Runtime: 0.1485, Loss: 1.651, forward nfe 1416, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.2000, tmp_test: 0.2410, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 31, Runtime: 0.1574, Loss: 1.912, forward nfe 1464, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 32, Runtime: 0.1547, Loss: 1.811, forward nfe 1512, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 33, Runtime: 0.1575, Loss: 1.662, forward nfe 1560, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 34, Runtime: 0.1692, Loss: 1.684, forward nfe 1608, backward nfe 0, tmp_train: 0.4600, tmp_val: 0.6600, tmp_test: 0.6506, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
Epoch: 35, Runtime: 0.1584, Loss: 1.741, forward nfe 1656, backward nfe 0, tmp_train: 0.4000, tmp_val: 0.7000, tmp_test: 0.6265, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.5000
