
rep 0
{'use_best_params': False, 'gpu': 0, 'epoch': 100, 'patience': None, 'optimizer': 'adam', 'lr': 0.01, 'decay': 0.0005, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0.0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 1, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'constant', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5, 'dropout': 0.0, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 1.0, 'augment': False, 'method': None, 'step_size': 0.1, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gat', 'beta_diag': False, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'example', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.weight
torch.Size([7, 64])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
/root/miniconda3/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 0.1, 'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 1, Runtime: 2.2931, Loss: 1.952, forward nfe 32, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.5779, tmp_test: 0.6010, Train: 0.9500, Val: 0.5779, Test: 0.6010, Best time: 1.0000
Epoch: 2, Runtime: 0.2188, Loss: 1.736, forward nfe 96, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6816, tmp_test: 0.6893, Train: 0.9857, Val: 0.6816, Test: 0.6893, Best time: 1.0000
Epoch: 3, Runtime: 0.2572, Loss: 1.492, forward nfe 166, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7015, tmp_test: 0.6995, Train: 0.9857, Val: 0.7015, Test: 0.6995, Best time: 1.0000
Epoch: 4, Runtime: 0.2613, Loss: 1.287, forward nfe 242, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7074, tmp_test: 0.7056, Train: 0.9857, Val: 0.7074, Test: 0.7056, Best time: 1.0000
Epoch: 5, Runtime: 0.2872, Loss: 1.036, forward nfe 324, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7140, tmp_test: 0.7168, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 6, Runtime: 0.2951, Loss: 0.802, forward nfe 406, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7132, tmp_test: 0.7147, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 7, Runtime: 0.3128, Loss: 0.624, forward nfe 494, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7066, tmp_test: 0.7168, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 8, Runtime: 0.3492, Loss: 0.433, forward nfe 594, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6963, tmp_test: 0.7147, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 9, Runtime: 0.3501, Loss: 0.338, forward nfe 700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6868, tmp_test: 0.7066, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 10, Runtime: 0.3630, Loss: 0.293, forward nfe 806, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6779, tmp_test: 0.6975, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 11, Runtime: 0.4246, Loss: 0.155, forward nfe 930, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6676, tmp_test: 0.6954, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 12, Runtime: 0.4417, Loss: 0.119, forward nfe 1066, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6581, tmp_test: 0.6822, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 13, Runtime: 0.4719, Loss: 0.109, forward nfe 1202, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6537, tmp_test: 0.6761, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 14, Runtime: 0.5236, Loss: 0.090, forward nfe 1350, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6544, tmp_test: 0.6711, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 15, Runtime: 0.5256, Loss: 0.074, forward nfe 1510, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6500, tmp_test: 0.6711, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 16, Runtime: 0.5462, Loss: 0.061, forward nfe 1664, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6471, tmp_test: 0.6670, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 17, Runtime: 0.5515, Loss: 0.043, forward nfe 1830, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6441, tmp_test: 0.6589, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 18, Runtime: 0.6137, Loss: 0.025, forward nfe 2032, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6434, tmp_test: 0.6650, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
Epoch: 19, Runtime: 0.6912, Loss: 0.042, forward nfe 2240, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6419, tmp_test: 0.6640, Train: 0.9929, Val: 0.7140, Test: 0.7168, Best time: 1.0000
