
rep 0
{'use_best_params': False, 'gpu': 0, 'epoch': 100, 'patience': None, 'optimizer': 'adam', 'lr': 0.01, 'decay': 0.0005, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0.0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 1, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'constant', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5, 'dropout': 0.0, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 1.0, 'augment': False, 'method': None, 'step_size': 0.1, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gat', 'beta_diag': False, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.weight
torch.Size([7, 64])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
/root/miniconda3/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 0.1, 'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 1, Runtime: 2.3218, Loss: 1.950, forward nfe 32, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.4331, tmp_test: 0.4244, Train: 0.8786, Val: 0.4331, Test: 0.4244, Best time: 1.0000
Epoch: 2, Runtime: 0.2384, Loss: 1.715, forward nfe 96, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.5735, tmp_test: 0.5492, Train: 0.9786, Val: 0.5735, Test: 0.5492, Best time: 1.0000
Epoch: 3, Runtime: 0.2490, Loss: 1.465, forward nfe 166, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6324, tmp_test: 0.6142, Train: 0.9786, Val: 0.6324, Test: 0.6142, Best time: 1.0000
Epoch: 4, Runtime: 0.2439, Loss: 1.223, forward nfe 242, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6794, tmp_test: 0.6508, Train: 0.9929, Val: 0.6794, Test: 0.6508, Best time: 1.0000
Epoch: 5, Runtime: 0.2411, Loss: 0.984, forward nfe 318, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7096, tmp_test: 0.6690, Train: 0.9929, Val: 0.7096, Test: 0.6690, Best time: 1.0000
Epoch: 6, Runtime: 0.2763, Loss: 0.771, forward nfe 400, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7294, tmp_test: 0.6893, Train: 1.0000, Val: 0.7294, Test: 0.6893, Best time: 1.0000
Epoch: 7, Runtime: 0.2771, Loss: 0.555, forward nfe 488, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7353, tmp_test: 0.6985, Train: 1.0000, Val: 0.7353, Test: 0.6985, Best time: 1.0000
Epoch: 8, Runtime: 0.3230, Loss: 0.414, forward nfe 582, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7397, tmp_test: 0.7005, Train: 1.0000, Val: 0.7397, Test: 0.7005, Best time: 1.0000
Epoch: 9, Runtime: 0.3416, Loss: 0.297, forward nfe 688, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7397, tmp_test: 0.6975, Train: 1.0000, Val: 0.7397, Test: 0.7005, Best time: 1.0000
Epoch: 10, Runtime: 0.3484, Loss: 0.241, forward nfe 794, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7397, tmp_test: 0.7096, Train: 1.0000, Val: 0.7397, Test: 0.7005, Best time: 1.0000
Epoch: 11, Runtime: 0.3872, Loss: 0.179, forward nfe 906, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7463, tmp_test: 0.7147, Train: 1.0000, Val: 0.7463, Test: 0.7147, Best time: 1.0000
Epoch: 12, Runtime: 0.4019, Loss: 0.151, forward nfe 1030, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7471, tmp_test: 0.7157, Train: 1.0000, Val: 0.7471, Test: 0.7157, Best time: 1.0000
Epoch: 13, Runtime: 0.4319, Loss: 0.090, forward nfe 1160, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7485, tmp_test: 0.7188, Train: 1.0000, Val: 0.7485, Test: 0.7188, Best time: 1.0000
Epoch: 14, Runtime: 0.4936, Loss: 0.072, forward nfe 1302, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7500, tmp_test: 0.7188, Train: 1.0000, Val: 0.7500, Test: 0.7188, Best time: 1.0000
Epoch: 15, Runtime: 0.5191, Loss: 0.067, forward nfe 1468, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7478, tmp_test: 0.7157, Train: 1.0000, Val: 0.7500, Test: 0.7188, Best time: 1.0000
Epoch: 16, Runtime: 0.4665, Loss: 0.062, forward nfe 1622, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7522, tmp_test: 0.7208, Train: 1.0000, Val: 0.7522, Test: 0.7208, Best time: 1.0000
Epoch: 17, Runtime: 0.5056, Loss: 0.041, forward nfe 1764, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7507, tmp_test: 0.7168, Train: 1.0000, Val: 0.7522, Test: 0.7208, Best time: 1.0000
Epoch: 18, Runtime: 0.5384, Loss: 0.037, forward nfe 1942, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7507, tmp_test: 0.7147, Train: 1.0000, Val: 0.7522, Test: 0.7208, Best time: 1.0000
Epoch: 19, Runtime: 0.5426, Loss: 0.020, forward nfe 2114, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7507, tmp_test: 0.7147, Train: 1.0000, Val: 0.7522, Test: 0.7208, Best time: 1.0000
Epoch: 20, Runtime: 0.5603, Loss: 0.029, forward nfe 2286, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7463, tmp_test: 0.7157, Train: 1.0000, Val: 0.7522, Test: 0.7208, Best time: 1.0000
