
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.0029496654117168557, 'decay': 0.013789766632941278, 'dataset': 'Citeseer', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5224892802449188, 'dropout': 0.46161962752030056, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.02, 'augment': False, 'method': 'euler', 'step_size': 0.1, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'cos_3', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'oversmoothing', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 3703])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([6, 128])
m2.m22.bias
torch.Size([6])
odeblock.odefunc.alpha_train
torch.Size([1, 128])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1997, Loss: 1.800, forward nfe 21, backward nfe 0, tmp_train: 0.2750, tmp_val: 0.3007, tmp_test: 0.2903, Train: 0.2750, Val: 0.3007, Test: 0.2903, Best time: 2.0200
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7715, Loss: 1.786, forward nfe 63, backward nfe 0, tmp_train: 0.4000, tmp_val: 0.3203, tmp_test: 0.3065, Train: 0.4000, Val: 0.3203, Test: 0.3065, Best time: 2.0200
Epoch: 3, Runtime: 1.4170, Loss: 1.776, forward nfe 105, backward nfe 0, tmp_train: 0.5917, tmp_val: 0.4210, tmp_test: 0.4032, Train: 0.5917, Val: 0.4210, Test: 0.4032, Best time: 2.0200
Epoch: 4, Runtime: 0.1160, Loss: 1.755, forward nfe 147, backward nfe 0, tmp_train: 0.7417, tmp_val: 0.5514, tmp_test: 0.5516, Train: 0.7417, Val: 0.5514, Test: 0.5516, Best time: 2.0200
Epoch: 5, Runtime: 0.1137, Loss: 1.725, forward nfe 189, backward nfe 0, tmp_train: 0.8250, tmp_val: 0.6543, tmp_test: 0.6468, Train: 0.8250, Val: 0.6543, Test: 0.6468, Best time: 2.0200
Epoch: 6, Runtime: 0.1098, Loss: 1.738, forward nfe 231, backward nfe 0, tmp_train: 0.8750, tmp_val: 0.6906, tmp_test: 0.6726, Train: 0.8750, Val: 0.6906, Test: 0.6726, Best time: 2.0200
Epoch: 7, Runtime: 0.1108, Loss: 1.692, forward nfe 273, backward nfe 0, tmp_train: 0.8750, tmp_val: 0.6862, tmp_test: 0.6694, Train: 0.8750, Val: 0.6906, Test: 0.6726, Best time: 2.0200
Epoch: 8, Runtime: 0.1140, Loss: 1.677, forward nfe 315, backward nfe 0, tmp_train: 0.9167, tmp_val: 0.6899, tmp_test: 0.6726, Train: 0.8750, Val: 0.6906, Test: 0.6726, Best time: 2.0200
Epoch: 9, Runtime: 0.1128, Loss: 1.633, forward nfe 357, backward nfe 0, tmp_train: 0.9250, tmp_val: 0.6877, tmp_test: 0.6677, Train: 0.8750, Val: 0.6906, Test: 0.6726, Best time: 2.0200
Epoch: 10, Runtime: 0.1132, Loss: 1.668, forward nfe 399, backward nfe 0, tmp_train: 0.9333, tmp_val: 0.6906, tmp_test: 0.6694, Train: 0.8750, Val: 0.6906, Test: 0.6726, Best time: 2.0200
Epoch: 11, Runtime: 0.1271, Loss: 1.628, forward nfe 441, backward nfe 0, tmp_train: 0.9333, tmp_val: 0.6884, tmp_test: 0.6694, Train: 0.8750, Val: 0.6906, Test: 0.6726, Best time: 2.0200
Epoch: 12, Runtime: 0.1123, Loss: 1.579, forward nfe 483, backward nfe 0, tmp_train: 0.9333, tmp_val: 0.6862, tmp_test: 0.6726, Train: 0.8750, Val: 0.6906, Test: 0.6726, Best time: 2.0200
Epoch: 13, Runtime: 0.1080, Loss: 1.597, forward nfe 525, backward nfe 0, tmp_train: 0.9417, tmp_val: 0.6920, tmp_test: 0.6839, Train: 0.9417, Val: 0.6920, Test: 0.6839, Best time: 2.0200
Epoch: 14, Runtime: 0.1063, Loss: 1.529, forward nfe 567, backward nfe 0, tmp_train: 0.9417, tmp_val: 0.6957, tmp_test: 0.6871, Train: 0.9417, Val: 0.6957, Test: 0.6871, Best time: 2.0200
Epoch: 15, Runtime: 0.1123, Loss: 1.523, forward nfe 609, backward nfe 0, tmp_train: 0.9417, tmp_val: 0.7043, tmp_test: 0.6839, Train: 0.9417, Val: 0.7043, Test: 0.6839, Best time: 2.0200
Epoch: 16, Runtime: 0.1139, Loss: 1.454, forward nfe 651, backward nfe 0, tmp_train: 0.9417, tmp_val: 0.7058, tmp_test: 0.6935, Train: 0.9417, Val: 0.7058, Test: 0.6935, Best time: 2.0200
Epoch: 17, Runtime: 0.1086, Loss: 1.382, forward nfe 693, backward nfe 0, tmp_train: 0.9417, tmp_val: 0.7043, tmp_test: 0.6968, Train: 0.9417, Val: 0.7058, Test: 0.6935, Best time: 2.0200
Epoch: 18, Runtime: 0.1107, Loss: 1.419, forward nfe 735, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7101, tmp_test: 0.6984, Train: 0.9500, Val: 0.7101, Test: 0.6984, Best time: 2.0200
Epoch: 19, Runtime: 0.1100, Loss: 1.433, forward nfe 777, backward nfe 0, tmp_train: 0.9583, tmp_val: 0.7109, tmp_test: 0.6968, Train: 0.9583, Val: 0.7109, Test: 0.6968, Best time: 2.0200
Epoch: 20, Runtime: 0.1065, Loss: 1.308, forward nfe 819, backward nfe 0, tmp_train: 0.9583, tmp_val: 0.7130, tmp_test: 0.7000, Train: 0.9583, Val: 0.7130, Test: 0.7000, Best time: 2.0200
Epoch: 21, Runtime: 0.1077, Loss: 1.381, forward nfe 861, backward nfe 0, tmp_train: 0.9583, tmp_val: 0.7138, tmp_test: 0.6984, Train: 0.9583, Val: 0.7138, Test: 0.6984, Best time: 2.0200
