
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.0029496654117168557, 'decay': 0.013789766632941278, 'dataset': 'Citeseer', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5224892802449188, 'dropout': 0.46161962752030056, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.33, 'augment': False, 'method': 'rk4', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'cos_1', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'oversmoothing', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 3703])
m1.bias
torch.Size([128])
m2.weight
torch.Size([6, 128])
m2.bias
torch.Size([6])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1896, Loss: 1.789, forward nfe 32, backward nfe 0, tmp_train: 0.9250, tmp_val: 0.4797, tmp_test: 0.5145, Train: 0.9250, Val: 0.4797, Test: 0.5145, Best time: 2.3300
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7594, Loss: 1.662, forward nfe 96, backward nfe 0, tmp_train: 0.9833, tmp_val: 0.6217, tmp_test: 0.6661, Train: 0.9833, Val: 0.6217, Test: 0.6661, Best time: 2.3300
Epoch: 3, Runtime: 1.4139, Loss: 1.517, forward nfe 160, backward nfe 0, tmp_train: 0.9917, tmp_val: 0.6464, tmp_test: 0.6839, Train: 0.9917, Val: 0.6464, Test: 0.6839, Best time: 2.3300
Epoch: 4, Runtime: 0.0999, Loss: 1.357, forward nfe 224, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6587, tmp_test: 0.6823, Train: 1.0000, Val: 0.6587, Test: 0.6823, Best time: 2.3300
Epoch: 5, Runtime: 0.1157, Loss: 1.183, forward nfe 288, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6696, tmp_test: 0.6871, Train: 1.0000, Val: 0.6696, Test: 0.6871, Best time: 2.3300
Epoch: 6, Runtime: 0.1016, Loss: 1.017, forward nfe 352, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6717, tmp_test: 0.6919, Train: 1.0000, Val: 0.6717, Test: 0.6919, Best time: 2.3300
Epoch: 7, Runtime: 0.0992, Loss: 0.913, forward nfe 416, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6754, tmp_test: 0.6919, Train: 1.0000, Val: 0.6754, Test: 0.6919, Best time: 2.3300
Epoch: 8, Runtime: 0.1070, Loss: 0.760, forward nfe 480, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6768, tmp_test: 0.7000, Train: 1.0000, Val: 0.6768, Test: 0.7000, Best time: 2.3300
Epoch: 9, Runtime: 0.1208, Loss: 0.636, forward nfe 544, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6797, tmp_test: 0.7097, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 10, Runtime: 0.1121, Loss: 0.489, forward nfe 608, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6783, tmp_test: 0.7113, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 11, Runtime: 0.1029, Loss: 0.457, forward nfe 672, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6768, tmp_test: 0.7129, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 12, Runtime: 0.1105, Loss: 0.358, forward nfe 736, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6725, tmp_test: 0.7081, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 13, Runtime: 0.0983, Loss: 0.290, forward nfe 800, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6703, tmp_test: 0.7032, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 14, Runtime: 0.1024, Loss: 0.243, forward nfe 864, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6696, tmp_test: 0.7000, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 15, Runtime: 0.1120, Loss: 0.194, forward nfe 928, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6667, tmp_test: 0.6919, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 16, Runtime: 0.1156, Loss: 0.189, forward nfe 992, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6652, tmp_test: 0.6935, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 17, Runtime: 0.1143, Loss: 0.165, forward nfe 1056, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6594, tmp_test: 0.6887, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 18, Runtime: 0.0965, Loss: 0.166, forward nfe 1120, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6565, tmp_test: 0.6871, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 19, Runtime: 0.0969, Loss: 0.128, forward nfe 1184, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6536, tmp_test: 0.6855, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 20, Runtime: 0.0963, Loss: 0.101, forward nfe 1248, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6529, tmp_test: 0.6790, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
Epoch: 21, Runtime: 0.1033, Loss: 0.092, forward nfe 1312, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6529, tmp_test: 0.6774, Train: 1.0000, Val: 0.6797, Test: 0.7097, Best time: 2.3300
