
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.0029496654117168557, 'decay': 0.013789766632941278, 'dataset': 'Citeseer', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5224892802449188, 'dropout': 0.46161962752030056, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.18, 'augment': False, 'method': 'rk4', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'cos_3', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'oversmoothing', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 3703])
m1.bias
torch.Size([64])
m2.weight
torch.Size([6, 64])
m2.bias
torch.Size([6])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.2260, Loss: 1.789, forward nfe 24, backward nfe 0, tmp_train: 0.1750, tmp_val: 0.2565, tmp_test: 0.2645, Train: 0.1750, Val: 0.2565, Test: 0.2645, Best time: 2.1800
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7988, Loss: 1.749, forward nfe 72, backward nfe 0, tmp_train: 0.5583, tmp_val: 0.3138, tmp_test: 0.3274, Train: 0.5583, Val: 0.3138, Test: 0.3274, Best time: 2.1800
Epoch: 3, Runtime: 1.4421, Loss: 1.682, forward nfe 120, backward nfe 0, tmp_train: 0.8917, tmp_val: 0.4384, tmp_test: 0.4645, Train: 0.8917, Val: 0.4384, Test: 0.4645, Best time: 2.1800
Epoch: 4, Runtime: 0.1319, Loss: 1.614, forward nfe 168, backward nfe 0, tmp_train: 0.9917, tmp_val: 0.5630, tmp_test: 0.5645, Train: 0.9917, Val: 0.5630, Test: 0.5645, Best time: 2.1800
Epoch: 5, Runtime: 0.1408, Loss: 1.536, forward nfe 216, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6036, tmp_test: 0.5919, Train: 1.0000, Val: 0.6036, Test: 0.5919, Best time: 2.1800
Epoch: 6, Runtime: 0.1259, Loss: 1.463, forward nfe 264, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6188, tmp_test: 0.6000, Train: 1.0000, Val: 0.6188, Test: 0.6000, Best time: 2.1800
Epoch: 7, Runtime: 0.1274, Loss: 1.357, forward nfe 312, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6152, tmp_test: 0.5855, Train: 1.0000, Val: 0.6188, Test: 0.6000, Best time: 2.1800
Epoch: 8, Runtime: 0.1270, Loss: 1.266, forward nfe 360, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6058, tmp_test: 0.5790, Train: 1.0000, Val: 0.6188, Test: 0.6000, Best time: 2.1800
Epoch: 9, Runtime: 0.1303, Loss: 1.168, forward nfe 408, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6051, tmp_test: 0.5726, Train: 1.0000, Val: 0.6188, Test: 0.6000, Best time: 2.1800
Epoch: 10, Runtime: 0.1296, Loss: 1.080, forward nfe 456, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6036, tmp_test: 0.5806, Train: 1.0000, Val: 0.6188, Test: 0.6000, Best time: 2.1800
Epoch: 11, Runtime: 0.1356, Loss: 0.980, forward nfe 504, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6101, tmp_test: 0.5839, Train: 1.0000, Val: 0.6188, Test: 0.6000, Best time: 2.1800
Epoch: 12, Runtime: 0.1274, Loss: 0.888, forward nfe 552, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6159, tmp_test: 0.5919, Train: 1.0000, Val: 0.6188, Test: 0.6000, Best time: 2.1800
Epoch: 13, Runtime: 0.1268, Loss: 0.790, forward nfe 600, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6254, tmp_test: 0.6032, Train: 1.0000, Val: 0.6254, Test: 0.6032, Best time: 2.1800
Epoch: 14, Runtime: 0.1467, Loss: 0.769, forward nfe 648, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6326, tmp_test: 0.6032, Train: 1.0000, Val: 0.6326, Test: 0.6032, Best time: 2.1800
Epoch: 15, Runtime: 0.1283, Loss: 0.661, forward nfe 696, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6442, tmp_test: 0.6145, Train: 1.0000, Val: 0.6442, Test: 0.6145, Best time: 2.1800
Epoch: 16, Runtime: 0.1288, Loss: 0.643, forward nfe 744, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6507, tmp_test: 0.6161, Train: 1.0000, Val: 0.6507, Test: 0.6161, Best time: 2.1800
Epoch: 17, Runtime: 0.1325, Loss: 0.551, forward nfe 792, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6580, tmp_test: 0.6274, Train: 1.0000, Val: 0.6580, Test: 0.6274, Best time: 2.1800
Epoch: 18, Runtime: 0.1346, Loss: 0.429, forward nfe 840, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6667, tmp_test: 0.6339, Train: 1.0000, Val: 0.6667, Test: 0.6339, Best time: 2.1800
Epoch: 19, Runtime: 0.1380, Loss: 0.450, forward nfe 888, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6703, tmp_test: 0.6403, Train: 1.0000, Val: 0.6703, Test: 0.6403, Best time: 2.1800
Epoch: 20, Runtime: 0.1267, Loss: 0.415, forward nfe 936, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6754, tmp_test: 0.6500, Train: 1.0000, Val: 0.6754, Test: 0.6500, Best time: 2.1800
Epoch: 21, Runtime: 0.1301, Loss: 0.394, forward nfe 984, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6833, tmp_test: 0.6613, Train: 1.0000, Val: 0.6833, Test: 0.6613, Best time: 2.1800
