
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.0029496654117168557, 'decay': 0.013789766632941278, 'dataset': 'Citeseer', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5224892802449188, 'dropout': 0.46161962752030056, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.45, 'augment': False, 'method': 'rk4', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'cos_1', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'oversmoothing', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 3703])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.weight
torch.Size([6, 256])
m2.bias
torch.Size([6])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1848, Loss: 1.779, forward nfe 28, backward nfe 0, tmp_train: 0.4250, tmp_val: 0.2341, tmp_test: 0.2548, Train: 0.4250, Val: 0.2341, Test: 0.2548, Best time: 2.4500
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7745, Loss: 1.739, forward nfe 84, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.4210, tmp_test: 0.4435, Train: 0.8500, Val: 0.4210, Test: 0.4435, Best time: 2.4500
Epoch: 3, Runtime: 1.4251, Loss: 1.724, forward nfe 140, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.5717, tmp_test: 0.5823, Train: 0.9500, Val: 0.5717, Test: 0.5823, Best time: 2.4500
Epoch: 4, Runtime: 0.1002, Loss: 1.690, forward nfe 196, backward nfe 0, tmp_train: 0.9250, tmp_val: 0.6159, tmp_test: 0.6500, Train: 0.9250, Val: 0.6159, Test: 0.6500, Best time: 2.4500
Epoch: 5, Runtime: 0.1038, Loss: 1.628, forward nfe 252, backward nfe 0, tmp_train: 0.9250, tmp_val: 0.6261, tmp_test: 0.6597, Train: 0.9250, Val: 0.6261, Test: 0.6597, Best time: 2.4500
Epoch: 6, Runtime: 0.1015, Loss: 1.520, forward nfe 308, backward nfe 0, tmp_train: 0.9417, tmp_val: 0.6428, tmp_test: 0.6629, Train: 0.9417, Val: 0.6428, Test: 0.6629, Best time: 2.4500
Epoch: 7, Runtime: 0.0984, Loss: 1.482, forward nfe 364, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.6594, tmp_test: 0.6726, Train: 0.9500, Val: 0.6594, Test: 0.6726, Best time: 2.4500
Epoch: 8, Runtime: 0.1014, Loss: 1.339, forward nfe 420, backward nfe 0, tmp_train: 0.9667, tmp_val: 0.6587, tmp_test: 0.6790, Train: 0.9500, Val: 0.6594, Test: 0.6726, Best time: 2.4500
Epoch: 9, Runtime: 0.0968, Loss: 1.240, forward nfe 476, backward nfe 0, tmp_train: 0.9750, tmp_val: 0.6667, tmp_test: 0.6710, Train: 0.9750, Val: 0.6667, Test: 0.6710, Best time: 2.4500
Epoch: 10, Runtime: 0.0981, Loss: 0.993, forward nfe 532, backward nfe 0, tmp_train: 0.9750, tmp_val: 0.6688, tmp_test: 0.6661, Train: 0.9750, Val: 0.6688, Test: 0.6661, Best time: 2.4500
Epoch: 11, Runtime: 0.0953, Loss: 0.921, forward nfe 588, backward nfe 0, tmp_train: 0.9750, tmp_val: 0.6725, tmp_test: 0.6726, Train: 0.9750, Val: 0.6725, Test: 0.6726, Best time: 2.4500
Epoch: 12, Runtime: 0.1049, Loss: 0.738, forward nfe 644, backward nfe 0, tmp_train: 0.9917, tmp_val: 0.6899, tmp_test: 0.6919, Train: 0.9917, Val: 0.6899, Test: 0.6919, Best time: 2.4500
Epoch: 13, Runtime: 0.0966, Loss: 0.631, forward nfe 700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6935, tmp_test: 0.6984, Train: 1.0000, Val: 0.6935, Test: 0.6984, Best time: 2.4500
Epoch: 14, Runtime: 0.1056, Loss: 0.519, forward nfe 756, backward nfe 0, tmp_train: 0.9833, tmp_val: 0.6920, tmp_test: 0.6839, Train: 1.0000, Val: 0.6935, Test: 0.6984, Best time: 2.4500
Epoch: 15, Runtime: 0.1101, Loss: 0.360, forward nfe 812, backward nfe 0, tmp_train: 0.9833, tmp_val: 0.6812, tmp_test: 0.6710, Train: 1.0000, Val: 0.6935, Test: 0.6984, Best time: 2.4500
Epoch: 16, Runtime: 0.0967, Loss: 0.296, forward nfe 868, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6848, tmp_test: 0.6871, Train: 1.0000, Val: 0.6935, Test: 0.6984, Best time: 2.4500
Epoch: 17, Runtime: 0.0992, Loss: 0.201, forward nfe 924, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6862, tmp_test: 0.6984, Train: 1.0000, Val: 0.6935, Test: 0.6984, Best time: 2.4500
Epoch: 18, Runtime: 0.0973, Loss: 0.153, forward nfe 980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6870, tmp_test: 0.6887, Train: 1.0000, Val: 0.6935, Test: 0.6984, Best time: 2.4500
Epoch: 19, Runtime: 0.1056, Loss: 0.200, forward nfe 1036, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6935, tmp_test: 0.6968, Train: 1.0000, Val: 0.6935, Test: 0.6984, Best time: 2.4500
Epoch: 20, Runtime: 0.0961, Loss: 0.106, forward nfe 1092, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6841, tmp_test: 0.6903, Train: 1.0000, Val: 0.6935, Test: 0.6984, Best time: 2.4500
Epoch: 21, Runtime: 0.1013, Loss: 0.076, forward nfe 1148, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6826, tmp_test: 0.6710, Train: 1.0000, Val: 0.6935, Test: 0.6984, Best time: 2.4500
