/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.36, 'augment': False, 'method': 'rk4', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 1.0294, Loss: 1.950, forward nfe 32, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.5691, tmp_test: 0.5980, Train: 0.9500, Val: 0.5691, Test: 0.5980, Best time: 2.3600
Epoch: 2, Runtime: 0.1186, Loss: 1.807, forward nfe 96, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.6176, tmp_test: 0.6416, Train: 0.9429, Val: 0.6176, Test: 0.6416, Best time: 2.3600
Epoch: 3, Runtime: 0.1186, Loss: 1.561, forward nfe 160, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.6765, tmp_test: 0.6954, Train: 0.9571, Val: 0.6765, Test: 0.6954, Best time: 2.3600
Epoch: 4, Runtime: 0.1169, Loss: 1.259, forward nfe 224, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7162, tmp_test: 0.7421, Train: 0.9786, Val: 0.7162, Test: 0.7421, Best time: 2.3600
Epoch: 5, Runtime: 0.1143, Loss: 0.832, forward nfe 288, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7360, tmp_test: 0.7635, Train: 0.9714, Val: 0.7360, Test: 0.7635, Best time: 2.3600
Epoch: 6, Runtime: 0.1213, Loss: 0.593, forward nfe 352, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7426, tmp_test: 0.7787, Train: 0.9643, Val: 0.7426, Test: 0.7787, Best time: 2.3600
Epoch: 7, Runtime: 0.1143, Loss: 0.424, forward nfe 416, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7618, tmp_test: 0.7929, Train: 0.9786, Val: 0.7618, Test: 0.7929, Best time: 2.3600
Epoch: 8, Runtime: 0.1194, Loss: 0.273, forward nfe 480, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7868, tmp_test: 0.8091, Train: 0.9929, Val: 0.7868, Test: 0.8091, Best time: 2.3600
Epoch: 9, Runtime: 0.1101, Loss: 0.191, forward nfe 544, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.7970, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 10, Runtime: 0.1140, Loss: 0.174, forward nfe 608, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.8000, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 11, Runtime: 0.1096, Loss: 0.114, forward nfe 672, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7949, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 12, Runtime: 0.1297, Loss: 0.109, forward nfe 736, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7787, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 13, Runtime: 0.1224, Loss: 0.102, forward nfe 800, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7566, tmp_test: 0.7635, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 14, Runtime: 0.1168, Loss: 0.117, forward nfe 864, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7265, tmp_test: 0.7452, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 15, Runtime: 0.1089, Loss: 0.111, forward nfe 928, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7316, tmp_test: 0.7533, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 16, Runtime: 0.1210, Loss: 0.136, forward nfe 992, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7471, tmp_test: 0.7777, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 17, Runtime: 0.1051, Loss: 0.129, forward nfe 1056, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7640, tmp_test: 0.7878, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 18, Runtime: 0.1305, Loss: 0.120, forward nfe 1120, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7684, tmp_test: 0.7939, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 19, Runtime: 0.1117, Loss: 0.141, forward nfe 1184, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.8030, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 20, Runtime: 0.1148, Loss: 0.147, forward nfe 1248, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.8030, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 21, Runtime: 0.1240, Loss: 0.144, forward nfe 1312, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7990, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 22, Runtime: 0.1029, Loss: 0.170, forward nfe 1376, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.8000, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
Epoch: 23, Runtime: 0.1222, Loss: 0.206, forward nfe 1440, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7647, tmp_test: 0.8010, Train: 1.0000, Val: 0.7904, Test: 0.7970, Best time: 2.3600
