
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.35, 'augment': False, 'method': 'rk4', 'step_size': 0.35000000000000003, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m11.weight
torch.Size([64, 64])
m11.bias
torch.Size([64])
m12.weight
torch.Size([64, 64])
m12.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.2567, Loss: 1.949, forward nfe 28, backward nfe 0, tmp_train: 0.1500, tmp_val: 0.3132, tmp_test: 0.2853, Train: 0.1500, Val: 0.3132, Test: 0.2853, Best time: 2.3500
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.8699, Loss: 1.929, forward nfe 84, backward nfe 0, tmp_train: 0.3643, tmp_val: 0.3779, tmp_test: 0.3787, Train: 0.3643, Val: 0.3779, Test: 0.3787, Best time: 2.3500
Epoch: 3, Runtime: 1.4469, Loss: 1.944, forward nfe 140, backward nfe 0, tmp_train: 0.4571, tmp_val: 0.3728, tmp_test: 0.3848, Train: 0.3643, Val: 0.3779, Test: 0.3787, Best time: 2.3500
Epoch: 4, Runtime: 0.0766, Loss: 1.907, forward nfe 196, backward nfe 0, tmp_train: 0.3214, tmp_val: 0.2213, tmp_test: 0.2183, Train: 0.3643, Val: 0.3779, Test: 0.3787, Best time: 2.3500
Epoch: 5, Runtime: 0.0981, Loss: 1.850, forward nfe 252, backward nfe 0, tmp_train: 0.3000, tmp_val: 0.2257, tmp_test: 0.2274, Train: 0.3643, Val: 0.3779, Test: 0.3787, Best time: 2.3500
Epoch: 6, Runtime: 0.0938, Loss: 1.871, forward nfe 308, backward nfe 0, tmp_train: 0.4000, tmp_val: 0.2912, tmp_test: 0.3096, Train: 0.3643, Val: 0.3779, Test: 0.3787, Best time: 2.3500
Epoch: 7, Runtime: 0.0815, Loss: 1.871, forward nfe 364, backward nfe 0, tmp_train: 0.5714, tmp_val: 0.3985, tmp_test: 0.4051, Train: 0.5714, Val: 0.3985, Test: 0.4051, Best time: 2.3500
Epoch: 8, Runtime: 0.0783, Loss: 1.806, forward nfe 420, backward nfe 0, tmp_train: 0.6357, tmp_val: 0.4831, tmp_test: 0.4924, Train: 0.6357, Val: 0.4831, Test: 0.4924, Best time: 2.3500
Epoch: 9, Runtime: 0.0804, Loss: 1.774, forward nfe 476, backward nfe 0, tmp_train: 0.6857, tmp_val: 0.5176, tmp_test: 0.5269, Train: 0.6857, Val: 0.5176, Test: 0.5269, Best time: 2.3500
Epoch: 10, Runtime: 0.0771, Loss: 1.744, forward nfe 532, backward nfe 0, tmp_train: 0.7286, tmp_val: 0.5331, tmp_test: 0.5543, Train: 0.7286, Val: 0.5331, Test: 0.5543, Best time: 2.3500
Epoch: 11, Runtime: 0.0808, Loss: 1.688, forward nfe 588, backward nfe 0, tmp_train: 0.7643, tmp_val: 0.5404, tmp_test: 0.5604, Train: 0.7643, Val: 0.5404, Test: 0.5604, Best time: 2.3500
Epoch: 12, Runtime: 0.0785, Loss: 1.619, forward nfe 644, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.5493, tmp_test: 0.5888, Train: 0.7714, Val: 0.5493, Test: 0.5888, Best time: 2.3500
Epoch: 13, Runtime: 0.0809, Loss: 1.576, forward nfe 700, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.5574, tmp_test: 0.5909, Train: 0.8071, Val: 0.5574, Test: 0.5909, Best time: 2.3500
Epoch: 14, Runtime: 0.0876, Loss: 1.560, forward nfe 756, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.5706, tmp_test: 0.5959, Train: 0.8071, Val: 0.5706, Test: 0.5959, Best time: 2.3500
Epoch: 15, Runtime: 0.0826, Loss: 1.491, forward nfe 812, backward nfe 0, tmp_train: 0.8286, tmp_val: 0.6346, tmp_test: 0.6447, Train: 0.8286, Val: 0.6346, Test: 0.6447, Best time: 2.3500
Epoch: 16, Runtime: 0.0832, Loss: 1.430, forward nfe 868, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6441, tmp_test: 0.6437, Train: 0.8714, Val: 0.6441, Test: 0.6437, Best time: 2.3500
Epoch: 17, Runtime: 0.0777, Loss: 1.422, forward nfe 924, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.6449, tmp_test: 0.6508, Train: 0.8857, Val: 0.6449, Test: 0.6508, Best time: 2.3500
Epoch: 18, Runtime: 0.0797, Loss: 1.391, forward nfe 980, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.6537, tmp_test: 0.6701, Train: 0.9071, Val: 0.6537, Test: 0.6701, Best time: 2.3500
Epoch: 19, Runtime: 0.0784, Loss: 1.454, forward nfe 1036, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.6699, tmp_test: 0.6904, Train: 0.9214, Val: 0.6699, Test: 0.6904, Best time: 2.3500
Epoch: 20, Runtime: 0.0794, Loss: 1.392, forward nfe 1092, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.6868, tmp_test: 0.7096, Train: 0.9571, Val: 0.6868, Test: 0.7096, Best time: 2.3500
Epoch: 21, Runtime: 0.0790, Loss: 1.264, forward nfe 1148, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.6882, tmp_test: 0.7168, Train: 0.9571, Val: 0.6882, Test: 0.7168, Best time: 2.3500
