
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.01, 'augment': False, 'method': 'rk4', 'step_size': 0.35000000000000003, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.1491, Loss: 1.959, forward nfe 24, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.1162, tmp_test: 0.1086, Train: 0.1429, Val: 0.1162, Test: 0.1086, Best time: 2.0100
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7671, Loss: 1.957, forward nfe 72, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.1162, tmp_test: 0.1086, Train: 0.1429, Val: 0.1162, Test: 0.1086, Best time: 2.0100
Epoch: 3, Runtime: 1.4660, Loss: 1.957, forward nfe 120, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.1162, tmp_test: 0.1086, Train: 0.1429, Val: 0.1162, Test: 0.1086, Best time: 2.0100
Epoch: 4, Runtime: 0.0627, Loss: 1.954, forward nfe 168, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.1176, tmp_test: 0.1086, Train: 0.1429, Val: 0.1176, Test: 0.1086, Best time: 2.0100
Epoch: 5, Runtime: 0.0619, Loss: 1.950, forward nfe 216, backward nfe 0, tmp_train: 0.2429, tmp_val: 0.1963, tmp_test: 0.1888, Train: 0.2429, Val: 0.1963, Test: 0.1888, Best time: 2.0100
Epoch: 6, Runtime: 0.0625, Loss: 1.951, forward nfe 264, backward nfe 0, tmp_train: 0.3929, tmp_val: 0.3875, tmp_test: 0.3695, Train: 0.3929, Val: 0.3875, Test: 0.3695, Best time: 2.0100
Epoch: 7, Runtime: 0.0622, Loss: 1.958, forward nfe 312, backward nfe 0, tmp_train: 0.5357, tmp_val: 0.5500, tmp_test: 0.5442, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 8, Runtime: 0.0671, Loss: 1.941, forward nfe 360, backward nfe 0, tmp_train: 0.4929, tmp_val: 0.4485, tmp_test: 0.4396, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 9, Runtime: 0.0649, Loss: 1.924, forward nfe 408, backward nfe 0, tmp_train: 0.4643, tmp_val: 0.3772, tmp_test: 0.3777, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 10, Runtime: 0.0637, Loss: 1.929, forward nfe 456, backward nfe 0, tmp_train: 0.4357, tmp_val: 0.3265, tmp_test: 0.3269, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 11, Runtime: 0.0711, Loss: 1.929, forward nfe 504, backward nfe 0, tmp_train: 0.4214, tmp_val: 0.2875, tmp_test: 0.2701, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 12, Runtime: 0.0704, Loss: 1.934, forward nfe 552, backward nfe 0, tmp_train: 0.4429, tmp_val: 0.3081, tmp_test: 0.2944, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 13, Runtime: 0.0682, Loss: 1.928, forward nfe 600, backward nfe 0, tmp_train: 0.5000, tmp_val: 0.3772, tmp_test: 0.3635, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 14, Runtime: 0.0652, Loss: 1.920, forward nfe 648, backward nfe 0, tmp_train: 0.5714, tmp_val: 0.4507, tmp_test: 0.4629, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 15, Runtime: 0.0625, Loss: 1.912, forward nfe 696, backward nfe 0, tmp_train: 0.6571, tmp_val: 0.5316, tmp_test: 0.5310, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 16, Runtime: 0.0652, Loss: 1.933, forward nfe 744, backward nfe 0, tmp_train: 0.7071, tmp_val: 0.5456, tmp_test: 0.5452, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 17, Runtime: 0.0629, Loss: 1.873, forward nfe 792, backward nfe 0, tmp_train: 0.6786, tmp_val: 0.5368, tmp_test: 0.5533, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 18, Runtime: 0.0631, Loss: 1.893, forward nfe 840, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.5294, tmp_test: 0.5574, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 19, Runtime: 0.0634, Loss: 1.870, forward nfe 888, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.5404, tmp_test: 0.5675, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 20, Runtime: 0.0646, Loss: 1.864, forward nfe 936, backward nfe 0, tmp_train: 0.6857, tmp_val: 0.5368, tmp_test: 0.5513, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 21, Runtime: 0.0647, Loss: 1.849, forward nfe 984, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.5265, tmp_test: 0.5330, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
Epoch: 22, Runtime: 0.0629, Loss: 1.833, forward nfe 1032, backward nfe 0, tmp_train: 0.7143, tmp_val: 0.5309, tmp_test: 0.5198, Train: 0.5357, Val: 0.5500, Test: 0.5442, Best time: 2.0100
