
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.47, 'augment': False, 'method': 'euler', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.1338, Loss: 1.964, forward nfe 13, backward nfe 0, tmp_train: 0.4857, tmp_val: 0.3463, tmp_test: 0.3391, Train: 0.4857, Val: 0.3463, Test: 0.3391, Best time: 2.4700
Epoch: 2, Runtime: 0.7043, Loss: 1.865, forward nfe 39, backward nfe 0, tmp_train: 0.7429, tmp_val: 0.4757, tmp_test: 0.4721, Train: 0.7429, Val: 0.4757, Test: 0.4721, Best time: 2.4700
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.3675, Loss: 1.788, forward nfe 65, backward nfe 0, tmp_train: 0.7929, tmp_val: 0.6110, tmp_test: 0.5949, Train: 0.7929, Val: 0.6110, Test: 0.5949, Best time: 2.4700
Epoch: 4, Runtime: 0.0403, Loss: 1.729, forward nfe 91, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6713, tmp_test: 0.6599, Train: 0.8786, Val: 0.6713, Test: 0.6599, Best time: 2.4700
Epoch: 5, Runtime: 0.0412, Loss: 1.638, forward nfe 117, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7272, tmp_test: 0.7127, Train: 0.9214, Val: 0.7272, Test: 0.7127, Best time: 2.4700
Epoch: 6, Runtime: 0.0386, Loss: 1.480, forward nfe 143, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7581, tmp_test: 0.7472, Train: 0.9214, Val: 0.7581, Test: 0.7472, Best time: 2.4700
Epoch: 7, Runtime: 0.0382, Loss: 1.416, forward nfe 169, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7765, tmp_test: 0.7655, Train: 0.9286, Val: 0.7765, Test: 0.7655, Best time: 2.4700
Epoch: 8, Runtime: 0.0407, Loss: 1.305, forward nfe 195, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7772, tmp_test: 0.7746, Train: 0.9500, Val: 0.7772, Test: 0.7746, Best time: 2.4700
Epoch: 9, Runtime: 0.0387, Loss: 1.193, forward nfe 221, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7846, tmp_test: 0.7817, Train: 0.9643, Val: 0.7846, Test: 0.7817, Best time: 2.4700
Epoch: 10, Runtime: 0.0374, Loss: 1.172, forward nfe 247, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.8015, tmp_test: 0.7919, Train: 0.9571, Val: 0.8015, Test: 0.7919, Best time: 2.4700
Epoch: 11, Runtime: 0.0376, Loss: 1.075, forward nfe 273, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.8029, tmp_test: 0.8010, Train: 0.9714, Val: 0.8029, Test: 0.8010, Best time: 2.4700
Epoch: 12, Runtime: 0.0371, Loss: 1.096, forward nfe 299, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.8088, tmp_test: 0.7959, Train: 0.9714, Val: 0.8088, Test: 0.7959, Best time: 2.4700
Epoch: 13, Runtime: 0.0386, Loss: 1.060, forward nfe 325, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8162, tmp_test: 0.8030, Train: 0.9786, Val: 0.8162, Test: 0.8030, Best time: 2.4700
Epoch: 14, Runtime: 0.0372, Loss: 0.896, forward nfe 351, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8191, tmp_test: 0.8041, Train: 0.9786, Val: 0.8191, Test: 0.8041, Best time: 2.4700
Epoch: 15, Runtime: 0.0405, Loss: 1.147, forward nfe 377, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8221, tmp_test: 0.8091, Train: 0.9857, Val: 0.8221, Test: 0.8091, Best time: 2.4700
Epoch: 16, Runtime: 0.0405, Loss: 0.926, forward nfe 403, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8191, tmp_test: 0.8010, Train: 0.9857, Val: 0.8221, Test: 0.8091, Best time: 2.4700
Epoch: 17, Runtime: 0.0388, Loss: 0.929, forward nfe 429, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8184, tmp_test: 0.7980, Train: 0.9857, Val: 0.8221, Test: 0.8091, Best time: 2.4700
Epoch: 18, Runtime: 0.0394, Loss: 0.994, forward nfe 455, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8162, tmp_test: 0.7970, Train: 0.9857, Val: 0.8221, Test: 0.8091, Best time: 2.4700
Epoch: 19, Runtime: 0.0394, Loss: 0.895, forward nfe 481, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8125, tmp_test: 0.7939, Train: 0.9857, Val: 0.8221, Test: 0.8091, Best time: 2.4700
Epoch: 20, Runtime: 0.0410, Loss: 0.915, forward nfe 507, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8096, tmp_test: 0.7959, Train: 0.9857, Val: 0.8221, Test: 0.8091, Best time: 2.4700
Epoch: 21, Runtime: 0.0386, Loss: 0.800, forward nfe 533, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8051, tmp_test: 0.7919, Train: 0.9857, Val: 0.8221, Test: 0.8091, Best time: 2.4700
