
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.12, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1088, Loss: 1.951, forward nfe 5, backward nfe 0, tmp_train: 0.4500, tmp_val: 0.2507, tmp_test: 0.2751, Train: 0.4500, Val: 0.2507, Test: 0.2751, Best time: 2.1200
Epoch: 2, Runtime: 0.7106, Loss: 1.884, forward nfe 15, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.5566, tmp_test: 0.5746, Train: 0.8214, Val: 0.5566, Test: 0.5746, Best time: 2.1200
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.4028, Loss: 1.750, forward nfe 25, backward nfe 0, tmp_train: 0.7929, tmp_val: 0.4647, tmp_test: 0.5056, Train: 0.8214, Val: 0.5566, Test: 0.5746, Best time: 2.1200
Epoch: 4, Runtime: 0.0375, Loss: 1.478, forward nfe 35, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7750, tmp_test: 0.7766, Train: 0.9071, Val: 0.7750, Test: 0.7766, Best time: 2.1200
Epoch: 5, Runtime: 0.0325, Loss: 1.068, forward nfe 45, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6316, tmp_test: 0.6518, Train: 0.9071, Val: 0.7750, Test: 0.7766, Best time: 2.1200
Epoch: 6, Runtime: 0.0329, Loss: 0.934, forward nfe 55, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7640, tmp_test: 0.7756, Train: 0.9071, Val: 0.7750, Test: 0.7766, Best time: 2.1200
Epoch: 7, Runtime: 0.0379, Loss: 1.049, forward nfe 65, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7713, tmp_test: 0.7766, Train: 0.9071, Val: 0.7750, Test: 0.7766, Best time: 2.1200
Epoch: 8, Runtime: 0.0351, Loss: 0.428, forward nfe 75, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7279, tmp_test: 0.7330, Train: 0.9071, Val: 0.7750, Test: 0.7766, Best time: 2.1200
Epoch: 9, Runtime: 0.0443, Loss: 0.388, forward nfe 85, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7456, tmp_test: 0.7472, Train: 0.9071, Val: 0.7750, Test: 0.7766, Best time: 2.1200
Epoch: 10, Runtime: 0.0363, Loss: 0.376, forward nfe 95, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7993, tmp_test: 0.7970, Train: 0.9857, Val: 0.7993, Test: 0.7970, Best time: 2.1200
Epoch: 11, Runtime: 0.0307, Loss: 0.294, forward nfe 105, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8007, tmp_test: 0.8081, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 12, Runtime: 0.0292, Loss: 0.255, forward nfe 115, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7882, tmp_test: 0.8041, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 13, Runtime: 0.0285, Loss: 0.247, forward nfe 125, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7926, tmp_test: 0.8051, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 14, Runtime: 0.0292, Loss: 0.263, forward nfe 135, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7949, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 15, Runtime: 0.0278, Loss: 0.273, forward nfe 145, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7919, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 16, Runtime: 0.0328, Loss: 0.193, forward nfe 155, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7684, tmp_test: 0.7655, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 17, Runtime: 0.0289, Loss: 0.178, forward nfe 165, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7647, tmp_test: 0.7584, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 18, Runtime: 0.0285, Loss: 0.242, forward nfe 175, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7647, tmp_test: 0.7574, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 19, Runtime: 0.0326, Loss: 0.287, forward nfe 185, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7390, tmp_test: 0.7269, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 20, Runtime: 0.0302, Loss: 0.473, forward nfe 195, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7309, tmp_test: 0.7462, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
Epoch: 21, Runtime: 0.0311, Loss: 0.286, forward nfe 205, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7022, tmp_test: 0.7056, Train: 0.9786, Val: 0.8007, Test: 0.8081, Best time: 2.1200
