
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.16, 'augment': False, 'method': 'euler', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m11.weight
torch.Size([64, 64])
m11.bias
torch.Size([64])
m12.weight
torch.Size([64, 64])
m12.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.1245, Loss: 1.941, forward nfe 11, backward nfe 0, tmp_train: 0.2214, tmp_val: 0.1779, tmp_test: 0.1736, Train: 0.2214, Val: 0.1779, Test: 0.1736, Best time: 2.1600
Epoch: 2, Runtime: 0.6984, Loss: 1.975, forward nfe 33, backward nfe 0, tmp_train: 0.2714, tmp_val: 0.1706, tmp_test: 0.1716, Train: 0.2214, Val: 0.1779, Test: 0.1736, Best time: 2.1600
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.3495, Loss: 1.952, forward nfe 55, backward nfe 0, tmp_train: 0.1571, tmp_val: 0.0397, tmp_test: 0.0599, Train: 0.2214, Val: 0.1779, Test: 0.1736, Best time: 2.1600
Epoch: 4, Runtime: 0.0373, Loss: 1.909, forward nfe 77, backward nfe 0, tmp_train: 0.1571, tmp_val: 0.0404, tmp_test: 0.0609, Train: 0.2214, Val: 0.1779, Test: 0.1736, Best time: 2.1600
Epoch: 5, Runtime: 0.0406, Loss: 1.952, forward nfe 99, backward nfe 0, tmp_train: 0.1571, tmp_val: 0.0412, tmp_test: 0.0660, Train: 0.2214, Val: 0.1779, Test: 0.1736, Best time: 2.1600
Epoch: 6, Runtime: 0.0374, Loss: 1.926, forward nfe 121, backward nfe 0, tmp_train: 0.2214, tmp_val: 0.0603, tmp_test: 0.0934, Train: 0.2214, Val: 0.1779, Test: 0.1736, Best time: 2.1600
Epoch: 7, Runtime: 0.0375, Loss: 1.941, forward nfe 143, backward nfe 0, tmp_train: 0.4714, tmp_val: 0.2625, tmp_test: 0.3046, Train: 0.4714, Val: 0.2625, Test: 0.3046, Best time: 2.1600
Epoch: 8, Runtime: 0.0360, Loss: 1.890, forward nfe 165, backward nfe 0, tmp_train: 0.5714, tmp_val: 0.4485, tmp_test: 0.4589, Train: 0.5714, Val: 0.4485, Test: 0.4589, Best time: 2.1600
Epoch: 9, Runtime: 0.0376, Loss: 1.902, forward nfe 187, backward nfe 0, tmp_train: 0.5500, tmp_val: 0.4574, tmp_test: 0.4406, Train: 0.5500, Val: 0.4574, Test: 0.4406, Best time: 2.1600
Epoch: 10, Runtime: 0.0367, Loss: 1.926, forward nfe 209, backward nfe 0, tmp_train: 0.5500, tmp_val: 0.4949, tmp_test: 0.4670, Train: 0.5500, Val: 0.4949, Test: 0.4670, Best time: 2.1600
Epoch: 11, Runtime: 0.0384, Loss: 1.886, forward nfe 231, backward nfe 0, tmp_train: 0.5357, tmp_val: 0.4640, tmp_test: 0.4386, Train: 0.5500, Val: 0.4949, Test: 0.4670, Best time: 2.1600
Epoch: 12, Runtime: 0.0391, Loss: 1.860, forward nfe 253, backward nfe 0, tmp_train: 0.5429, tmp_val: 0.4301, tmp_test: 0.4376, Train: 0.5500, Val: 0.4949, Test: 0.4670, Best time: 2.1600
Epoch: 13, Runtime: 0.0368, Loss: 1.865, forward nfe 275, backward nfe 0, tmp_train: 0.6286, tmp_val: 0.4353, tmp_test: 0.4518, Train: 0.5500, Val: 0.4949, Test: 0.4670, Best time: 2.1600
Epoch: 14, Runtime: 0.0359, Loss: 1.860, forward nfe 297, backward nfe 0, tmp_train: 0.6857, tmp_val: 0.4721, tmp_test: 0.4924, Train: 0.5500, Val: 0.4949, Test: 0.4670, Best time: 2.1600
Epoch: 15, Runtime: 0.0361, Loss: 1.818, forward nfe 319, backward nfe 0, tmp_train: 0.7286, tmp_val: 0.5162, tmp_test: 0.5208, Train: 0.7286, Val: 0.5162, Test: 0.5208, Best time: 2.1600
Epoch: 16, Runtime: 0.0384, Loss: 1.786, forward nfe 341, backward nfe 0, tmp_train: 0.7286, tmp_val: 0.5346, tmp_test: 0.5523, Train: 0.7286, Val: 0.5346, Test: 0.5523, Best time: 2.1600
Epoch: 17, Runtime: 0.0372, Loss: 1.767, forward nfe 363, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.5154, tmp_test: 0.5462, Train: 0.7286, Val: 0.5346, Test: 0.5523, Best time: 2.1600
Epoch: 18, Runtime: 0.0365, Loss: 1.791, forward nfe 385, backward nfe 0, tmp_train: 0.7143, tmp_val: 0.5000, tmp_test: 0.5228, Train: 0.7286, Val: 0.5346, Test: 0.5523, Best time: 2.1600
Epoch: 19, Runtime: 0.0366, Loss: 1.794, forward nfe 407, backward nfe 0, tmp_train: 0.7214, tmp_val: 0.5081, tmp_test: 0.5279, Train: 0.7286, Val: 0.5346, Test: 0.5523, Best time: 2.1600
Epoch: 20, Runtime: 0.0360, Loss: 1.779, forward nfe 429, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.5243, tmp_test: 0.5533, Train: 0.7286, Val: 0.5346, Test: 0.5523, Best time: 2.1600
Epoch: 21, Runtime: 0.0367, Loss: 1.666, forward nfe 451, backward nfe 0, tmp_train: 0.7643, tmp_val: 0.5566, tmp_test: 0.5848, Train: 0.7643, Val: 0.5566, Test: 0.5848, Best time: 2.1600
