
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.36, 'augment': False, 'method': 'euler', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.1170, Loss: 1.998, forward nfe 5, backward nfe 0, tmp_train: 0.1571, tmp_val: 0.1691, tmp_test: 0.1442, Train: 0.1571, Val: 0.1691, Test: 0.1442, Best time: 2.3600
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7571, Loss: 1.949, forward nfe 15, backward nfe 0, tmp_train: 0.3071, tmp_val: 0.2721, tmp_test: 0.2355, Train: 0.3071, Val: 0.2721, Test: 0.2355, Best time: 2.3600
Epoch: 3, Runtime: 1.4643, Loss: 1.941, forward nfe 25, backward nfe 0, tmp_train: 0.5286, tmp_val: 0.4316, tmp_test: 0.4294, Train: 0.5286, Val: 0.4316, Test: 0.4294, Best time: 2.3600
Epoch: 4, Runtime: 0.0333, Loss: 1.920, forward nfe 35, backward nfe 0, tmp_train: 0.5643, tmp_val: 0.3713, tmp_test: 0.3756, Train: 0.5286, Val: 0.4316, Test: 0.4294, Best time: 2.3600
Epoch: 5, Runtime: 0.0324, Loss: 1.927, forward nfe 45, backward nfe 0, tmp_train: 0.5643, tmp_val: 0.3228, tmp_test: 0.3431, Train: 0.5286, Val: 0.4316, Test: 0.4294, Best time: 2.3600
Epoch: 6, Runtime: 0.0284, Loss: 1.918, forward nfe 55, backward nfe 0, tmp_train: 0.5571, tmp_val: 0.3338, tmp_test: 0.3685, Train: 0.5286, Val: 0.4316, Test: 0.4294, Best time: 2.3600
Epoch: 7, Runtime: 0.0252, Loss: 1.943, forward nfe 65, backward nfe 0, tmp_train: 0.5929, tmp_val: 0.3434, tmp_test: 0.3787, Train: 0.5286, Val: 0.4316, Test: 0.4294, Best time: 2.3600
Epoch: 8, Runtime: 0.0229, Loss: 1.881, forward nfe 75, backward nfe 0, tmp_train: 0.6500, tmp_val: 0.3735, tmp_test: 0.4132, Train: 0.5286, Val: 0.4316, Test: 0.4294, Best time: 2.3600
Epoch: 9, Runtime: 0.0219, Loss: 1.887, forward nfe 85, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.4331, tmp_test: 0.4761, Train: 0.6929, Val: 0.4331, Test: 0.4761, Best time: 2.3600
Epoch: 10, Runtime: 0.0223, Loss: 1.847, forward nfe 95, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.4728, tmp_test: 0.5127, Train: 0.7357, Val: 0.4728, Test: 0.5127, Best time: 2.3600
Epoch: 11, Runtime: 0.0213, Loss: 1.856, forward nfe 105, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.5088, tmp_test: 0.5604, Train: 0.7714, Val: 0.5088, Test: 0.5604, Best time: 2.3600
Epoch: 12, Runtime: 0.0211, Loss: 1.834, forward nfe 115, backward nfe 0, tmp_train: 0.7571, tmp_val: 0.5309, tmp_test: 0.5655, Train: 0.7571, Val: 0.5309, Test: 0.5655, Best time: 2.3600
Epoch: 13, Runtime: 0.0224, Loss: 1.830, forward nfe 125, backward nfe 0, tmp_train: 0.7500, tmp_val: 0.5500, tmp_test: 0.5827, Train: 0.7500, Val: 0.5500, Test: 0.5827, Best time: 2.3600
Epoch: 14, Runtime: 0.0238, Loss: 1.811, forward nfe 135, backward nfe 0, tmp_train: 0.7500, tmp_val: 0.5603, tmp_test: 0.5756, Train: 0.7500, Val: 0.5603, Test: 0.5756, Best time: 2.3600
Epoch: 15, Runtime: 0.0338, Loss: 1.742, forward nfe 145, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.5441, tmp_test: 0.5665, Train: 0.7500, Val: 0.5603, Test: 0.5756, Best time: 2.3600
Epoch: 16, Runtime: 0.0320, Loss: 1.746, forward nfe 155, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.5176, tmp_test: 0.5330, Train: 0.7500, Val: 0.5603, Test: 0.5756, Best time: 2.3600
Epoch: 17, Runtime: 0.0280, Loss: 1.785, forward nfe 165, backward nfe 0, tmp_train: 0.7429, tmp_val: 0.5037, tmp_test: 0.5198, Train: 0.7500, Val: 0.5603, Test: 0.5756, Best time: 2.3600
Epoch: 18, Runtime: 0.0257, Loss: 1.714, forward nfe 175, backward nfe 0, tmp_train: 0.7929, tmp_val: 0.5257, tmp_test: 0.5533, Train: 0.7500, Val: 0.5603, Test: 0.5756, Best time: 2.3600
Epoch: 19, Runtime: 0.0221, Loss: 1.679, forward nfe 185, backward nfe 0, tmp_train: 0.7857, tmp_val: 0.5522, tmp_test: 0.5777, Train: 0.7500, Val: 0.5603, Test: 0.5756, Best time: 2.3600
Epoch: 20, Runtime: 0.0233, Loss: 1.649, forward nfe 195, backward nfe 0, tmp_train: 0.8143, tmp_val: 0.5654, tmp_test: 0.6061, Train: 0.8143, Val: 0.5654, Test: 0.6061, Best time: 2.3600
Epoch: 21, Runtime: 0.0231, Loss: 1.679, forward nfe 205, backward nfe 0, tmp_train: 0.8286, tmp_val: 0.5838, tmp_test: 0.6284, Train: 0.8286, Val: 0.5838, Test: 0.6284, Best time: 2.3600
