
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.32, 'augment': False, 'method': 'euler', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 32])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.1151, Loss: 1.938, forward nfe 5, backward nfe 0, tmp_train: 0.3143, tmp_val: 0.1676, tmp_test: 0.1766, Train: 0.3143, Val: 0.1676, Test: 0.1766, Best time: 2.3200
Epoch: 2, Runtime: 0.6964, Loss: 1.918, forward nfe 15, backward nfe 0, tmp_train: 0.5929, tmp_val: 0.3169, tmp_test: 0.3259, Train: 0.5929, Val: 0.3169, Test: 0.3259, Best time: 2.3200
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.3406, Loss: 1.853, forward nfe 25, backward nfe 0, tmp_train: 0.7429, tmp_val: 0.4750, tmp_test: 0.4782, Train: 0.7429, Val: 0.4750, Test: 0.4782, Best time: 2.3200
Epoch: 4, Runtime: 0.0210, Loss: 1.770, forward nfe 35, backward nfe 0, tmp_train: 0.8429, tmp_val: 0.5140, tmp_test: 0.5208, Train: 0.8429, Val: 0.5140, Test: 0.5208, Best time: 2.3200
Epoch: 5, Runtime: 0.0204, Loss: 1.748, forward nfe 45, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.5441, tmp_test: 0.5360, Train: 0.8714, Val: 0.5441, Test: 0.5360, Best time: 2.3200
Epoch: 6, Runtime: 0.0206, Loss: 1.692, forward nfe 55, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.6081, tmp_test: 0.5909, Train: 0.9071, Val: 0.6081, Test: 0.5909, Best time: 2.3200
Epoch: 7, Runtime: 0.0208, Loss: 1.640, forward nfe 65, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.6507, tmp_test: 0.6335, Train: 0.9286, Val: 0.6507, Test: 0.6335, Best time: 2.3200
Epoch: 8, Runtime: 0.0217, Loss: 1.602, forward nfe 75, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.6860, tmp_test: 0.6772, Train: 0.9357, Val: 0.6860, Test: 0.6772, Best time: 2.3200
Epoch: 9, Runtime: 0.0202, Loss: 1.517, forward nfe 85, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7000, tmp_test: 0.6985, Train: 0.9500, Val: 0.7000, Test: 0.6985, Best time: 2.3200
Epoch: 10, Runtime: 0.0217, Loss: 1.485, forward nfe 95, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7169, tmp_test: 0.7107, Train: 0.9500, Val: 0.7169, Test: 0.7107, Best time: 2.3200
Epoch: 11, Runtime: 0.0215, Loss: 1.480, forward nfe 105, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7257, tmp_test: 0.7259, Train: 0.9500, Val: 0.7257, Test: 0.7259, Best time: 2.3200
Epoch: 12, Runtime: 0.0212, Loss: 1.270, forward nfe 115, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7390, tmp_test: 0.7340, Train: 0.9643, Val: 0.7390, Test: 0.7340, Best time: 2.3200
Epoch: 13, Runtime: 0.0214, Loss: 1.266, forward nfe 125, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7449, tmp_test: 0.7401, Train: 0.9643, Val: 0.7449, Test: 0.7401, Best time: 2.3200
Epoch: 14, Runtime: 0.0206, Loss: 1.302, forward nfe 135, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7478, tmp_test: 0.7391, Train: 0.9714, Val: 0.7478, Test: 0.7391, Best time: 2.3200
Epoch: 15, Runtime: 0.0209, Loss: 1.307, forward nfe 145, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7625, tmp_test: 0.7543, Train: 0.9929, Val: 0.7625, Test: 0.7543, Best time: 2.3200
Epoch: 16, Runtime: 0.0221, Loss: 1.304, forward nfe 155, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7695, Train: 1.0000, Val: 0.7735, Test: 0.7695, Best time: 2.3200
Epoch: 17, Runtime: 0.0220, Loss: 1.191, forward nfe 165, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7726, Train: 1.0000, Val: 0.7838, Test: 0.7726, Best time: 2.3200
Epoch: 18, Runtime: 0.0208, Loss: 1.144, forward nfe 175, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.7807, Train: 1.0000, Val: 0.7904, Test: 0.7807, Best time: 2.3200
Epoch: 19, Runtime: 0.0208, Loss: 1.239, forward nfe 185, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.7868, Train: 1.0000, Val: 0.7956, Test: 0.7868, Best time: 2.3200
Epoch: 20, Runtime: 0.0202, Loss: 1.075, forward nfe 195, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8000, tmp_test: 0.8000, Train: 1.0000, Val: 0.8000, Test: 0.8000, Best time: 2.3200
Epoch: 21, Runtime: 0.0207, Loss: 1.146, forward nfe 205, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8022, tmp_test: 0.8041, Train: 1.0000, Val: 0.8022, Test: 0.8041, Best time: 2.3200
