
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.5, 'augment': False, 'method': 'euler', 'step_size': 0.35000000000000003, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m11.weight
torch.Size([128, 128])
m11.bias
torch.Size([128])
m12.weight
torch.Size([128, 128])
m12.bias
torch.Size([128])
m2.weight
torch.Size([7, 128])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 128])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1197, Loss: 1.953, forward nfe 8, backward nfe 0, tmp_train: 0.3000, tmp_val: 0.1787, tmp_test: 0.1848, Train: 0.3000, Val: 0.1787, Test: 0.1848, Best time: 2.5000
Epoch: 2, Runtime: 0.6951, Loss: 1.917, forward nfe 24, backward nfe 0, tmp_train: 0.7286, tmp_val: 0.3412, tmp_test: 0.3624, Train: 0.7286, Val: 0.3412, Test: 0.3624, Best time: 2.5000
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.3665, Loss: 1.815, forward nfe 40, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.4581, tmp_test: 0.4629, Train: 0.8071, Val: 0.4581, Test: 0.4629, Best time: 2.5000
Epoch: 4, Runtime: 0.0305, Loss: 1.719, forward nfe 56, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.6449, tmp_test: 0.6223, Train: 0.9071, Val: 0.6449, Test: 0.6223, Best time: 2.5000
Epoch: 5, Runtime: 0.0291, Loss: 1.492, forward nfe 72, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.6978, tmp_test: 0.6812, Train: 0.9357, Val: 0.6978, Test: 0.6812, Best time: 2.5000
Epoch: 6, Runtime: 0.0294, Loss: 1.305, forward nfe 88, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7507, tmp_test: 0.7452, Train: 0.9714, Val: 0.7507, Test: 0.7452, Best time: 2.5000
Epoch: 7, Runtime: 0.0287, Loss: 1.088, forward nfe 104, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.6338, tmp_test: 0.6274, Train: 0.9714, Val: 0.7507, Test: 0.7452, Best time: 2.5000
Epoch: 8, Runtime: 0.0285, Loss: 0.701, forward nfe 120, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.6684, tmp_test: 0.6640, Train: 0.9714, Val: 0.7507, Test: 0.7452, Best time: 2.5000
Epoch: 9, Runtime: 0.0288, Loss: 0.546, forward nfe 136, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7993, tmp_test: 0.7970, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 10, Runtime: 0.0285, Loss: 0.450, forward nfe 152, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7956, tmp_test: 0.7898, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 11, Runtime: 0.0336, Loss: 0.272, forward nfe 168, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7684, tmp_test: 0.7624, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 12, Runtime: 0.0288, Loss: 0.226, forward nfe 184, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7624, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 13, Runtime: 0.0295, Loss: 0.206, forward nfe 200, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7736, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 14, Runtime: 0.0284, Loss: 0.159, forward nfe 216, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7824, tmp_test: 0.7756, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 15, Runtime: 0.0285, Loss: 0.201, forward nfe 232, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7846, tmp_test: 0.7858, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 16, Runtime: 0.0294, Loss: 0.098, forward nfe 248, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7919, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 17, Runtime: 0.0287, Loss: 0.251, forward nfe 264, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7640, tmp_test: 0.7675, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 18, Runtime: 0.0285, Loss: 0.099, forward nfe 280, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7434, tmp_test: 0.7279, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 19, Runtime: 0.0302, Loss: 0.189, forward nfe 296, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7287, tmp_test: 0.7188, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 20, Runtime: 0.0325, Loss: 0.244, forward nfe 312, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7346, tmp_test: 0.7228, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
Epoch: 21, Runtime: 0.0299, Loss: 0.208, forward nfe 328, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7529, tmp_test: 0.7421, Train: 0.9786, Val: 0.7993, Test: 0.7970, Best time: 2.5000
