
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.36, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 32])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.1134, Loss: 1.934, forward nfe 6, backward nfe 0, tmp_train: 0.4714, tmp_val: 0.2794, tmp_test: 0.3046, Train: 0.4714, Val: 0.2794, Test: 0.3046, Best time: 2.3600
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7103, Loss: 1.898, forward nfe 18, backward nfe 0, tmp_train: 0.7643, tmp_val: 0.5603, tmp_test: 0.5980, Train: 0.7643, Val: 0.5603, Test: 0.5980, Best time: 2.3600
Epoch: 3, Runtime: 1.3638, Loss: 1.814, forward nfe 30, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.6618, tmp_test: 0.6690, Train: 0.8643, Val: 0.6618, Test: 0.6690, Best time: 2.3600
Epoch: 4, Runtime: 0.0245, Loss: 1.763, forward nfe 42, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.7029, tmp_test: 0.7137, Train: 0.8786, Val: 0.7029, Test: 0.7137, Best time: 2.3600
Epoch: 5, Runtime: 0.0239, Loss: 1.727, forward nfe 54, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7375, tmp_test: 0.7472, Train: 0.9071, Val: 0.7375, Test: 0.7472, Best time: 2.3600
Epoch: 6, Runtime: 0.0236, Loss: 1.649, forward nfe 66, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7544, tmp_test: 0.7624, Train: 0.9071, Val: 0.7544, Test: 0.7624, Best time: 2.3600
Epoch: 7, Runtime: 0.0240, Loss: 1.645, forward nfe 78, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7676, tmp_test: 0.7645, Train: 0.9286, Val: 0.7676, Test: 0.7645, Best time: 2.3600
Epoch: 8, Runtime: 0.0237, Loss: 1.543, forward nfe 90, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7706, tmp_test: 0.7736, Train: 0.9286, Val: 0.7706, Test: 0.7736, Best time: 2.3600
Epoch: 9, Runtime: 0.0229, Loss: 1.480, forward nfe 102, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7772, tmp_test: 0.7736, Train: 0.9429, Val: 0.7772, Test: 0.7736, Best time: 2.3600
Epoch: 10, Runtime: 0.0234, Loss: 1.467, forward nfe 114, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7816, tmp_test: 0.7756, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 11, Runtime: 0.0232, Loss: 1.457, forward nfe 126, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7787, tmp_test: 0.7756, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 12, Runtime: 0.0266, Loss: 1.299, forward nfe 138, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7721, tmp_test: 0.7726, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 13, Runtime: 0.0234, Loss: 1.321, forward nfe 150, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7654, tmp_test: 0.7695, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 14, Runtime: 0.0246, Loss: 1.346, forward nfe 162, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7581, tmp_test: 0.7655, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 15, Runtime: 0.0260, Loss: 1.185, forward nfe 174, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7544, tmp_test: 0.7706, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 16, Runtime: 0.0263, Loss: 1.078, forward nfe 186, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7551, tmp_test: 0.7756, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 17, Runtime: 0.0256, Loss: 1.205, forward nfe 198, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7618, tmp_test: 0.7797, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 18, Runtime: 0.0253, Loss: 1.042, forward nfe 210, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7640, tmp_test: 0.7777, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 19, Runtime: 0.0273, Loss: 1.056, forward nfe 222, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7728, tmp_test: 0.7878, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 20, Runtime: 0.0264, Loss: 1.188, forward nfe 234, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7757, tmp_test: 0.7898, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
Epoch: 21, Runtime: 0.0261, Loss: 1.118, forward nfe 246, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7743, tmp_test: 0.7888, Train: 0.9571, Val: 0.7816, Test: 0.7756, Best time: 2.3600
