
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.42, 'augment': False, 'method': 'euler', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.weight
torch.Size([7, 64])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.1118, Loss: 1.949, forward nfe 7, backward nfe 0, tmp_train: 0.5714, tmp_val: 0.2919, tmp_test: 0.2812, Train: 0.5714, Val: 0.2919, Test: 0.2812, Best time: 2.4200
Epoch: 2, Runtime: 0.7065, Loss: 1.886, forward nfe 21, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.6706, tmp_test: 0.6863, Train: 0.9357, Val: 0.6706, Test: 0.6863, Best time: 2.4200
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.4090, Loss: 1.781, forward nfe 35, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7125, tmp_test: 0.7239, Train: 0.9571, Val: 0.7125, Test: 0.7239, Best time: 2.4200
Epoch: 4, Runtime: 0.0290, Loss: 1.629, forward nfe 49, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7419, tmp_test: 0.7452, Train: 0.9571, Val: 0.7419, Test: 0.7452, Best time: 2.4200
Epoch: 5, Runtime: 0.0283, Loss: 1.480, forward nfe 63, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7654, tmp_test: 0.7756, Train: 0.9643, Val: 0.7654, Test: 0.7756, Best time: 2.4200
Epoch: 6, Runtime: 0.0274, Loss: 1.327, forward nfe 77, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7816, tmp_test: 0.7898, Train: 0.9643, Val: 0.7816, Test: 0.7898, Best time: 2.4200
Epoch: 7, Runtime: 0.0261, Loss: 1.126, forward nfe 91, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7904, tmp_test: 0.8071, Train: 0.9714, Val: 0.7904, Test: 0.8071, Best time: 2.4200
Epoch: 8, Runtime: 0.0282, Loss: 0.943, forward nfe 105, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7963, tmp_test: 0.8061, Train: 0.9786, Val: 0.7963, Test: 0.8061, Best time: 2.4200
Epoch: 9, Runtime: 0.0292, Loss: 0.793, forward nfe 119, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7971, tmp_test: 0.8041, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 10, Runtime: 0.0293, Loss: 0.621, forward nfe 133, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7956, tmp_test: 0.7980, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 11, Runtime: 0.0282, Loss: 0.482, forward nfe 147, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7963, tmp_test: 0.7970, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 12, Runtime: 0.0282, Loss: 0.424, forward nfe 161, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7846, tmp_test: 0.7848, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 13, Runtime: 0.0293, Loss: 0.389, forward nfe 175, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7824, tmp_test: 0.7807, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 14, Runtime: 0.0350, Loss: 0.306, forward nfe 189, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7676, tmp_test: 0.7685, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 15, Runtime: 0.0290, Loss: 0.247, forward nfe 203, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7581, tmp_test: 0.7543, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 16, Runtime: 0.0289, Loss: 0.246, forward nfe 217, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7632, tmp_test: 0.7604, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 17, Runtime: 0.0314, Loss: 0.251, forward nfe 231, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7757, tmp_test: 0.7756, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 18, Runtime: 0.0297, Loss: 0.205, forward nfe 245, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7868, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 19, Runtime: 0.0306, Loss: 0.173, forward nfe 259, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7875, tmp_test: 0.7939, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 20, Runtime: 0.0316, Loss: 0.186, forward nfe 273, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7838, tmp_test: 0.7888, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
Epoch: 21, Runtime: 0.0265, Loss: 0.220, forward nfe 287, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7909, Train: 0.9786, Val: 0.7971, Test: 0.8041, Best time: 2.4200
