
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.31, 'augment': False, 'method': 'rk4', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.1570, Loss: 1.958, forward nfe 24, backward nfe 0, tmp_train: 0.5143, tmp_val: 0.3412, tmp_test: 0.3574, Train: 0.5143, Val: 0.3412, Test: 0.3574, Best time: 2.3100
Epoch: 2, Runtime: 0.7329, Loss: 1.930, forward nfe 72, backward nfe 0, tmp_train: 0.5500, tmp_val: 0.3059, tmp_test: 0.3137, Train: 0.5143, Val: 0.3412, Test: 0.3574, Best time: 2.3100
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.4081, Loss: 1.890, forward nfe 120, backward nfe 0, tmp_train: 0.6214, tmp_val: 0.3743, tmp_test: 0.4010, Train: 0.6214, Val: 0.3743, Test: 0.4010, Best time: 2.3100
Epoch: 4, Runtime: 0.0676, Loss: 1.862, forward nfe 168, backward nfe 0, tmp_train: 0.6214, tmp_val: 0.4051, tmp_test: 0.4315, Train: 0.6214, Val: 0.4051, Test: 0.4315, Best time: 2.3100
Epoch: 5, Runtime: 0.0666, Loss: 1.817, forward nfe 216, backward nfe 0, tmp_train: 0.7000, tmp_val: 0.4316, tmp_test: 0.4548, Train: 0.7000, Val: 0.4316, Test: 0.4548, Best time: 2.3100
Epoch: 6, Runtime: 0.0662, Loss: 1.778, forward nfe 264, backward nfe 0, tmp_train: 0.7143, tmp_val: 0.4574, tmp_test: 0.4832, Train: 0.7143, Val: 0.4574, Test: 0.4832, Best time: 2.3100
Epoch: 7, Runtime: 0.0678, Loss: 1.776, forward nfe 312, backward nfe 0, tmp_train: 0.8429, tmp_val: 0.5581, tmp_test: 0.6000, Train: 0.8429, Val: 0.5581, Test: 0.6000, Best time: 2.3100
Epoch: 8, Runtime: 0.0642, Loss: 1.674, forward nfe 360, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.6522, tmp_test: 0.6792, Train: 0.8857, Val: 0.6522, Test: 0.6792, Best time: 2.3100
Epoch: 9, Runtime: 0.0688, Loss: 1.633, forward nfe 408, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6809, tmp_test: 0.7076, Train: 0.9143, Val: 0.6809, Test: 0.7076, Best time: 2.3100
Epoch: 10, Runtime: 0.0692, Loss: 1.589, forward nfe 456, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6801, tmp_test: 0.7168, Train: 0.9143, Val: 0.6809, Test: 0.7076, Best time: 2.3100
Epoch: 11, Runtime: 0.0699, Loss: 1.548, forward nfe 504, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6801, tmp_test: 0.7168, Train: 0.9143, Val: 0.6809, Test: 0.7076, Best time: 2.3100
Epoch: 12, Runtime: 0.0688, Loss: 1.533, forward nfe 552, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6647, tmp_test: 0.6954, Train: 0.9143, Val: 0.6809, Test: 0.7076, Best time: 2.3100
Epoch: 13, Runtime: 0.0680, Loss: 1.501, forward nfe 600, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.6419, tmp_test: 0.6802, Train: 0.9143, Val: 0.6809, Test: 0.7076, Best time: 2.3100
Epoch: 14, Runtime: 0.0697, Loss: 1.326, forward nfe 648, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6375, tmp_test: 0.6741, Train: 0.9143, Val: 0.6809, Test: 0.7076, Best time: 2.3100
Epoch: 15, Runtime: 0.0736, Loss: 1.385, forward nfe 696, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6522, tmp_test: 0.6883, Train: 0.9143, Val: 0.6809, Test: 0.7076, Best time: 2.3100
Epoch: 16, Runtime: 0.0715, Loss: 1.170, forward nfe 744, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.6632, tmp_test: 0.7076, Train: 0.9143, Val: 0.6809, Test: 0.7076, Best time: 2.3100
Epoch: 17, Runtime: 0.0705, Loss: 1.293, forward nfe 792, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.6993, tmp_test: 0.7289, Train: 0.9643, Val: 0.6993, Test: 0.7289, Best time: 2.3100
Epoch: 18, Runtime: 0.0716, Loss: 1.254, forward nfe 840, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7301, tmp_test: 0.7695, Train: 0.9643, Val: 0.7301, Test: 0.7695, Best time: 2.3100
Epoch: 19, Runtime: 0.0694, Loss: 1.269, forward nfe 888, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7456, tmp_test: 0.7777, Train: 0.9857, Val: 0.7456, Test: 0.7777, Best time: 2.3100
Epoch: 20, Runtime: 0.0718, Loss: 1.274, forward nfe 936, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7471, tmp_test: 0.7797, Train: 0.9929, Val: 0.7471, Test: 0.7797, Best time: 2.3100
Epoch: 21, Runtime: 0.0701, Loss: 1.104, forward nfe 984, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7500, tmp_test: 0.7868, Train: 1.0000, Val: 0.7500, Test: 0.7868, Best time: 2.3100
