
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.1, 'augment': False, 'method': 'euler', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1382, Loss: 1.955, forward nfe 11, backward nfe 0, tmp_train: 0.5429, tmp_val: 0.2640, tmp_test: 0.2924, Train: 0.5429, Val: 0.2640, Test: 0.2924, Best time: 2.1000
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7280, Loss: 1.860, forward nfe 33, backward nfe 0, tmp_train: 0.7214, tmp_val: 0.4478, tmp_test: 0.4741, Train: 0.7214, Val: 0.4478, Test: 0.4741, Best time: 2.1000
Epoch: 3, Runtime: 1.4495, Loss: 1.756, forward nfe 55, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.6574, tmp_test: 0.6792, Train: 0.9357, Val: 0.6574, Test: 0.6792, Best time: 2.1000
Epoch: 4, Runtime: 0.0457, Loss: 1.533, forward nfe 77, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.6654, tmp_test: 0.6731, Train: 0.9500, Val: 0.6654, Test: 0.6731, Best time: 2.1000
Epoch: 5, Runtime: 0.0460, Loss: 1.083, forward nfe 99, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7507, tmp_test: 0.7452, Train: 0.9429, Val: 0.7507, Test: 0.7452, Best time: 2.1000
Epoch: 6, Runtime: 0.0460, Loss: 0.579, forward nfe 121, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6184, tmp_test: 0.6416, Train: 0.9429, Val: 0.7507, Test: 0.7452, Best time: 2.1000
Epoch: 7, Runtime: 0.0470, Loss: 0.801, forward nfe 143, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7728, tmp_test: 0.7766, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 8, Runtime: 0.0442, Loss: 0.516, forward nfe 165, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7228, tmp_test: 0.7279, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 9, Runtime: 0.0457, Loss: 0.492, forward nfe 187, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7412, tmp_test: 0.7543, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 10, Runtime: 0.0547, Loss: 0.332, forward nfe 209, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7375, tmp_test: 0.7533, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 11, Runtime: 0.0485, Loss: 0.217, forward nfe 231, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7257, tmp_test: 0.7381, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 12, Runtime: 0.0500, Loss: 0.172, forward nfe 253, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6993, tmp_test: 0.7168, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 13, Runtime: 0.0493, Loss: 0.177, forward nfe 275, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7051, tmp_test: 0.7137, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 14, Runtime: 0.0481, Loss: 0.146, forward nfe 297, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7059, tmp_test: 0.7249, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 15, Runtime: 0.0462, Loss: 0.202, forward nfe 319, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7132, tmp_test: 0.7269, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 16, Runtime: 0.0445, Loss: 0.287, forward nfe 341, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7456, tmp_test: 0.7462, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 17, Runtime: 0.0440, Loss: 0.203, forward nfe 363, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7368, tmp_test: 0.7492, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 18, Runtime: 0.0456, Loss: 0.350, forward nfe 385, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7257, tmp_test: 0.7259, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 19, Runtime: 0.0465, Loss: 0.212, forward nfe 407, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7096, tmp_test: 0.6995, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 20, Runtime: 0.0471, Loss: 0.295, forward nfe 429, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7029, tmp_test: 0.6944, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 21, Runtime: 0.0483, Loss: 0.430, forward nfe 451, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7147, tmp_test: 0.7096, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
