
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.18, 'augment': False, 'method': 'rk4', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m11.weight
torch.Size([128, 128])
m11.bias
torch.Size([128])
m12.weight
torch.Size([128, 128])
m12.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1673, Loss: 1.962, forward nfe 20, backward nfe 0, tmp_train: 0.1714, tmp_val: 0.0625, tmp_test: 0.0711, Train: 0.1714, Val: 0.0625, Test: 0.0711, Best time: 2.1800
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7352, Loss: 1.962, forward nfe 60, backward nfe 0, tmp_train: 0.1643, tmp_val: 0.0993, tmp_test: 0.0660, Train: 0.1643, Val: 0.0993, Test: 0.0660, Best time: 2.1800
Epoch: 3, Runtime: 1.4084, Loss: 1.928, forward nfe 100, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.0956, tmp_test: 0.0660, Train: 0.1643, Val: 0.0993, Test: 0.0660, Best time: 2.1800
Epoch: 4, Runtime: 0.0689, Loss: 1.930, forward nfe 140, backward nfe 0, tmp_train: 0.3071, tmp_val: 0.1375, tmp_test: 0.1157, Train: 0.3071, Val: 0.1375, Test: 0.1157, Best time: 2.1800
Epoch: 5, Runtime: 0.0649, Loss: 1.911, forward nfe 180, backward nfe 0, tmp_train: 0.6643, tmp_val: 0.4676, tmp_test: 0.4863, Train: 0.6643, Val: 0.4676, Test: 0.4863, Best time: 2.1800
Epoch: 6, Runtime: 0.0777, Loss: 1.903, forward nfe 220, backward nfe 0, tmp_train: 0.7500, tmp_val: 0.5926, tmp_test: 0.5970, Train: 0.7500, Val: 0.5926, Test: 0.5970, Best time: 2.1800
Epoch: 7, Runtime: 0.0610, Loss: 1.900, forward nfe 260, backward nfe 0, tmp_train: 0.6857, tmp_val: 0.5632, tmp_test: 0.5513, Train: 0.7500, Val: 0.5926, Test: 0.5970, Best time: 2.1800
Epoch: 8, Runtime: 0.0636, Loss: 1.883, forward nfe 300, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.6794, tmp_test: 0.6528, Train: 0.7714, Val: 0.6794, Test: 0.6528, Best time: 2.1800
Epoch: 9, Runtime: 0.0696, Loss: 1.823, forward nfe 340, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.7824, tmp_test: 0.7695, Train: 0.8571, Val: 0.7824, Test: 0.7695, Best time: 2.1800
Epoch: 10, Runtime: 0.0607, Loss: 1.785, forward nfe 380, backward nfe 0, tmp_train: 0.8143, tmp_val: 0.7294, tmp_test: 0.7482, Train: 0.8571, Val: 0.7824, Test: 0.7695, Best time: 2.1800
Epoch: 11, Runtime: 0.0652, Loss: 1.742, forward nfe 420, backward nfe 0, tmp_train: 0.8143, tmp_val: 0.7368, tmp_test: 0.7594, Train: 0.8571, Val: 0.7824, Test: 0.7695, Best time: 2.1800
Epoch: 12, Runtime: 0.0761, Loss: 1.772, forward nfe 460, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.7669, tmp_test: 0.7706, Train: 0.8571, Val: 0.7824, Test: 0.7695, Best time: 2.1800
Epoch: 13, Runtime: 0.0637, Loss: 1.649, forward nfe 500, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.7691, tmp_test: 0.7766, Train: 0.8571, Val: 0.7824, Test: 0.7695, Best time: 2.1800
Epoch: 14, Runtime: 0.0666, Loss: 1.543, forward nfe 540, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.7162, tmp_test: 0.7107, Train: 0.8571, Val: 0.7824, Test: 0.7695, Best time: 2.1800
Epoch: 15, Runtime: 0.0690, Loss: 1.535, forward nfe 580, backward nfe 0, tmp_train: 0.7929, tmp_val: 0.6169, tmp_test: 0.6173, Train: 0.8571, Val: 0.7824, Test: 0.7695, Best time: 2.1800
Epoch: 16, Runtime: 0.0622, Loss: 1.573, forward nfe 620, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.6522, tmp_test: 0.6437, Train: 0.8571, Val: 0.7824, Test: 0.7695, Best time: 2.1800
Epoch: 17, Runtime: 0.0702, Loss: 1.412, forward nfe 660, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.7610, tmp_test: 0.7553, Train: 0.8571, Val: 0.7824, Test: 0.7695, Best time: 2.1800
Epoch: 18, Runtime: 0.0694, Loss: 1.281, forward nfe 700, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7882, tmp_test: 0.7868, Train: 0.9143, Val: 0.7882, Test: 0.7868, Best time: 2.1800
Epoch: 19, Runtime: 0.0710, Loss: 1.287, forward nfe 740, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.7890, tmp_test: 0.7827, Train: 0.8786, Val: 0.7890, Test: 0.7827, Best time: 2.1800
Epoch: 20, Runtime: 0.0720, Loss: 1.366, forward nfe 780, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7860, tmp_test: 0.7868, Train: 0.8786, Val: 0.7890, Test: 0.7827, Best time: 2.1800
Epoch: 21, Runtime: 0.0672, Loss: 1.227, forward nfe 820, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.8007, tmp_test: 0.7980, Train: 0.9429, Val: 0.8007, Test: 0.7980, Best time: 2.1800
