
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.25, 'augment': False, 'method': 'euler', 'step_size': 0.15000000000000002, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m11.weight
torch.Size([64, 64])
m11.bias
torch.Size([64])
m12.weight
torch.Size([64, 64])
m12.bias
torch.Size([64])
m2.weight
torch.Size([7, 64])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.1662, Loss: 1.942, forward nfe 15, backward nfe 0, tmp_train: 0.7000, tmp_val: 0.4978, tmp_test: 0.5076, Train: 0.7000, Val: 0.4978, Test: 0.5076, Best time: 2.2500
Epoch: 2, Runtime: 0.7468, Loss: 1.822, forward nfe 45, backward nfe 0, tmp_train: 0.7643, tmp_val: 0.4735, tmp_test: 0.4924, Train: 0.7000, Val: 0.4978, Test: 0.5076, Best time: 2.2500
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.3873, Loss: 1.748, forward nfe 75, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6059, tmp_test: 0.6071, Train: 0.8786, Val: 0.6059, Test: 0.6071, Best time: 2.2500
Epoch: 4, Runtime: 0.0753, Loss: 1.597, forward nfe 105, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.6882, tmp_test: 0.6792, Train: 0.9357, Val: 0.6882, Test: 0.6792, Best time: 2.2500
Epoch: 5, Runtime: 0.0712, Loss: 1.394, forward nfe 135, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7478, tmp_test: 0.7482, Train: 0.9500, Val: 0.7478, Test: 0.7482, Best time: 2.2500
Epoch: 6, Runtime: 0.0704, Loss: 1.170, forward nfe 165, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7735, tmp_test: 0.7766, Train: 0.9786, Val: 0.7735, Test: 0.7766, Best time: 2.2500
Epoch: 7, Runtime: 0.0748, Loss: 0.908, forward nfe 195, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7831, tmp_test: 0.7787, Train: 0.9643, Val: 0.7831, Test: 0.7787, Best time: 2.2500
Epoch: 8, Runtime: 0.0705, Loss: 0.670, forward nfe 225, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7772, tmp_test: 0.7716, Train: 0.9643, Val: 0.7831, Test: 0.7787, Best time: 2.2500
Epoch: 9, Runtime: 0.0739, Loss: 0.528, forward nfe 255, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7743, tmp_test: 0.7604, Train: 0.9643, Val: 0.7831, Test: 0.7787, Best time: 2.2500
Epoch: 10, Runtime: 0.0768, Loss: 0.428, forward nfe 285, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7846, tmp_test: 0.7726, Train: 0.9786, Val: 0.7846, Test: 0.7726, Best time: 2.2500
Epoch: 11, Runtime: 0.0713, Loss: 0.357, forward nfe 315, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8007, tmp_test: 0.7959, Train: 1.0000, Val: 0.8007, Test: 0.7959, Best time: 2.2500
Epoch: 12, Runtime: 0.0724, Loss: 0.312, forward nfe 345, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8125, tmp_test: 0.8061, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
Epoch: 13, Runtime: 0.0733, Loss: 0.201, forward nfe 375, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8066, tmp_test: 0.8122, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
Epoch: 14, Runtime: 0.0767, Loss: 0.160, forward nfe 405, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8044, tmp_test: 0.7970, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
Epoch: 15, Runtime: 0.0706, Loss: 0.152, forward nfe 435, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8022, tmp_test: 0.7919, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
Epoch: 16, Runtime: 0.0730, Loss: 0.151, forward nfe 465, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8051, tmp_test: 0.7848, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
Epoch: 17, Runtime: 0.0905, Loss: 0.197, forward nfe 495, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8007, tmp_test: 0.7827, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
Epoch: 18, Runtime: 0.0812, Loss: 0.166, forward nfe 525, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.7807, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
Epoch: 19, Runtime: 0.0757, Loss: 0.248, forward nfe 555, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7635, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
Epoch: 20, Runtime: 0.0758, Loss: 0.144, forward nfe 585, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7544, tmp_test: 0.7553, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
Epoch: 21, Runtime: 0.0734, Loss: 0.128, forward nfe 615, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7419, tmp_test: 0.7462, Train: 1.0000, Val: 0.8125, Test: 0.8061, Best time: 2.2500
