
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.22, 'augment': False, 'method': 'rk4', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([7, 256])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.2247, Loss: 1.949, forward nfe 48, backward nfe 0, tmp_train: 0.7000, tmp_val: 0.4824, tmp_test: 0.4792, Train: 0.7000, Val: 0.4824, Test: 0.4792, Best time: 2.2200
Epoch: 2, Runtime: 0.8213, Loss: 1.799, forward nfe 144, backward nfe 0, tmp_train: 0.7500, tmp_val: 0.5184, tmp_test: 0.5442, Train: 0.7500, Val: 0.5184, Test: 0.5442, Best time: 2.2200
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.5049, Loss: 1.570, forward nfe 240, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6051, tmp_test: 0.6152, Train: 0.8786, Val: 0.6051, Test: 0.6152, Best time: 2.2200
Epoch: 4, Runtime: 0.1469, Loss: 1.297, forward nfe 336, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7147, tmp_test: 0.7442, Train: 0.9357, Val: 0.7147, Test: 0.7442, Best time: 2.2200
Epoch: 5, Runtime: 0.1441, Loss: 1.172, forward nfe 432, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7309, tmp_test: 0.7533, Train: 0.9857, Val: 0.7309, Test: 0.7533, Best time: 2.2200
Epoch: 6, Runtime: 0.1614, Loss: 1.033, forward nfe 528, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7654, tmp_test: 0.8132, Train: 0.9929, Val: 0.7654, Test: 0.8132, Best time: 2.2200
Epoch: 7, Runtime: 0.1473, Loss: 0.833, forward nfe 624, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.8213, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 8, Runtime: 0.1463, Loss: 0.725, forward nfe 720, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7419, tmp_test: 0.7777, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 9, Runtime: 0.1453, Loss: 0.791, forward nfe 816, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7382, tmp_test: 0.7736, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 10, Runtime: 0.1388, Loss: 0.670, forward nfe 912, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7382, tmp_test: 0.7766, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 11, Runtime: 0.1580, Loss: 0.742, forward nfe 1008, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7471, tmp_test: 0.7766, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 12, Runtime: 0.1571, Loss: 0.576, forward nfe 1104, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7441, tmp_test: 0.7736, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 13, Runtime: 0.1423, Loss: 0.577, forward nfe 1200, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7485, tmp_test: 0.7766, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 14, Runtime: 0.1358, Loss: 0.742, forward nfe 1296, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7706, tmp_test: 0.7970, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 15, Runtime: 0.1536, Loss: 0.619, forward nfe 1392, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7507, tmp_test: 0.7898, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 16, Runtime: 0.1660, Loss: 0.679, forward nfe 1488, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7140, tmp_test: 0.7401, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 17, Runtime: 0.1531, Loss: 0.712, forward nfe 1584, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6772, tmp_test: 0.7046, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 18, Runtime: 0.1437, Loss: 0.570, forward nfe 1680, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6750, tmp_test: 0.6944, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 19, Runtime: 0.1597, Loss: 0.687, forward nfe 1776, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6956, tmp_test: 0.7137, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 20, Runtime: 0.1508, Loss: 0.585, forward nfe 1872, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7213, tmp_test: 0.7401, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 21, Runtime: 0.1536, Loss: 0.763, forward nfe 1968, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7654, tmp_test: 0.7888, Train: 1.0000, Val: 0.7721, Test: 0.8213, Best time: 2.2200
Epoch: 22, Runtime: 0.1439, Loss: 0.653, forward nfe 2064, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7890, tmp_test: 0.8162, Train: 1.0000, Val: 0.7890, Test: 0.8162, Best time: 2.2200
Epoch: 23, Runtime: 0.1493, Loss: 0.666, forward nfe 2160, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.8010, Train: 1.0000, Val: 0.7890, Test: 0.8162, Best time: 2.2200
Epoch: 24, Runtime: 0.1535, Loss: 0.636, forward nfe 2256, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7449, tmp_test: 0.7685, Train: 1.0000, Val: 0.7890, Test: 0.8162, Best time: 2.2200
Epoch: 25, Runtime: 0.1444, Loss: 0.692, forward nfe 2352, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7338, tmp_test: 0.7411, Train: 1.0000, Val: 0.7890, Test: 0.8162, Best time: 2.2200
Epoch: 26, Runtime: 0.1580, Loss: 0.701, forward nfe 2448, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7301, tmp_test: 0.7411, Train: 1.0000, Val: 0.7890, Test: 0.8162, Best time: 2.2200
Epoch: 27, Runtime: 0.1462, Loss: 0.629, forward nfe 2544, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6993, tmp_test: 0.7188, Train: 1.0000, Val: 0.7890, Test: 0.8162, Best time: 2.2200
Epoch: 28, Runtime: 0.1343, Loss: 0.678, forward nfe 2640, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7191, tmp_test: 0.7371, Train: 1.0000, Val: 0.7890, Test: 0.8162, Best time: 2.2200
Epoch: 29, Runtime: 0.1505, Loss: 0.686, forward nfe 2736, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7353, tmp_test: 0.7523, Train: 1.0000, Val: 0.7890, Test: 0.8162, Best time: 2.2200
Epoch: 30, Runtime: 0.1565, Loss: 0.705, forward nfe 2832, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7757, tmp_test: 0.7970, Train: 1.0000, Val: 0.7890, Test: 0.8162, Best time: 2.2200
Epoch: 31, Runtime: 0.1536, Loss: 0.742, forward nfe 2928, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7993, tmp_test: 0.8162, Train: 1.0000, Val: 0.7993, Test: 0.8162, Best time: 2.2200
Epoch: 32, Runtime: 0.1462, Loss: 0.662, forward nfe 3024, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7990, Train: 1.0000, Val: 0.7993, Test: 0.8162, Best time: 2.2200
Epoch: 33, Runtime: 0.1440, Loss: 0.610, forward nfe 3120, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7471, tmp_test: 0.7726, Train: 1.0000, Val: 0.7993, Test: 0.8162, Best time: 2.2200
Epoch: 34, Runtime: 0.1387, Loss: 0.772, forward nfe 3216, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7412, tmp_test: 0.7645, Train: 1.0000, Val: 0.7993, Test: 0.8162, Best time: 2.2200
Epoch: 35, Runtime: 0.1463, Loss: 0.692, forward nfe 3312, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7463, tmp_test: 0.7797, Train: 1.0000, Val: 0.7993, Test: 0.8162, Best time: 2.2200
Epoch: 36, Runtime: 0.1534, Loss: 0.686, forward nfe 3408, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7456, tmp_test: 0.7736, Train: 1.0000, Val: 0.7993, Test: 0.8162, Best time: 2.2200
Epoch: 37, Runtime: 0.1500, Loss: 0.599, forward nfe 3504, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7544, tmp_test: 0.7675, Train: 1.0000, Val: 0.7993, Test: 0.8162, Best time: 2.2200
