
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.38, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 1, Runtime: 0.1375, Loss: 1.947, forward nfe 6, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7162, tmp_test: 0.7563, Train: 0.9571, Val: 0.7162, Test: 0.7563, Best time: 2.3800
Epoch: 2, Runtime: 0.7426, Loss: 1.614, forward nfe 18, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.6912, tmp_test: 0.7411, Train: 0.9571, Val: 0.7162, Test: 0.7563, Best time: 2.3800
Epoch: 3, Runtime: 1.3770, Loss: 1.218, forward nfe 30, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7132, tmp_test: 0.7584, Train: 0.9571, Val: 0.7162, Test: 0.7563, Best time: 2.3800
Epoch: 4, Runtime: 0.0675, Loss: 0.818, forward nfe 42, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7434, tmp_test: 0.7848, Train: 0.9714, Val: 0.7434, Test: 0.7848, Best time: 2.3800
Epoch: 5, Runtime: 0.0432, Loss: 0.567, forward nfe 54, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7662, tmp_test: 0.7990, Train: 0.9929, Val: 0.7662, Test: 0.7990, Best time: 2.3800
Epoch: 6, Runtime: 0.0441, Loss: 0.308, forward nfe 66, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7824, tmp_test: 0.8061, Train: 0.9857, Val: 0.7824, Test: 0.8061, Best time: 2.3800
Epoch: 7, Runtime: 0.0653, Loss: 0.228, forward nfe 78, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7713, tmp_test: 0.8071, Train: 0.9857, Val: 0.7824, Test: 0.8061, Best time: 2.3800
Epoch: 8, Runtime: 0.0418, Loss: 0.148, forward nfe 90, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7809, tmp_test: 0.8061, Train: 0.9857, Val: 0.7824, Test: 0.8061, Best time: 2.3800
Epoch: 9, Runtime: 0.0460, Loss: 0.187, forward nfe 102, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.8173, Train: 1.0000, Val: 0.7868, Test: 0.8173, Best time: 2.3800
Epoch: 10, Runtime: 0.0658, Loss: 0.108, forward nfe 114, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.8193, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 11, Runtime: 0.0470, Loss: 0.084, forward nfe 126, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.8173, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 12, Runtime: 0.0431, Loss: 0.116, forward nfe 138, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7912, tmp_test: 0.8162, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 13, Runtime: 0.0409, Loss: 0.100, forward nfe 150, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.8122, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 14, Runtime: 0.0651, Loss: 0.114, forward nfe 162, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7959, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 15, Runtime: 0.0416, Loss: 0.137, forward nfe 174, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7848, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 16, Runtime: 0.0421, Loss: 0.184, forward nfe 186, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7970, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 17, Runtime: 0.0737, Loss: 0.148, forward nfe 198, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.8020, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 18, Runtime: 0.0461, Loss: 0.177, forward nfe 210, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7970, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 19, Runtime: 0.0460, Loss: 0.150, forward nfe 222, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.8030, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 20, Runtime: 0.0680, Loss: 0.125, forward nfe 234, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.8061, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 21, Runtime: 0.0431, Loss: 0.120, forward nfe 246, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.8061, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
Epoch: 22, Runtime: 0.0455, Loss: 0.141, forward nfe 258, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.8132, Train: 1.0000, Val: 0.7971, Test: 0.8193, Best time: 2.3800
