
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.21, 'augment': False, 'method': 'rk4', 'step_size': 0.15000000000000002, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m11.weight
torch.Size([128, 128])
m11.bias
torch.Size([128])
m12.weight
torch.Size([128, 128])
m12.bias
torch.Size([128])
m2.weight
torch.Size([7, 128])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.2437, Loss: 1.952, forward nfe 60, backward nfe 0, tmp_train: 0.6786, tmp_val: 0.4471, tmp_test: 0.4345, Train: 0.6786, Val: 0.4471, Test: 0.4345, Best time: 2.2100
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.8839, Loss: 1.843, forward nfe 180, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.6368, tmp_test: 0.6244, Train: 0.8857, Val: 0.6368, Test: 0.6244, Best time: 2.2100
Epoch: 3, Runtime: 1.5091, Loss: 1.682, forward nfe 300, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.6757, tmp_test: 0.6802, Train: 0.9714, Val: 0.6757, Test: 0.6802, Best time: 2.2100
Epoch: 4, Runtime: 0.1643, Loss: 1.447, forward nfe 420, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.6471, tmp_test: 0.6528, Train: 0.9714, Val: 0.6757, Test: 0.6802, Best time: 2.2100
Epoch: 5, Runtime: 0.1534, Loss: 1.131, forward nfe 540, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7199, tmp_test: 0.7127, Train: 0.9857, Val: 0.7199, Test: 0.7127, Best time: 2.2100
Epoch: 6, Runtime: 0.1588, Loss: 0.758, forward nfe 660, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7419, tmp_test: 0.7421, Train: 0.9643, Val: 0.7419, Test: 0.7421, Best time: 2.2100
Epoch: 7, Runtime: 0.1533, Loss: 0.461, forward nfe 780, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7743, tmp_test: 0.7716, Train: 0.9714, Val: 0.7743, Test: 0.7716, Best time: 2.2100
Epoch: 8, Runtime: 0.1479, Loss: 0.310, forward nfe 900, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7816, tmp_test: 0.7787, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 9, Runtime: 0.1557, Loss: 0.401, forward nfe 1020, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7338, tmp_test: 0.7218, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 10, Runtime: 0.1627, Loss: 0.179, forward nfe 1140, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7331, tmp_test: 0.7188, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 11, Runtime: 0.1591, Loss: 0.124, forward nfe 1260, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7096, tmp_test: 0.7076, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 12, Runtime: 0.1547, Loss: 0.141, forward nfe 1380, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7118, tmp_test: 0.7117, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 13, Runtime: 0.1570, Loss: 0.139, forward nfe 1500, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7140, tmp_test: 0.7178, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 14, Runtime: 0.1505, Loss: 0.216, forward nfe 1620, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7265, tmp_test: 0.7127, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 15, Runtime: 0.1617, Loss: 0.169, forward nfe 1740, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7375, tmp_test: 0.7198, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 16, Runtime: 0.1544, Loss: 0.151, forward nfe 1860, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7404, tmp_test: 0.7096, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 17, Runtime: 0.1551, Loss: 0.699, forward nfe 1980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7581, tmp_test: 0.7411, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 18, Runtime: 0.1636, Loss: 0.143, forward nfe 2100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7449, tmp_test: 0.7239, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 19, Runtime: 0.1557, Loss: 0.206, forward nfe 2220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7191, tmp_test: 0.7005, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 20, Runtime: 0.1595, Loss: 0.427, forward nfe 2340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6934, tmp_test: 0.6609, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
Epoch: 21, Runtime: 0.1491, Loss: 0.154, forward nfe 2460, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6603, tmp_test: 0.6142, Train: 0.9857, Val: 0.7816, Test: 0.7787, Best time: 2.2100
