
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.18, 'augment': False, 'method': 'rk4', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.2377, Loss: 2.004, forward nfe 32, backward nfe 0, tmp_train: 0.1500, tmp_val: 0.1103, tmp_test: 0.1320, Train: 0.1500, Val: 0.1103, Test: 0.1320, Best time: 2.1800
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.8421, Loss: 1.977, forward nfe 96, backward nfe 0, tmp_train: 0.2429, tmp_val: 0.2074, tmp_test: 0.2193, Train: 0.2429, Val: 0.2074, Test: 0.2193, Best time: 2.1800
Epoch: 3, Runtime: 1.5273, Loss: 1.961, forward nfe 160, backward nfe 0, tmp_train: 0.3786, tmp_val: 0.2985, tmp_test: 0.3147, Train: 0.3786, Val: 0.2985, Test: 0.3147, Best time: 2.1800
Epoch: 4, Runtime: 0.1572, Loss: 1.939, forward nfe 224, backward nfe 0, tmp_train: 0.4929, tmp_val: 0.5007, tmp_test: 0.4975, Train: 0.4929, Val: 0.5007, Test: 0.4975, Best time: 2.1800
Epoch: 5, Runtime: 0.1431, Loss: 1.917, forward nfe 288, backward nfe 0, tmp_train: 0.3786, tmp_val: 0.4235, tmp_test: 0.4071, Train: 0.4929, Val: 0.5007, Test: 0.4975, Best time: 2.1800
Epoch: 6, Runtime: 0.1534, Loss: 1.943, forward nfe 352, backward nfe 0, tmp_train: 0.3429, tmp_val: 0.4419, tmp_test: 0.4132, Train: 0.4929, Val: 0.5007, Test: 0.4975, Best time: 2.1800
Epoch: 7, Runtime: 0.1468, Loss: 1.918, forward nfe 416, backward nfe 0, tmp_train: 0.3429, tmp_val: 0.4471, tmp_test: 0.4335, Train: 0.4929, Val: 0.5007, Test: 0.4975, Best time: 2.1800
Epoch: 8, Runtime: 0.1517, Loss: 1.927, forward nfe 480, backward nfe 0, tmp_train: 0.3214, tmp_val: 0.4529, tmp_test: 0.4376, Train: 0.4929, Val: 0.5007, Test: 0.4975, Best time: 2.1800
Epoch: 9, Runtime: 0.1370, Loss: 1.926, forward nfe 544, backward nfe 0, tmp_train: 0.3500, tmp_val: 0.4581, tmp_test: 0.4416, Train: 0.4929, Val: 0.5007, Test: 0.4975, Best time: 2.1800
Epoch: 10, Runtime: 0.1416, Loss: 1.924, forward nfe 608, backward nfe 0, tmp_train: 0.3714, tmp_val: 0.4801, tmp_test: 0.4650, Train: 0.4929, Val: 0.5007, Test: 0.4975, Best time: 2.1800
Epoch: 11, Runtime: 0.1550, Loss: 1.894, forward nfe 672, backward nfe 0, tmp_train: 0.5071, tmp_val: 0.5184, tmp_test: 0.5086, Train: 0.5071, Val: 0.5184, Test: 0.5086, Best time: 2.1800
Epoch: 12, Runtime: 0.1630, Loss: 1.894, forward nfe 736, backward nfe 0, tmp_train: 0.5714, tmp_val: 0.5493, tmp_test: 0.5391, Train: 0.5714, Val: 0.5493, Test: 0.5391, Best time: 2.1800
Epoch: 13, Runtime: 0.1674, Loss: 1.935, forward nfe 800, backward nfe 0, tmp_train: 0.6214, tmp_val: 0.5743, tmp_test: 0.5695, Train: 0.6214, Val: 0.5743, Test: 0.5695, Best time: 2.1800
Epoch: 14, Runtime: 0.1563, Loss: 1.904, forward nfe 864, backward nfe 0, tmp_train: 0.6500, tmp_val: 0.6029, tmp_test: 0.5959, Train: 0.6500, Val: 0.6029, Test: 0.5959, Best time: 2.1800
Epoch: 15, Runtime: 0.1418, Loss: 1.907, forward nfe 928, backward nfe 0, tmp_train: 0.6929, tmp_val: 0.6147, tmp_test: 0.6041, Train: 0.6929, Val: 0.6147, Test: 0.6041, Best time: 2.1800
Epoch: 16, Runtime: 0.1508, Loss: 1.899, forward nfe 992, backward nfe 0, tmp_train: 0.7571, tmp_val: 0.6243, tmp_test: 0.6193, Train: 0.7571, Val: 0.6243, Test: 0.6193, Best time: 2.1800
Epoch: 17, Runtime: 0.1482, Loss: 1.858, forward nfe 1056, backward nfe 0, tmp_train: 0.8143, tmp_val: 0.6324, tmp_test: 0.6426, Train: 0.8143, Val: 0.6324, Test: 0.6426, Best time: 2.1800
Epoch: 18, Runtime: 0.1640, Loss: 1.849, forward nfe 1120, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.6456, tmp_test: 0.6650, Train: 0.8500, Val: 0.6456, Test: 0.6650, Best time: 2.1800
Epoch: 19, Runtime: 0.1538, Loss: 1.843, forward nfe 1184, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.6574, tmp_test: 0.6761, Train: 0.8500, Val: 0.6574, Test: 0.6761, Best time: 2.1800
Epoch: 20, Runtime: 0.1397, Loss: 1.857, forward nfe 1248, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6669, tmp_test: 0.6802, Train: 0.8571, Val: 0.6669, Test: 0.6802, Best time: 2.1800
Epoch: 21, Runtime: 0.1367, Loss: 1.834, forward nfe 1312, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6684, tmp_test: 0.6853, Train: 0.8571, Val: 0.6684, Test: 0.6853, Best time: 2.1800
