
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.01, 'augment': False, 'method': 'rk4', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1889, Loss: 1.957, forward nfe 20, backward nfe 0, tmp_train: 0.2643, tmp_val: 0.1669, tmp_test: 0.1980, Train: 0.2643, Val: 0.1669, Test: 0.1980, Best time: 2.0100
Epoch: 2, Runtime: 0.8131, Loss: 1.900, forward nfe 60, backward nfe 0, tmp_train: 0.2429, tmp_val: 0.1382, tmp_test: 0.1736, Train: 0.2643, Val: 0.1669, Test: 0.1980, Best time: 2.0100
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.4887, Loss: 1.828, forward nfe 100, backward nfe 0, tmp_train: 0.5857, tmp_val: 0.3140, tmp_test: 0.3695, Train: 0.5857, Val: 0.3140, Test: 0.3695, Best time: 2.0100
Epoch: 4, Runtime: 0.1042, Loss: 1.798, forward nfe 140, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.5382, tmp_test: 0.5706, Train: 0.8071, Val: 0.5382, Test: 0.5706, Best time: 2.0100
Epoch: 5, Runtime: 0.0864, Loss: 1.671, forward nfe 180, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7132, tmp_test: 0.7299, Train: 0.9571, Val: 0.7132, Test: 0.7299, Best time: 2.0100
Epoch: 6, Runtime: 0.0988, Loss: 1.598, forward nfe 220, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7897, tmp_test: 0.8020, Train: 0.9786, Val: 0.7897, Test: 0.8020, Best time: 2.0100
Epoch: 7, Runtime: 0.1062, Loss: 1.479, forward nfe 260, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7919, tmp_test: 0.8061, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 8, Runtime: 0.1136, Loss: 1.376, forward nfe 300, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7860, tmp_test: 0.8020, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 9, Runtime: 0.1139, Loss: 1.285, forward nfe 340, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7721, tmp_test: 0.7848, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 10, Runtime: 0.1111, Loss: 1.168, forward nfe 380, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7684, tmp_test: 0.7787, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 11, Runtime: 0.1064, Loss: 1.084, forward nfe 420, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7610, tmp_test: 0.7807, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 12, Runtime: 0.1052, Loss: 1.091, forward nfe 460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7588, tmp_test: 0.7716, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 13, Runtime: 0.1052, Loss: 1.020, forward nfe 500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7654, tmp_test: 0.7716, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 14, Runtime: 0.1035, Loss: 0.941, forward nfe 540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7838, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 15, Runtime: 0.1109, Loss: 0.802, forward nfe 580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7919, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 16, Runtime: 0.1089, Loss: 0.678, forward nfe 620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7888, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 17, Runtime: 0.1095, Loss: 0.821, forward nfe 660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7838, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 18, Runtime: 0.1066, Loss: 0.799, forward nfe 700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7787, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 19, Runtime: 0.1083, Loss: 0.697, forward nfe 740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7706, tmp_test: 0.7787, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 20, Runtime: 0.1037, Loss: 0.691, forward nfe 780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7750, tmp_test: 0.7777, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
Epoch: 21, Runtime: 0.0915, Loss: 0.716, forward nfe 820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7746, Train: 0.9786, Val: 0.7919, Test: 0.8061, Best time: 2.0100
