
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.33, 'augment': False, 'method': 'rk4', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.weight
torch.Size([7, 32])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 32])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.2027, Loss: 1.948, forward nfe 20, backward nfe 0, tmp_train: 0.4500, tmp_val: 0.3103, tmp_test: 0.3188, Train: 0.4500, Val: 0.3103, Test: 0.3188, Best time: 2.3300
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.8108, Loss: 1.918, forward nfe 60, backward nfe 0, tmp_train: 0.6786, tmp_val: 0.4096, tmp_test: 0.3990, Train: 0.6786, Val: 0.4096, Test: 0.3990, Best time: 2.3300
Epoch: 3, Runtime: 1.4775, Loss: 1.913, forward nfe 100, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.5566, tmp_test: 0.5624, Train: 0.8214, Val: 0.5566, Test: 0.5624, Best time: 2.3300
Epoch: 4, Runtime: 0.1029, Loss: 1.842, forward nfe 140, backward nfe 0, tmp_train: 0.7857, tmp_val: 0.5338, tmp_test: 0.5360, Train: 0.8214, Val: 0.5566, Test: 0.5624, Best time: 2.3300
Epoch: 5, Runtime: 0.0667, Loss: 1.771, forward nfe 180, backward nfe 0, tmp_train: 0.7429, tmp_val: 0.5375, tmp_test: 0.5259, Train: 0.8214, Val: 0.5566, Test: 0.5624, Best time: 2.3300
Epoch: 6, Runtime: 0.0965, Loss: 1.744, forward nfe 220, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.6221, tmp_test: 0.6051, Train: 0.8500, Val: 0.6221, Test: 0.6051, Best time: 2.3300
Epoch: 7, Runtime: 0.0984, Loss: 1.711, forward nfe 260, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6647, tmp_test: 0.6599, Train: 0.8929, Val: 0.6647, Test: 0.6599, Best time: 2.3300
Epoch: 8, Runtime: 0.1048, Loss: 1.579, forward nfe 300, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.6838, tmp_test: 0.6893, Train: 0.9071, Val: 0.6838, Test: 0.6893, Best time: 2.3300
Epoch: 9, Runtime: 0.0782, Loss: 1.455, forward nfe 340, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7265, tmp_test: 0.7239, Train: 0.9143, Val: 0.7265, Test: 0.7239, Best time: 2.3300
Epoch: 10, Runtime: 0.0985, Loss: 1.416, forward nfe 380, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7757, tmp_test: 0.7766, Train: 0.9571, Val: 0.7757, Test: 0.7766, Best time: 2.3300
Epoch: 11, Runtime: 0.0949, Loss: 1.219, forward nfe 420, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7757, tmp_test: 0.7766, Train: 0.9571, Val: 0.7757, Test: 0.7766, Best time: 2.3300
Epoch: 12, Runtime: 0.1010, Loss: 1.029, forward nfe 460, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7559, tmp_test: 0.7675, Train: 0.9571, Val: 0.7757, Test: 0.7766, Best time: 2.3300
Epoch: 13, Runtime: 0.1115, Loss: 1.067, forward nfe 500, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7250, tmp_test: 0.7350, Train: 0.9571, Val: 0.7757, Test: 0.7766, Best time: 2.3300
Epoch: 14, Runtime: 0.0734, Loss: 0.876, forward nfe 540, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7309, tmp_test: 0.7411, Train: 0.9571, Val: 0.7757, Test: 0.7766, Best time: 2.3300
Epoch: 15, Runtime: 0.0927, Loss: 0.860, forward nfe 580, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7360, tmp_test: 0.7472, Train: 0.9571, Val: 0.7757, Test: 0.7766, Best time: 2.3300
Epoch: 16, Runtime: 0.0970, Loss: 0.839, forward nfe 620, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7618, tmp_test: 0.7706, Train: 0.9571, Val: 0.7757, Test: 0.7766, Best time: 2.3300
Epoch: 17, Runtime: 0.1038, Loss: 0.743, forward nfe 660, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7912, tmp_test: 0.7868, Train: 0.9714, Val: 0.7912, Test: 0.7868, Best time: 2.3300
Epoch: 18, Runtime: 0.0689, Loss: 0.802, forward nfe 700, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8007, tmp_test: 0.7909, Train: 0.9857, Val: 0.8007, Test: 0.7909, Best time: 2.3300
Epoch: 19, Runtime: 0.1024, Loss: 0.698, forward nfe 740, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7919, tmp_test: 0.7919, Train: 0.9857, Val: 0.8007, Test: 0.7909, Best time: 2.3300
Epoch: 20, Runtime: 0.1123, Loss: 0.705, forward nfe 780, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7846, tmp_test: 0.7898, Train: 0.9857, Val: 0.8007, Test: 0.7909, Best time: 2.3300
Epoch: 21, Runtime: 0.0730, Loss: 0.650, forward nfe 820, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7588, tmp_test: 0.7756, Train: 0.9857, Val: 0.8007, Test: 0.7909, Best time: 2.3300
