
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.13, 'augment': False, 'method': 'euler', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.1197, Loss: 1.951, forward nfe 6, backward nfe 0, tmp_train: 0.4286, tmp_val: 0.4000, tmp_test: 0.3655, Train: 0.4286, Val: 0.4000, Test: 0.3655, Best time: 2.1300
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7206, Loss: 1.882, forward nfe 18, backward nfe 0, tmp_train: 0.6857, tmp_val: 0.5103, tmp_test: 0.5228, Train: 0.6857, Val: 0.5103, Test: 0.5228, Best time: 2.1300
Epoch: 3, Runtime: 1.4666, Loss: 1.803, forward nfe 30, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6574, tmp_test: 0.6690, Train: 0.8714, Val: 0.6574, Test: 0.6690, Best time: 2.1300
Epoch: 4, Runtime: 0.0330, Loss: 1.703, forward nfe 42, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6456, tmp_test: 0.6619, Train: 0.8714, Val: 0.6574, Test: 0.6690, Best time: 2.1300
Epoch: 5, Runtime: 0.0324, Loss: 1.596, forward nfe 54, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.6294, tmp_test: 0.6548, Train: 0.8714, Val: 0.6574, Test: 0.6690, Best time: 2.1300
Epoch: 6, Runtime: 0.0344, Loss: 1.513, forward nfe 66, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6581, tmp_test: 0.6893, Train: 0.9143, Val: 0.6581, Test: 0.6893, Best time: 2.1300
Epoch: 7, Runtime: 0.0357, Loss: 1.428, forward nfe 78, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.6772, tmp_test: 0.7107, Train: 0.9429, Val: 0.6772, Test: 0.7107, Best time: 2.1300
Epoch: 8, Runtime: 0.0360, Loss: 1.276, forward nfe 90, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.6919, tmp_test: 0.7239, Train: 0.9571, Val: 0.6919, Test: 0.7239, Best time: 2.1300
Epoch: 9, Runtime: 0.0348, Loss: 1.290, forward nfe 102, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7140, tmp_test: 0.7472, Train: 0.9643, Val: 0.7140, Test: 0.7472, Best time: 2.1300
Epoch: 10, Runtime: 0.0325, Loss: 1.136, forward nfe 114, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7338, tmp_test: 0.7665, Train: 0.9714, Val: 0.7338, Test: 0.7665, Best time: 2.1300
Epoch: 11, Runtime: 0.0364, Loss: 1.102, forward nfe 126, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7382, tmp_test: 0.7756, Train: 0.9714, Val: 0.7382, Test: 0.7756, Best time: 2.1300
Epoch: 12, Runtime: 0.0341, Loss: 1.153, forward nfe 138, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7449, tmp_test: 0.7706, Train: 0.9786, Val: 0.7449, Test: 0.7706, Best time: 2.1300
Epoch: 13, Runtime: 0.0363, Loss: 1.087, forward nfe 150, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7478, tmp_test: 0.7736, Train: 0.9857, Val: 0.7478, Test: 0.7736, Best time: 2.1300
Epoch: 14, Runtime: 0.0339, Loss: 1.043, forward nfe 162, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7522, tmp_test: 0.7817, Train: 0.9857, Val: 0.7522, Test: 0.7817, Best time: 2.1300
Epoch: 15, Runtime: 0.0336, Loss: 0.985, forward nfe 174, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7858, Train: 1.0000, Val: 0.7596, Test: 0.7858, Best time: 2.1300
Epoch: 16, Runtime: 0.0393, Loss: 0.916, forward nfe 186, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7868, Train: 1.0000, Val: 0.7610, Test: 0.7868, Best time: 2.1300
Epoch: 17, Runtime: 0.0345, Loss: 0.951, forward nfe 198, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7574, tmp_test: 0.7848, Train: 1.0000, Val: 0.7610, Test: 0.7868, Best time: 2.1300
Epoch: 18, Runtime: 0.0315, Loss: 0.905, forward nfe 210, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7537, tmp_test: 0.7827, Train: 1.0000, Val: 0.7610, Test: 0.7868, Best time: 2.1300
Epoch: 19, Runtime: 0.0317, Loss: 0.905, forward nfe 222, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7529, tmp_test: 0.7858, Train: 1.0000, Val: 0.7610, Test: 0.7868, Best time: 2.1300
Epoch: 20, Runtime: 0.0304, Loss: 0.851, forward nfe 234, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7456, tmp_test: 0.7878, Train: 1.0000, Val: 0.7610, Test: 0.7868, Best time: 2.1300
Epoch: 21, Runtime: 0.0338, Loss: 0.874, forward nfe 246, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7412, tmp_test: 0.7848, Train: 1.0000, Val: 0.7610, Test: 0.7868, Best time: 2.1300
