
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.02, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.weight
torch.Size([7, 64])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.1305, Loss: 1.951, forward nfe 5, backward nfe 0, tmp_train: 0.4143, tmp_val: 0.2934, tmp_test: 0.2812, Train: 0.4143, Val: 0.2934, Test: 0.2812, Best time: 2.0200
Epoch: 2, Runtime: 0.7326, Loss: 1.881, forward nfe 15, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.5162, tmp_test: 0.4751, Train: 0.7714, Val: 0.5162, Test: 0.4751, Best time: 2.0200
Epoch: 3, Runtime: 1.4282, Loss: 1.779, forward nfe 25, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6515, tmp_test: 0.5949, Train: 0.8571, Val: 0.6515, Test: 0.5949, Best time: 2.0200
Epoch: 4, Runtime: 0.0500, Loss: 1.619, forward nfe 35, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6787, tmp_test: 0.6264, Train: 0.8929, Val: 0.6787, Test: 0.6264, Best time: 2.0200
Epoch: 5, Runtime: 0.0398, Loss: 1.453, forward nfe 45, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6816, tmp_test: 0.6264, Train: 0.8929, Val: 0.6816, Test: 0.6264, Best time: 2.0200
Epoch: 6, Runtime: 0.0416, Loss: 1.278, forward nfe 55, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6890, tmp_test: 0.6386, Train: 0.9143, Val: 0.6890, Test: 0.6386, Best time: 2.0200
Epoch: 7, Runtime: 0.0419, Loss: 1.096, forward nfe 65, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7096, tmp_test: 0.6701, Train: 0.9286, Val: 0.7096, Test: 0.6701, Best time: 2.0200
Epoch: 8, Runtime: 0.0420, Loss: 0.918, forward nfe 75, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7368, tmp_test: 0.6985, Train: 0.9500, Val: 0.7368, Test: 0.6985, Best time: 2.0200
Epoch: 9, Runtime: 0.0514, Loss: 0.710, forward nfe 85, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7507, tmp_test: 0.7147, Train: 0.9643, Val: 0.7507, Test: 0.7147, Best time: 2.0200
Epoch: 10, Runtime: 0.0526, Loss: 0.613, forward nfe 95, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7735, tmp_test: 0.7492, Train: 0.9571, Val: 0.7735, Test: 0.7492, Best time: 2.0200
Epoch: 11, Runtime: 0.0473, Loss: 0.498, forward nfe 105, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7853, tmp_test: 0.7604, Train: 0.9714, Val: 0.7853, Test: 0.7604, Best time: 2.0200
Epoch: 12, Runtime: 0.0486, Loss: 0.437, forward nfe 115, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7963, tmp_test: 0.7695, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 13, Runtime: 0.0437, Loss: 0.336, forward nfe 125, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7949, tmp_test: 0.7574, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 14, Runtime: 0.0453, Loss: 0.307, forward nfe 135, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7941, tmp_test: 0.7533, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 15, Runtime: 0.0406, Loss: 0.294, forward nfe 145, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7919, tmp_test: 0.7584, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 16, Runtime: 0.0444, Loss: 0.289, forward nfe 155, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7912, tmp_test: 0.7533, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 17, Runtime: 0.0478, Loss: 0.234, forward nfe 165, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7860, tmp_test: 0.7452, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 18, Runtime: 0.0459, Loss: 0.232, forward nfe 175, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7699, tmp_test: 0.7310, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 19, Runtime: 0.0459, Loss: 0.213, forward nfe 185, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7691, tmp_test: 0.7239, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 20, Runtime: 0.0448, Loss: 0.275, forward nfe 195, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7647, tmp_test: 0.7239, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 21, Runtime: 0.0434, Loss: 0.208, forward nfe 205, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7676, tmp_test: 0.7299, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
Epoch: 22, Runtime: 0.0386, Loss: 0.244, forward nfe 215, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7421, Train: 0.9786, Val: 0.7963, Test: 0.7695, Best time: 2.0200
