
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.25, 'augment': False, 'method': 'euler', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1359, Loss: 1.949, forward nfe 5, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6493, tmp_test: 0.6812, Train: 0.8929, Val: 0.6493, Test: 0.6812, Best time: 2.2500
Epoch: 2, Runtime: 0.7383, Loss: 1.634, forward nfe 15, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7250, tmp_test: 0.7381, Train: 0.9143, Val: 0.7250, Test: 0.7381, Best time: 2.2500
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.4129, Loss: 1.295, forward nfe 25, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7669, tmp_test: 0.7604, Train: 0.9214, Val: 0.7669, Test: 0.7604, Best time: 2.2500
Epoch: 4, Runtime: 0.0615, Loss: 0.921, forward nfe 35, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.8007, tmp_test: 0.7827, Train: 0.9500, Val: 0.8007, Test: 0.7827, Best time: 2.2500
Epoch: 5, Runtime: 0.0531, Loss: 0.673, forward nfe 45, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.8184, tmp_test: 0.8010, Train: 0.9357, Val: 0.8184, Test: 0.8010, Best time: 2.2500
Epoch: 6, Runtime: 0.0514, Loss: 0.447, forward nfe 55, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.8213, tmp_test: 0.8091, Train: 0.9571, Val: 0.8213, Test: 0.8091, Best time: 2.2500
Epoch: 7, Runtime: 0.0490, Loss: 0.302, forward nfe 65, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.8221, tmp_test: 0.8051, Train: 0.9571, Val: 0.8221, Test: 0.8051, Best time: 2.2500
Epoch: 8, Runtime: 0.0504, Loss: 0.224, forward nfe 75, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.8243, tmp_test: 0.8081, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 9, Runtime: 0.0635, Loss: 0.177, forward nfe 85, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8221, tmp_test: 0.8010, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 10, Runtime: 0.0425, Loss: 0.155, forward nfe 95, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8147, tmp_test: 0.7929, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 11, Runtime: 0.0626, Loss: 0.171, forward nfe 105, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8125, tmp_test: 0.7878, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 12, Runtime: 0.0482, Loss: 0.125, forward nfe 115, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8074, tmp_test: 0.7827, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 13, Runtime: 0.0572, Loss: 0.145, forward nfe 125, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.7736, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 14, Runtime: 0.0481, Loss: 0.137, forward nfe 135, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7963, tmp_test: 0.7665, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 15, Runtime: 0.0418, Loss: 0.227, forward nfe 145, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.7736, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 16, Runtime: 0.0637, Loss: 0.184, forward nfe 155, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8081, tmp_test: 0.7848, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 17, Runtime: 0.0475, Loss: 0.209, forward nfe 165, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8147, tmp_test: 0.7858, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 18, Runtime: 0.0646, Loss: 0.252, forward nfe 175, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8022, tmp_test: 0.7868, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 19, Runtime: 0.0478, Loss: 0.214, forward nfe 185, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.7736, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 20, Runtime: 0.0602, Loss: 0.172, forward nfe 195, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7736, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
Epoch: 21, Runtime: 0.0401, Loss: 0.200, forward nfe 205, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7985, tmp_test: 0.7939, Train: 0.9714, Val: 0.8243, Test: 0.8081, Best time: 2.2500
