/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.09, 'augment': False, 'method': 'euler', 'step_size': 0.1, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 1.0500, Loss: 1.978, forward nfe 21, backward nfe 0, tmp_train: 0.1786, tmp_val: 0.3265, tmp_test: 0.2985, Train: 0.1786, Val: 0.3265, Test: 0.2985, Best time: 2.0900
Epoch: 2, Runtime: 0.0988, Loss: 1.933, forward nfe 63, backward nfe 0, tmp_train: 0.4000, tmp_val: 0.3897, tmp_test: 0.3756, Train: 0.4000, Val: 0.3897, Test: 0.3756, Best time: 2.0900
Epoch: 3, Runtime: 0.1078, Loss: 1.885, forward nfe 105, backward nfe 0, tmp_train: 0.6857, tmp_val: 0.5044, tmp_test: 0.4741, Train: 0.6857, Val: 0.5044, Test: 0.4741, Best time: 2.0900
Epoch: 4, Runtime: 0.1010, Loss: 1.894, forward nfe 147, backward nfe 0, tmp_train: 0.7000, tmp_val: 0.4654, tmp_test: 0.4325, Train: 0.6857, Val: 0.5044, Test: 0.4741, Best time: 2.0900
Epoch: 5, Runtime: 0.0925, Loss: 1.874, forward nfe 189, backward nfe 0, tmp_train: 0.7643, tmp_val: 0.5140, tmp_test: 0.4802, Train: 0.7643, Val: 0.5140, Test: 0.4802, Best time: 2.0900
Epoch: 6, Runtime: 0.0978, Loss: 1.895, forward nfe 231, backward nfe 0, tmp_train: 0.8000, tmp_val: 0.5662, tmp_test: 0.5411, Train: 0.8000, Val: 0.5662, Test: 0.5411, Best time: 2.0900
Epoch: 7, Runtime: 0.0956, Loss: 1.805, forward nfe 273, backward nfe 0, tmp_train: 0.8429, tmp_val: 0.6213, tmp_test: 0.5980, Train: 0.8429, Val: 0.6213, Test: 0.5980, Best time: 2.0900
Epoch: 8, Runtime: 0.0976, Loss: 1.806, forward nfe 315, backward nfe 0, tmp_train: 0.8357, tmp_val: 0.6647, tmp_test: 0.6650, Train: 0.8357, Val: 0.6647, Test: 0.6650, Best time: 2.0900
Epoch: 9, Runtime: 0.0969, Loss: 1.745, forward nfe 357, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7243, tmp_test: 0.7137, Train: 0.9143, Val: 0.7243, Test: 0.7137, Best time: 2.0900
Epoch: 10, Runtime: 0.0987, Loss: 1.754, forward nfe 399, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7529, tmp_test: 0.7492, Train: 0.9571, Val: 0.7529, Test: 0.7492, Best time: 2.0900
Epoch: 11, Runtime: 0.1185, Loss: 1.701, forward nfe 441, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7581, tmp_test: 0.7472, Train: 0.9571, Val: 0.7581, Test: 0.7472, Best time: 2.0900
Epoch: 12, Runtime: 0.1076, Loss: 1.718, forward nfe 483, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7669, tmp_test: 0.7482, Train: 0.9571, Val: 0.7669, Test: 0.7482, Best time: 2.0900
Epoch: 13, Runtime: 0.0941, Loss: 1.681, forward nfe 525, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7559, tmp_test: 0.7421, Train: 0.9571, Val: 0.7669, Test: 0.7482, Best time: 2.0900
Epoch: 14, Runtime: 0.0963, Loss: 1.624, forward nfe 567, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7500, tmp_test: 0.7401, Train: 0.9571, Val: 0.7669, Test: 0.7482, Best time: 2.0900
Epoch: 15, Runtime: 0.1017, Loss: 1.559, forward nfe 609, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7471, tmp_test: 0.7279, Train: 0.9571, Val: 0.7669, Test: 0.7482, Best time: 2.0900
Epoch: 16, Runtime: 0.1005, Loss: 1.563, forward nfe 651, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7331, tmp_test: 0.7188, Train: 0.9571, Val: 0.7669, Test: 0.7482, Best time: 2.0900
Epoch: 17, Runtime: 0.1041, Loss: 1.485, forward nfe 693, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7375, tmp_test: 0.7218, Train: 0.9571, Val: 0.7669, Test: 0.7482, Best time: 2.0900
Epoch: 18, Runtime: 0.1089, Loss: 1.506, forward nfe 735, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7471, tmp_test: 0.7350, Train: 0.9571, Val: 0.7669, Test: 0.7482, Best time: 2.0900
Epoch: 19, Runtime: 0.0995, Loss: 1.491, forward nfe 777, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7610, tmp_test: 0.7482, Train: 0.9571, Val: 0.7669, Test: 0.7482, Best time: 2.0900
Epoch: 20, Runtime: 0.1028, Loss: 1.396, forward nfe 819, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7706, tmp_test: 0.7604, Train: 0.9714, Val: 0.7706, Test: 0.7604, Best time: 2.0900
Epoch: 21, Runtime: 0.0971, Loss: 1.379, forward nfe 861, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7721, tmp_test: 0.7513, Train: 0.9714, Val: 0.7721, Test: 0.7513, Best time: 2.0900
Epoch: 22, Runtime: 0.1044, Loss: 1.345, forward nfe 903, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7750, tmp_test: 0.7574, Train: 0.9786, Val: 0.7750, Test: 0.7574, Best time: 2.0900
Epoch: 23, Runtime: 0.1104, Loss: 1.337, forward nfe 945, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7721, tmp_test: 0.7563, Train: 0.9786, Val: 0.7750, Test: 0.7574, Best time: 2.0900
Epoch: 24, Runtime: 0.1003, Loss: 1.292, forward nfe 987, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7662, tmp_test: 0.7543, Train: 0.9786, Val: 0.7750, Test: 0.7574, Best time: 2.0900
