
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.02, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1459, Loss: 1.947, forward nfe 5, backward nfe 0, tmp_train: 0.8143, tmp_val: 0.5493, tmp_test: 0.5777, Train: 0.8143, Val: 0.5493, Test: 0.5777, Best time: 2.0200
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7413, Loss: 1.807, forward nfe 15, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7250, tmp_test: 0.7249, Train: 0.9357, Val: 0.7250, Test: 0.7249, Best time: 2.0200
Epoch: 3, Runtime: 1.3773, Loss: 1.539, forward nfe 25, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7493, tmp_test: 0.7523, Train: 0.9500, Val: 0.7493, Test: 0.7523, Best time: 2.0200
Epoch: 4, Runtime: 0.0434, Loss: 1.187, forward nfe 35, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7618, tmp_test: 0.7655, Train: 0.9714, Val: 0.7618, Test: 0.7655, Best time: 2.0200
Epoch: 5, Runtime: 0.0432, Loss: 0.818, forward nfe 45, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7691, tmp_test: 0.7685, Train: 0.9714, Val: 0.7691, Test: 0.7685, Best time: 2.0200
Epoch: 6, Runtime: 0.0350, Loss: 0.580, forward nfe 55, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7816, tmp_test: 0.7838, Train: 0.9786, Val: 0.7816, Test: 0.7838, Best time: 2.0200
Epoch: 7, Runtime: 0.0375, Loss: 0.320, forward nfe 65, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7868, tmp_test: 0.8030, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 8, Runtime: 0.0371, Loss: 0.308, forward nfe 75, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7691, tmp_test: 0.7848, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 9, Runtime: 0.0352, Loss: 0.175, forward nfe 85, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7603, tmp_test: 0.7797, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 10, Runtime: 0.0395, Loss: 0.155, forward nfe 95, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7632, tmp_test: 0.7675, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 11, Runtime: 0.0348, Loss: 0.178, forward nfe 105, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7618, tmp_test: 0.7766, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 12, Runtime: 0.0402, Loss: 0.116, forward nfe 115, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7618, tmp_test: 0.7756, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 13, Runtime: 0.0373, Loss: 0.120, forward nfe 125, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7640, tmp_test: 0.7858, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 14, Runtime: 0.0342, Loss: 0.150, forward nfe 135, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.8020, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 15, Runtime: 0.0405, Loss: 0.142, forward nfe 145, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7750, tmp_test: 0.7909, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 16, Runtime: 0.0345, Loss: 0.138, forward nfe 155, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.7980, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 17, Runtime: 0.0396, Loss: 0.154, forward nfe 165, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7647, tmp_test: 0.7777, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 18, Runtime: 0.0373, Loss: 0.171, forward nfe 175, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7426, tmp_test: 0.7635, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 19, Runtime: 0.0346, Loss: 0.200, forward nfe 185, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7559, tmp_test: 0.7716, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 20, Runtime: 0.0415, Loss: 0.182, forward nfe 195, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7939, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
Epoch: 21, Runtime: 0.0396, Loss: 0.204, forward nfe 205, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.8091, Train: 0.9786, Val: 0.7868, Test: 0.8030, Best time: 2.0200
