
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.29, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([7, 256])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1325, Loss: 1.950, forward nfe 6, backward nfe 0, tmp_train: 0.5714, tmp_val: 0.4654, tmp_test: 0.4680, Train: 0.5714, Val: 0.4654, Test: 0.4680, Best time: 2.2900
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7286, Loss: 1.793, forward nfe 18, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.7640, tmp_test: 0.7584, Train: 0.9000, Val: 0.7640, Test: 0.7584, Best time: 2.2900
Epoch: 3, Runtime: 1.3736, Loss: 1.597, forward nfe 30, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7588, tmp_test: 0.7482, Train: 0.9000, Val: 0.7640, Test: 0.7584, Best time: 2.2900
Epoch: 4, Runtime: 0.0427, Loss: 1.316, forward nfe 42, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7044, tmp_test: 0.7228, Train: 0.9000, Val: 0.7640, Test: 0.7584, Best time: 2.2900
Epoch: 5, Runtime: 0.0408, Loss: 0.964, forward nfe 54, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7838, tmp_test: 0.7756, Train: 0.9357, Val: 0.7838, Test: 0.7756, Best time: 2.2900
Epoch: 6, Runtime: 0.0479, Loss: 1.068, forward nfe 66, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.8059, tmp_test: 0.8152, Train: 0.9714, Val: 0.8059, Test: 0.8152, Best time: 2.2900
Epoch: 7, Runtime: 0.0435, Loss: 0.876, forward nfe 78, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7993, tmp_test: 0.7898, Train: 0.9714, Val: 0.8059, Test: 0.8152, Best time: 2.2900
Epoch: 8, Runtime: 0.0463, Loss: 0.899, forward nfe 90, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8191, tmp_test: 0.8091, Train: 0.9857, Val: 0.8191, Test: 0.8091, Best time: 2.2900
Epoch: 9, Runtime: 0.0436, Loss: 0.730, forward nfe 102, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8360, tmp_test: 0.8223, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 10, Runtime: 0.0476, Loss: 0.642, forward nfe 114, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8324, tmp_test: 0.8244, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 11, Runtime: 0.0430, Loss: 0.624, forward nfe 126, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8331, tmp_test: 0.8234, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 12, Runtime: 0.0445, Loss: 0.754, forward nfe 138, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8081, tmp_test: 0.8112, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 13, Runtime: 0.0401, Loss: 0.629, forward nfe 150, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7838, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 14, Runtime: 0.0457, Loss: 0.705, forward nfe 162, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7604, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 15, Runtime: 0.0408, Loss: 0.662, forward nfe 174, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7553, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 16, Runtime: 0.0453, Loss: 0.768, forward nfe 186, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8044, tmp_test: 0.7888, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 17, Runtime: 0.0407, Loss: 0.580, forward nfe 198, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8184, tmp_test: 0.7919, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 18, Runtime: 0.0458, Loss: 0.682, forward nfe 210, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8162, tmp_test: 0.7878, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 19, Runtime: 0.0423, Loss: 0.629, forward nfe 222, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8059, tmp_test: 0.7797, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 20, Runtime: 0.0389, Loss: 0.640, forward nfe 234, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8007, tmp_test: 0.7777, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
Epoch: 21, Runtime: 0.0446, Loss: 0.522, forward nfe 246, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8059, tmp_test: 0.7797, Train: 0.9929, Val: 0.8360, Test: 0.8223, Best time: 2.2900
