
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.11, 'augment': False, 'method': 'euler', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([7, 256])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1336, Loss: 1.948, forward nfe 5, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.1404, tmp_test: 0.1350, Train: 0.1429, Val: 0.1404, Test: 0.1350, Best time: 2.1100
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7229, Loss: 1.999, forward nfe 15, backward nfe 0, tmp_train: 0.2643, tmp_val: 0.1735, tmp_test: 0.2020, Train: 0.2643, Val: 0.1735, Test: 0.2020, Best time: 2.1100
Epoch: 3, Runtime: 1.3903, Loss: 1.959, forward nfe 25, backward nfe 0, tmp_train: 0.2643, tmp_val: 0.2213, tmp_test: 0.2518, Train: 0.2643, Val: 0.2213, Test: 0.2518, Best time: 2.1100
Epoch: 4, Runtime: 0.0405, Loss: 1.885, forward nfe 35, backward nfe 0, tmp_train: 0.1929, tmp_val: 0.1309, tmp_test: 0.1472, Train: 0.2643, Val: 0.2213, Test: 0.2518, Best time: 2.1100
Epoch: 5, Runtime: 0.0468, Loss: 1.920, forward nfe 45, backward nfe 0, tmp_train: 0.6143, tmp_val: 0.5228, tmp_test: 0.5645, Train: 0.6143, Val: 0.5228, Test: 0.5645, Best time: 2.1100
Epoch: 6, Runtime: 0.0548, Loss: 1.762, forward nfe 55, backward nfe 0, tmp_train: 0.6429, tmp_val: 0.4316, tmp_test: 0.4853, Train: 0.6143, Val: 0.5228, Test: 0.5645, Best time: 2.1100
Epoch: 7, Runtime: 0.0405, Loss: 1.762, forward nfe 65, backward nfe 0, tmp_train: 0.7286, tmp_val: 0.5529, tmp_test: 0.5665, Train: 0.7286, Val: 0.5529, Test: 0.5665, Best time: 2.1100
Epoch: 8, Runtime: 0.0396, Loss: 1.744, forward nfe 75, backward nfe 0, tmp_train: 0.8000, tmp_val: 0.6463, tmp_test: 0.6467, Train: 0.8000, Val: 0.6463, Test: 0.6467, Best time: 2.1100
Epoch: 9, Runtime: 0.0420, Loss: 1.572, forward nfe 85, backward nfe 0, tmp_train: 0.8357, tmp_val: 0.6912, tmp_test: 0.7005, Train: 0.8357, Val: 0.6912, Test: 0.7005, Best time: 2.1100
Epoch: 10, Runtime: 0.0523, Loss: 1.407, forward nfe 95, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.7132, tmp_test: 0.7289, Train: 0.8571, Val: 0.7132, Test: 0.7289, Best time: 2.1100
Epoch: 11, Runtime: 0.0477, Loss: 1.362, forward nfe 105, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.7199, tmp_test: 0.7411, Train: 0.8643, Val: 0.7199, Test: 0.7411, Best time: 2.1100
Epoch: 12, Runtime: 0.0381, Loss: 1.355, forward nfe 115, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6838, tmp_test: 0.7168, Train: 0.8643, Val: 0.7199, Test: 0.7411, Best time: 2.1100
Epoch: 13, Runtime: 0.0391, Loss: 1.194, forward nfe 125, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6985, tmp_test: 0.7239, Train: 0.8643, Val: 0.7199, Test: 0.7411, Best time: 2.1100
Epoch: 14, Runtime: 0.0481, Loss: 1.245, forward nfe 135, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.7449, tmp_test: 0.7594, Train: 0.8929, Val: 0.7449, Test: 0.7594, Best time: 2.1100
Epoch: 15, Runtime: 0.0394, Loss: 1.272, forward nfe 145, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7721, tmp_test: 0.7787, Train: 0.9214, Val: 0.7721, Test: 0.7787, Best time: 2.1100
Epoch: 16, Runtime: 0.0464, Loss: 1.194, forward nfe 155, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7426, tmp_test: 0.7716, Train: 0.9214, Val: 0.7721, Test: 0.7787, Best time: 2.1100
Epoch: 17, Runtime: 0.0561, Loss: 1.134, forward nfe 165, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7537, tmp_test: 0.7665, Train: 0.9214, Val: 0.7721, Test: 0.7787, Best time: 2.1100
Epoch: 18, Runtime: 0.0526, Loss: 1.058, forward nfe 175, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7588, tmp_test: 0.7766, Train: 0.9214, Val: 0.7721, Test: 0.7787, Best time: 2.1100
Epoch: 19, Runtime: 0.0480, Loss: 1.022, forward nfe 185, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7904, tmp_test: 0.7827, Train: 0.9429, Val: 0.7904, Test: 0.7827, Best time: 2.1100
Epoch: 20, Runtime: 0.0419, Loss: 1.000, forward nfe 195, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.8103, tmp_test: 0.8030, Train: 0.9571, Val: 0.8103, Test: 0.8030, Best time: 2.1100
Epoch: 21, Runtime: 0.0613, Loss: 1.142, forward nfe 205, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7941, tmp_test: 0.7990, Train: 0.9571, Val: 0.8103, Test: 0.8030, Best time: 2.1100
Epoch: 22, Runtime: 0.0400, Loss: 1.046, forward nfe 215, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7691, tmp_test: 0.7807, Train: 0.9571, Val: 0.8103, Test: 0.8030, Best time: 2.1100
