/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.25, 'augment': False, 'method': 'euler', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.weight
torch.Size([7, 32])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 32])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 1.0053, Loss: 1.959, forward nfe 6, backward nfe 0, tmp_train: 0.1786, tmp_val: 0.1375, tmp_test: 0.1665, Train: 0.1786, Val: 0.1375, Test: 0.1665, Best time: 2.2500
Epoch: 2, Runtime: 0.0449, Loss: 1.921, forward nfe 18, backward nfe 0, tmp_train: 0.3857, tmp_val: 0.2279, tmp_test: 0.2497, Train: 0.3857, Val: 0.2279, Test: 0.2497, Best time: 2.2500
Epoch: 3, Runtime: 0.0448, Loss: 1.901, forward nfe 30, backward nfe 0, tmp_train: 0.4643, tmp_val: 0.2390, tmp_test: 0.2416, Train: 0.4643, Val: 0.2390, Test: 0.2416, Best time: 2.2500
Epoch: 4, Runtime: 0.0491, Loss: 1.848, forward nfe 42, backward nfe 0, tmp_train: 0.5214, tmp_val: 0.2625, tmp_test: 0.2518, Train: 0.5214, Val: 0.2625, Test: 0.2518, Best time: 2.2500
Epoch: 5, Runtime: 0.0643, Loss: 1.820, forward nfe 54, backward nfe 0, tmp_train: 0.6786, tmp_val: 0.3757, tmp_test: 0.3624, Train: 0.6786, Val: 0.3757, Test: 0.3624, Best time: 2.2500
Epoch: 6, Runtime: 0.0491, Loss: 1.760, forward nfe 66, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.4493, tmp_test: 0.4244, Train: 0.7357, Val: 0.4493, Test: 0.4244, Best time: 2.2500
Epoch: 7, Runtime: 0.0409, Loss: 1.686, forward nfe 78, backward nfe 0, tmp_train: 0.7857, tmp_val: 0.5360, tmp_test: 0.5239, Train: 0.7857, Val: 0.5360, Test: 0.5239, Best time: 2.2500
Epoch: 8, Runtime: 0.0419, Loss: 1.569, forward nfe 90, backward nfe 0, tmp_train: 0.7857, tmp_val: 0.5669, tmp_test: 0.5472, Train: 0.7857, Val: 0.5669, Test: 0.5472, Best time: 2.2500
Epoch: 9, Runtime: 0.0690, Loss: 1.463, forward nfe 102, backward nfe 0, tmp_train: 0.8286, tmp_val: 0.6397, tmp_test: 0.5939, Train: 0.8286, Val: 0.6397, Test: 0.5939, Best time: 2.2500
Epoch: 10, Runtime: 0.0501, Loss: 1.307, forward nfe 114, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6860, tmp_test: 0.6365, Train: 0.8571, Val: 0.6860, Test: 0.6365, Best time: 2.2500
Epoch: 11, Runtime: 0.0474, Loss: 1.285, forward nfe 126, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.7037, tmp_test: 0.6711, Train: 0.8643, Val: 0.7037, Test: 0.6711, Best time: 2.2500
Epoch: 12, Runtime: 0.0457, Loss: 1.245, forward nfe 138, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7471, tmp_test: 0.7056, Train: 0.9071, Val: 0.7471, Test: 0.7056, Best time: 2.2500
Epoch: 13, Runtime: 0.0698, Loss: 1.227, forward nfe 150, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7691, tmp_test: 0.7371, Train: 0.9571, Val: 0.7691, Test: 0.7371, Best time: 2.2500
Epoch: 14, Runtime: 0.0518, Loss: 1.008, forward nfe 162, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7794, tmp_test: 0.7655, Train: 0.9786, Val: 0.7794, Test: 0.7655, Best time: 2.2500
Epoch: 15, Runtime: 0.0521, Loss: 0.935, forward nfe 174, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7897, tmp_test: 0.7716, Train: 0.9786, Val: 0.7897, Test: 0.7716, Best time: 2.2500
Epoch: 16, Runtime: 0.0498, Loss: 0.905, forward nfe 186, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7934, tmp_test: 0.7736, Train: 0.9786, Val: 0.7934, Test: 0.7736, Best time: 2.2500
Epoch: 17, Runtime: 0.0680, Loss: 0.890, forward nfe 198, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7926, tmp_test: 0.7685, Train: 0.9786, Val: 0.7934, Test: 0.7736, Best time: 2.2500
Epoch: 18, Runtime: 0.0525, Loss: 0.833, forward nfe 210, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7721, tmp_test: 0.7411, Train: 0.9786, Val: 0.7934, Test: 0.7736, Best time: 2.2500
Epoch: 19, Runtime: 0.0473, Loss: 0.893, forward nfe 222, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7522, tmp_test: 0.7371, Train: 0.9786, Val: 0.7934, Test: 0.7736, Best time: 2.2500
Epoch: 20, Runtime: 0.0469, Loss: 0.718, forward nfe 234, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7654, tmp_test: 0.7452, Train: 0.9786, Val: 0.7934, Test: 0.7736, Best time: 2.2500
Epoch: 21, Runtime: 0.0572, Loss: 0.823, forward nfe 246, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7713, tmp_test: 0.7543, Train: 0.9786, Val: 0.7934, Test: 0.7736, Best time: 2.2500
Epoch: 22, Runtime: 0.0413, Loss: 0.643, forward nfe 258, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7669, tmp_test: 0.7574, Train: 0.9786, Val: 0.7934, Test: 0.7736, Best time: 2.2500
Epoch: 23, Runtime: 0.0441, Loss: 0.652, forward nfe 270, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7728, tmp_test: 0.7706, Train: 0.9786, Val: 0.7934, Test: 0.7736, Best time: 2.2500
Epoch: 24, Runtime: 0.0460, Loss: 0.642, forward nfe 282, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7772, tmp_test: 0.7726, Train: 0.9786, Val: 0.7934, Test: 0.7736, Best time: 2.2500
