
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.35, 'augment': False, 'method': 'rk4', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1784, Loss: 1.949, forward nfe 20, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7140, tmp_test: 0.6975, Train: 0.9286, Val: 0.7140, Test: 0.6975, Best time: 2.3500
Epoch: 2, Runtime: 0.7822, Loss: 1.609, forward nfe 60, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7794, tmp_test: 0.7868, Train: 0.9643, Val: 0.7794, Test: 0.7868, Best time: 2.3500
Epoch: 3, Runtime: 1.4558, Loss: 1.241, forward nfe 100, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7890, tmp_test: 0.8020, Train: 0.9786, Val: 0.7890, Test: 0.8020, Best time: 2.3500
Epoch: 4, Runtime: 0.0897, Loss: 0.827, forward nfe 140, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7926, tmp_test: 0.8122, Train: 0.9786, Val: 0.7926, Test: 0.8122, Best time: 2.3500
Epoch: 5, Runtime: 0.0904, Loss: 0.542, forward nfe 180, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7993, tmp_test: 0.8122, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 6, Runtime: 0.0981, Loss: 0.343, forward nfe 220, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7993, tmp_test: 0.8071, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 7, Runtime: 0.0921, Loss: 0.229, forward nfe 260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7985, tmp_test: 0.8102, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 8, Runtime: 0.0933, Loss: 0.163, forward nfe 300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.8132, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 9, Runtime: 0.0889, Loss: 0.110, forward nfe 340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7985, tmp_test: 0.8071, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 10, Runtime: 0.0921, Loss: 0.095, forward nfe 380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.7990, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 11, Runtime: 0.0921, Loss: 0.085, forward nfe 420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.8041, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 12, Runtime: 0.0919, Loss: 0.082, forward nfe 460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.8061, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 13, Runtime: 0.0892, Loss: 0.078, forward nfe 500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.8132, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 14, Runtime: 0.0984, Loss: 0.111, forward nfe 540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.8071, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 15, Runtime: 0.0904, Loss: 0.155, forward nfe 580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7647, tmp_test: 0.7909, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 16, Runtime: 0.0961, Loss: 0.143, forward nfe 620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7625, tmp_test: 0.7919, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 17, Runtime: 0.0892, Loss: 0.202, forward nfe 660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7939, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 18, Runtime: 0.0933, Loss: 0.168, forward nfe 700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7970, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 19, Runtime: 0.0943, Loss: 0.192, forward nfe 740, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7824, tmp_test: 0.7970, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 20, Runtime: 0.0908, Loss: 0.183, forward nfe 780, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7816, tmp_test: 0.7919, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 21, Runtime: 0.0905, Loss: 0.131, forward nfe 820, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7875, tmp_test: 0.7980, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
Epoch: 22, Runtime: 0.0985, Loss: 0.172, forward nfe 860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7980, Train: 0.9929, Val: 0.7993, Test: 0.8122, Best time: 2.3500
