
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.03, 'augment': False, 'method': 'euler', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([7, 256])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1277, Loss: 1.956, forward nfe 5, backward nfe 0, tmp_train: 0.2786, tmp_val: 0.1941, tmp_test: 0.2112, Train: 0.2786, Val: 0.1941, Test: 0.2112, Best time: 2.0300
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7296, Loss: 1.909, forward nfe 15, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.1566, tmp_test: 0.1492, Train: 0.2786, Val: 0.1941, Test: 0.2112, Best time: 2.0300
Epoch: 3, Runtime: 1.4379, Loss: 1.930, forward nfe 25, backward nfe 0, tmp_train: 0.3214, tmp_val: 0.3566, tmp_test: 0.3533, Train: 0.3214, Val: 0.3566, Test: 0.3533, Best time: 2.0300
Epoch: 4, Runtime: 0.0541, Loss: 1.883, forward nfe 35, backward nfe 0, tmp_train: 0.4214, tmp_val: 0.2721, tmp_test: 0.2843, Train: 0.3214, Val: 0.3566, Test: 0.3533, Best time: 2.0300
Epoch: 5, Runtime: 0.0457, Loss: 1.847, forward nfe 45, backward nfe 0, tmp_train: 0.7214, tmp_val: 0.4735, tmp_test: 0.4893, Train: 0.7214, Val: 0.4735, Test: 0.4893, Best time: 2.0300
Epoch: 6, Runtime: 0.0465, Loss: 1.706, forward nfe 55, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.5912, tmp_test: 0.5888, Train: 0.7714, Val: 0.5912, Test: 0.5888, Best time: 2.0300
Epoch: 7, Runtime: 0.0444, Loss: 1.679, forward nfe 65, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.7250, tmp_test: 0.7289, Train: 0.8714, Val: 0.7250, Test: 0.7289, Best time: 2.0300
Epoch: 8, Runtime: 0.0508, Loss: 1.525, forward nfe 75, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.7250, tmp_test: 0.7330, Train: 0.8714, Val: 0.7250, Test: 0.7289, Best time: 2.0300
Epoch: 9, Runtime: 0.0489, Loss: 1.229, forward nfe 85, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6971, tmp_test: 0.7025, Train: 0.8714, Val: 0.7250, Test: 0.7289, Best time: 2.0300
Epoch: 10, Runtime: 0.0437, Loss: 1.251, forward nfe 95, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.7059, tmp_test: 0.7178, Train: 0.8714, Val: 0.7250, Test: 0.7289, Best time: 2.0300
Epoch: 11, Runtime: 0.0474, Loss: 1.020, forward nfe 105, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7478, tmp_test: 0.7553, Train: 0.9429, Val: 0.7478, Test: 0.7553, Best time: 2.0300
Epoch: 12, Runtime: 0.0570, Loss: 0.952, forward nfe 115, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8007, tmp_test: 0.8000, Train: 0.9786, Val: 0.8007, Test: 0.8000, Best time: 2.0300
Epoch: 13, Runtime: 0.0557, Loss: 0.993, forward nfe 125, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8118, tmp_test: 0.8183, Train: 0.9786, Val: 0.8118, Test: 0.8183, Best time: 2.0300
Epoch: 14, Runtime: 0.0559, Loss: 0.942, forward nfe 135, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8118, tmp_test: 0.8325, Train: 0.9786, Val: 0.8118, Test: 0.8183, Best time: 2.0300
Epoch: 15, Runtime: 0.0457, Loss: 0.920, forward nfe 145, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8125, tmp_test: 0.8264, Train: 0.9786, Val: 0.8125, Test: 0.8264, Best time: 2.0300
Epoch: 16, Runtime: 0.0464, Loss: 0.975, forward nfe 155, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7956, tmp_test: 0.8020, Train: 0.9786, Val: 0.8125, Test: 0.8264, Best time: 2.0300
Epoch: 17, Runtime: 0.0470, Loss: 0.918, forward nfe 165, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7456, tmp_test: 0.7584, Train: 0.9786, Val: 0.8125, Test: 0.8264, Best time: 2.0300
Epoch: 18, Runtime: 0.0459, Loss: 0.851, forward nfe 175, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7596, tmp_test: 0.7766, Train: 0.9786, Val: 0.8125, Test: 0.8264, Best time: 2.0300
Epoch: 19, Runtime: 0.0503, Loss: 0.863, forward nfe 185, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7919, tmp_test: 0.8132, Train: 0.9786, Val: 0.8125, Test: 0.8264, Best time: 2.0300
Epoch: 20, Runtime: 0.0433, Loss: 0.752, forward nfe 195, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8088, tmp_test: 0.8294, Train: 0.9786, Val: 0.8125, Test: 0.8264, Best time: 2.0300
Epoch: 21, Runtime: 0.0521, Loss: 0.823, forward nfe 205, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8088, tmp_test: 0.8325, Train: 0.9786, Val: 0.8125, Test: 0.8264, Best time: 2.0300
