/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.03, 'augment': False, 'method': 'euler', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gat', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 1.1039, Loss: 1.946, forward nfe 7, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6000, tmp_test: 0.5766, Train: 0.8714, Val: 0.6000, Test: 0.5766, Best time: 2.0300
Epoch: 2, Runtime: 0.1196, Loss: 1.805, forward nfe 21, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7566, tmp_test: 0.7320, Train: 0.9643, Val: 0.7566, Test: 0.7320, Best time: 2.0300
Epoch: 3, Runtime: 0.1171, Loss: 1.586, forward nfe 35, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7838, tmp_test: 0.7655, Train: 0.9786, Val: 0.7838, Test: 0.7655, Best time: 2.0300
Epoch: 4, Runtime: 0.1099, Loss: 1.268, forward nfe 49, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7882, tmp_test: 0.7695, Train: 0.9786, Val: 0.7882, Test: 0.7695, Best time: 2.0300
Epoch: 5, Runtime: 0.0929, Loss: 0.912, forward nfe 63, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7890, tmp_test: 0.7695, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 6, Runtime: 0.1079, Loss: 0.575, forward nfe 77, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7743, tmp_test: 0.7533, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 7, Runtime: 0.1202, Loss: 0.385, forward nfe 91, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7772, tmp_test: 0.7523, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 8, Runtime: 0.1254, Loss: 0.303, forward nfe 105, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7757, tmp_test: 0.7553, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 9, Runtime: 0.1223, Loss: 0.188, forward nfe 119, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7574, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 10, Runtime: 0.0932, Loss: 0.185, forward nfe 133, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7713, tmp_test: 0.7533, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 11, Runtime: 0.1142, Loss: 0.203, forward nfe 147, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7662, tmp_test: 0.7563, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 12, Runtime: 0.1150, Loss: 0.181, forward nfe 161, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7632, tmp_test: 0.7482, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 13, Runtime: 0.1161, Loss: 0.173, forward nfe 175, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7691, tmp_test: 0.7492, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 14, Runtime: 0.1097, Loss: 0.131, forward nfe 189, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7654, tmp_test: 0.7472, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 15, Runtime: 0.1088, Loss: 0.117, forward nfe 203, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7360, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 16, Runtime: 0.1212, Loss: 0.181, forward nfe 217, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7574, tmp_test: 0.7310, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 17, Runtime: 0.1034, Loss: 0.166, forward nfe 231, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7500, tmp_test: 0.7269, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 18, Runtime: 0.0998, Loss: 0.134, forward nfe 245, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7426, tmp_test: 0.7157, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 19, Runtime: 0.0960, Loss: 0.190, forward nfe 259, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7235, tmp_test: 0.6975, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 20, Runtime: 0.1166, Loss: 0.177, forward nfe 273, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7257, tmp_test: 0.7005, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 21, Runtime: 0.1174, Loss: 0.175, forward nfe 287, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7426, tmp_test: 0.7249, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 22, Runtime: 0.0893, Loss: 0.207, forward nfe 301, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7390, tmp_test: 0.7208, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 23, Runtime: 0.1240, Loss: 0.272, forward nfe 315, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7279, tmp_test: 0.7259, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
Epoch: 24, Runtime: 0.1307, Loss: 0.187, forward nfe 329, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7346, tmp_test: 0.7269, Train: 0.9786, Val: 0.7890, Test: 0.7695, Best time: 2.0300
