/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.45, 'augment': False, 'method': 'euler', 'step_size': 0.30000000000000004, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gat', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 1.4220, Loss: 1.943, forward nfe 9, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7838, tmp_test: 0.7878, Train: 0.9357, Val: 0.7838, Test: 0.7878, Best time: 2.4500
Epoch: 2, Runtime: 0.1278, Loss: 1.599, forward nfe 27, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7669, tmp_test: 0.7716, Train: 0.9357, Val: 0.7838, Test: 0.7878, Best time: 2.4500
Epoch: 3, Runtime: 0.1087, Loss: 1.236, forward nfe 45, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7669, tmp_test: 0.7685, Train: 0.9357, Val: 0.7838, Test: 0.7878, Best time: 2.4500
Epoch: 4, Runtime: 0.1151, Loss: 0.829, forward nfe 63, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7721, tmp_test: 0.7787, Train: 0.9357, Val: 0.7838, Test: 0.7878, Best time: 2.4500
Epoch: 5, Runtime: 0.1268, Loss: 0.553, forward nfe 81, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7904, tmp_test: 0.8020, Train: 0.9857, Val: 0.7904, Test: 0.8020, Best time: 2.4500
Epoch: 6, Runtime: 0.1284, Loss: 0.364, forward nfe 99, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8000, tmp_test: 0.8071, Train: 0.9857, Val: 0.8000, Test: 0.8071, Best time: 2.4500
Epoch: 7, Runtime: 0.1298, Loss: 0.242, forward nfe 117, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8074, tmp_test: 0.8081, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 8, Runtime: 0.1127, Loss: 0.183, forward nfe 135, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8015, tmp_test: 0.8102, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 9, Runtime: 0.1187, Loss: 0.148, forward nfe 153, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.8173, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 10, Runtime: 0.1180, Loss: 0.105, forward nfe 171, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.8122, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 11, Runtime: 0.1260, Loss: 0.127, forward nfe 189, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.8081, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 12, Runtime: 0.1246, Loss: 0.117, forward nfe 207, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.8071, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 13, Runtime: 0.1356, Loss: 0.111, forward nfe 225, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7706, tmp_test: 0.8010, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 14, Runtime: 0.1317, Loss: 0.164, forward nfe 243, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7809, tmp_test: 0.8030, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 15, Runtime: 0.1175, Loss: 0.205, forward nfe 261, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7890, tmp_test: 0.8051, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 16, Runtime: 0.1069, Loss: 0.226, forward nfe 279, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.8061, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 17, Runtime: 0.1221, Loss: 0.172, forward nfe 297, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7898, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 18, Runtime: 0.1255, Loss: 0.220, forward nfe 315, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7838, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 19, Runtime: 0.1151, Loss: 0.227, forward nfe 333, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7750, tmp_test: 0.7939, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 20, Runtime: 0.1251, Loss: 0.201, forward nfe 351, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7898, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 21, Runtime: 0.1356, Loss: 0.161, forward nfe 369, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7929, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 22, Runtime: 0.1137, Loss: 0.162, forward nfe 387, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7706, tmp_test: 0.7868, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 23, Runtime: 0.1177, Loss: 0.134, forward nfe 405, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.8030, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 24, Runtime: 0.1187, Loss: 0.129, forward nfe 423, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7939, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 25, Runtime: 0.1214, Loss: 0.187, forward nfe 441, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7848, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 26, Runtime: 0.1326, Loss: 0.111, forward nfe 459, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7858, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 27, Runtime: 0.1301, Loss: 0.112, forward nfe 477, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7766, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 28, Runtime: 0.1392, Loss: 0.100, forward nfe 495, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7559, tmp_test: 0.7645, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 29, Runtime: 0.1136, Loss: 0.113, forward nfe 513, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7787, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 30, Runtime: 0.1135, Loss: 0.106, forward nfe 531, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7787, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 31, Runtime: 0.1157, Loss: 0.146, forward nfe 549, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7766, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 32, Runtime: 0.1160, Loss: 0.169, forward nfe 567, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7746, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 33, Runtime: 0.1335, Loss: 0.152, forward nfe 585, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7537, tmp_test: 0.7594, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 34, Runtime: 0.1352, Loss: 0.151, forward nfe 603, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7507, tmp_test: 0.7645, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 35, Runtime: 0.1377, Loss: 0.125, forward nfe 621, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7603, tmp_test: 0.7756, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 36, Runtime: 0.1385, Loss: 0.115, forward nfe 639, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7817, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 37, Runtime: 0.1235, Loss: 0.136, forward nfe 657, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7797, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 38, Runtime: 0.1133, Loss: 0.145, forward nfe 675, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7716, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 39, Runtime: 0.1189, Loss: 0.154, forward nfe 693, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7604, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 40, Runtime: 0.1263, Loss: 0.137, forward nfe 711, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.7635, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 41, Runtime: 0.1225, Loss: 0.153, forward nfe 729, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7706, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 42, Runtime: 0.1230, Loss: 0.128, forward nfe 747, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7797, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 43, Runtime: 0.1286, Loss: 0.114, forward nfe 765, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7750, tmp_test: 0.7929, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 44, Runtime: 0.1304, Loss: 0.136, forward nfe 783, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.7929, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 45, Runtime: 0.1252, Loss: 0.137, forward nfe 801, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7713, tmp_test: 0.7868, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 46, Runtime: 0.1368, Loss: 0.137, forward nfe 819, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7898, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 47, Runtime: 0.1297, Loss: 0.135, forward nfe 837, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.7848, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
Epoch: 48, Runtime: 0.1162, Loss: 0.145, forward nfe 855, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7888, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.4500
