
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.08, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m11.weight
torch.Size([128, 128])
m11.bias
torch.Size([128])
m12.weight
torch.Size([128, 128])
m12.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 128])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.1401, Loss: 1.948, forward nfe 5, backward nfe 0, tmp_train: 0.4929, tmp_val: 0.4103, tmp_test: 0.3868, Train: 0.4929, Val: 0.4103, Test: 0.3868, Best time: 2.0800
Epoch: 2, Runtime: 0.7483, Loss: 1.935, forward nfe 15, backward nfe 0, tmp_train: 0.2929, tmp_val: 0.1610, tmp_test: 0.1848, Train: 0.4929, Val: 0.4103, Test: 0.3868, Best time: 2.0800
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.4637, Loss: 1.933, forward nfe 25, backward nfe 0, tmp_train: 0.4143, tmp_val: 0.2529, tmp_test: 0.2843, Train: 0.4929, Val: 0.4103, Test: 0.3868, Best time: 2.0800
Epoch: 4, Runtime: 0.0632, Loss: 1.913, forward nfe 35, backward nfe 0, tmp_train: 0.5643, tmp_val: 0.3949, tmp_test: 0.3949, Train: 0.4929, Val: 0.4103, Test: 0.3868, Best time: 2.0800
Epoch: 5, Runtime: 0.0693, Loss: 1.838, forward nfe 45, backward nfe 0, tmp_train: 0.6500, tmp_val: 0.4272, tmp_test: 0.4274, Train: 0.6500, Val: 0.4272, Test: 0.4274, Best time: 2.0800
Epoch: 6, Runtime: 0.0481, Loss: 1.818, forward nfe 55, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6404, tmp_test: 0.6325, Train: 0.8786, Val: 0.6404, Test: 0.6325, Best time: 2.0800
Epoch: 7, Runtime: 0.0612, Loss: 1.668, forward nfe 65, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.7801, tmp_test: 0.7655, Train: 0.8786, Val: 0.7801, Test: 0.7655, Best time: 2.0800
Epoch: 8, Runtime: 0.0439, Loss: 1.632, forward nfe 75, backward nfe 0, tmp_train: 0.8286, tmp_val: 0.7301, tmp_test: 0.7168, Train: 0.8786, Val: 0.7801, Test: 0.7655, Best time: 2.0800
Epoch: 9, Runtime: 0.0666, Loss: 1.563, forward nfe 85, backward nfe 0, tmp_train: 0.8286, tmp_val: 0.7426, tmp_test: 0.7503, Train: 0.8786, Val: 0.7801, Test: 0.7655, Best time: 2.0800
Epoch: 10, Runtime: 0.0510, Loss: 1.432, forward nfe 95, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.7566, tmp_test: 0.7584, Train: 0.8786, Val: 0.7801, Test: 0.7655, Best time: 2.0800
Epoch: 11, Runtime: 0.0524, Loss: 1.354, forward nfe 105, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7809, tmp_test: 0.7614, Train: 0.9071, Val: 0.7809, Test: 0.7614, Best time: 2.0800
Epoch: 12, Runtime: 0.0612, Loss: 1.274, forward nfe 115, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.7618, tmp_test: 0.7431, Train: 0.9071, Val: 0.7809, Test: 0.7614, Best time: 2.0800
Epoch: 13, Runtime: 0.0476, Loss: 1.257, forward nfe 125, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7684, tmp_test: 0.7462, Train: 0.9071, Val: 0.7809, Test: 0.7614, Best time: 2.0800
Epoch: 14, Runtime: 0.0659, Loss: 1.203, forward nfe 135, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7669, tmp_test: 0.7553, Train: 0.9071, Val: 0.7809, Test: 0.7614, Best time: 2.0800
Epoch: 15, Runtime: 0.0399, Loss: 1.007, forward nfe 145, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7581, tmp_test: 0.7635, Train: 0.9071, Val: 0.7809, Test: 0.7614, Best time: 2.0800
Epoch: 16, Runtime: 0.0411, Loss: 1.196, forward nfe 155, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.7728, tmp_test: 0.7746, Train: 0.9071, Val: 0.7809, Test: 0.7614, Best time: 2.0800
Epoch: 17, Runtime: 0.0612, Loss: 1.165, forward nfe 165, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7897, tmp_test: 0.7868, Train: 0.9714, Val: 0.7897, Test: 0.7868, Best time: 2.0800
Epoch: 18, Runtime: 0.0372, Loss: 1.011, forward nfe 175, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7926, tmp_test: 0.7848, Train: 0.9714, Val: 0.7926, Test: 0.7848, Best time: 2.0800
Epoch: 19, Runtime: 0.0625, Loss: 1.000, forward nfe 185, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7926, tmp_test: 0.7675, Train: 0.9714, Val: 0.7926, Test: 0.7848, Best time: 2.0800
Epoch: 20, Runtime: 0.0404, Loss: 1.050, forward nfe 195, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7809, tmp_test: 0.7594, Train: 0.9714, Val: 0.7926, Test: 0.7848, Best time: 2.0800
Epoch: 21, Runtime: 0.0452, Loss: 0.976, forward nfe 205, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7691, tmp_test: 0.7553, Train: 0.9714, Val: 0.7926, Test: 0.7848, Best time: 2.0800
Epoch: 22, Runtime: 0.0640, Loss: 1.013, forward nfe 215, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7787, tmp_test: 0.7716, Train: 0.9714, Val: 0.7926, Test: 0.7848, Best time: 2.0800
