
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.06, 'augment': False, 'method': 'rk4', 'step_size': 0.35000000000000003, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.2068, Loss: 1.949, forward nfe 24, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7140, tmp_test: 0.7401, Train: 0.9500, Val: 0.7140, Test: 0.7401, Best time: 2.0600
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7854, Loss: 1.589, forward nfe 72, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7265, tmp_test: 0.7523, Train: 0.9500, Val: 0.7265, Test: 0.7523, Best time: 2.0600
Epoch: 3, Runtime: 1.4720, Loss: 1.149, forward nfe 120, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7551, tmp_test: 0.7716, Train: 0.9571, Val: 0.7551, Test: 0.7716, Best time: 2.0600
Epoch: 4, Runtime: 0.1230, Loss: 0.772, forward nfe 168, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7706, tmp_test: 0.7827, Train: 0.9714, Val: 0.7706, Test: 0.7827, Best time: 2.0600
Epoch: 5, Runtime: 0.1214, Loss: 0.474, forward nfe 216, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7801, tmp_test: 0.7909, Train: 0.9857, Val: 0.7801, Test: 0.7909, Best time: 2.0600
Epoch: 6, Runtime: 0.1343, Loss: 0.300, forward nfe 264, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7941, tmp_test: 0.8000, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 7, Runtime: 0.1282, Loss: 0.195, forward nfe 312, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7934, tmp_test: 0.8041, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 8, Runtime: 0.1265, Loss: 0.129, forward nfe 360, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7897, tmp_test: 0.7990, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 9, Runtime: 0.1307, Loss: 0.149, forward nfe 408, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7926, tmp_test: 0.8000, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 10, Runtime: 0.1258, Loss: 0.121, forward nfe 456, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7794, tmp_test: 0.7959, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 11, Runtime: 0.1247, Loss: 0.096, forward nfe 504, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7691, tmp_test: 0.7868, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 12, Runtime: 0.1288, Loss: 0.091, forward nfe 552, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7625, tmp_test: 0.7756, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 13, Runtime: 0.1318, Loss: 0.105, forward nfe 600, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7746, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 14, Runtime: 0.1248, Loss: 0.114, forward nfe 648, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7588, tmp_test: 0.7888, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 15, Runtime: 0.1263, Loss: 0.166, forward nfe 696, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7939, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 16, Runtime: 0.1199, Loss: 0.179, forward nfe 744, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.7970, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 17, Runtime: 0.1234, Loss: 0.182, forward nfe 792, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7625, tmp_test: 0.7848, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 18, Runtime: 0.1286, Loss: 0.213, forward nfe 840, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7434, tmp_test: 0.7685, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 19, Runtime: 0.1340, Loss: 0.178, forward nfe 888, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7360, tmp_test: 0.7726, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 20, Runtime: 0.1251, Loss: 0.132, forward nfe 936, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7397, tmp_test: 0.7736, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
Epoch: 21, Runtime: 0.1264, Loss: 0.153, forward nfe 984, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7551, tmp_test: 0.7817, Train: 0.9857, Val: 0.7941, Test: 0.8000, Best time: 2.0600
