
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.24, 'augment': False, 'method': 'euler', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1802, Loss: 1.948, forward nfe 6, backward nfe 0, tmp_train: 0.3357, tmp_val: 0.2971, tmp_test: 0.3005, Train: 0.3357, Val: 0.2971, Test: 0.3005, Best time: 2.2400
Epoch: 2, Runtime: 0.7461, Loss: 1.865, forward nfe 18, backward nfe 0, tmp_train: 0.7929, tmp_val: 0.4919, tmp_test: 0.4873, Train: 0.7929, Val: 0.4919, Test: 0.4873, Best time: 2.2400
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.3943, Loss: 1.713, forward nfe 30, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7346, tmp_test: 0.7056, Train: 0.9143, Val: 0.7346, Test: 0.7056, Best time: 2.2400
Epoch: 4, Runtime: 0.0768, Loss: 1.328, forward nfe 42, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7449, tmp_test: 0.7635, Train: 0.9071, Val: 0.7449, Test: 0.7635, Best time: 2.2400
Epoch: 5, Runtime: 0.0519, Loss: 0.859, forward nfe 54, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6324, tmp_test: 0.6284, Train: 0.9071, Val: 0.7449, Test: 0.7635, Best time: 2.2400
Epoch: 6, Runtime: 0.0560, Loss: 0.783, forward nfe 66, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7941, tmp_test: 0.7756, Train: 0.9071, Val: 0.7941, Test: 0.7756, Best time: 2.2400
Epoch: 7, Runtime: 0.0642, Loss: 0.525, forward nfe 78, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7868, tmp_test: 0.7949, Train: 0.9071, Val: 0.7941, Test: 0.7756, Best time: 2.2400
Epoch: 8, Runtime: 0.0784, Loss: 0.427, forward nfe 90, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.6801, tmp_test: 0.6711, Train: 0.9071, Val: 0.7941, Test: 0.7756, Best time: 2.2400
Epoch: 9, Runtime: 0.0522, Loss: 0.460, forward nfe 102, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7191, tmp_test: 0.7036, Train: 0.9071, Val: 0.7941, Test: 0.7756, Best time: 2.2400
Epoch: 10, Runtime: 0.0494, Loss: 0.351, forward nfe 114, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7794, tmp_test: 0.7543, Train: 0.9071, Val: 0.7941, Test: 0.7756, Best time: 2.2400
Epoch: 11, Runtime: 0.0525, Loss: 0.335, forward nfe 126, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7963, tmp_test: 0.7777, Train: 0.9714, Val: 0.7963, Test: 0.7777, Best time: 2.2400
Epoch: 12, Runtime: 0.0627, Loss: 0.408, forward nfe 138, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8118, tmp_test: 0.7888, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
Epoch: 13, Runtime: 0.0550, Loss: 0.301, forward nfe 150, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7978, tmp_test: 0.7645, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
Epoch: 14, Runtime: 0.0777, Loss: 0.281, forward nfe 162, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7860, tmp_test: 0.7665, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
Epoch: 15, Runtime: 0.0520, Loss: 0.221, forward nfe 174, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7713, tmp_test: 0.7584, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
Epoch: 16, Runtime: 0.0639, Loss: 0.214, forward nfe 186, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7721, tmp_test: 0.7401, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
Epoch: 17, Runtime: 0.0608, Loss: 0.241, forward nfe 198, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7868, tmp_test: 0.7563, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
Epoch: 18, Runtime: 0.0842, Loss: 0.209, forward nfe 210, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8000, tmp_test: 0.7624, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
Epoch: 19, Runtime: 0.0539, Loss: 0.175, forward nfe 222, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7875, tmp_test: 0.7513, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
Epoch: 20, Runtime: 0.0487, Loss: 0.291, forward nfe 234, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7655, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
Epoch: 21, Runtime: 0.0550, Loss: 0.239, forward nfe 246, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7492, Train: 0.9786, Val: 0.8118, Test: 0.7888, Best time: 2.2400
