
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.34, 'augment': False, 'method': 'rk4', 'step_size': 0.25, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m11.weight
torch.Size([64, 64])
m11.bias
torch.Size([64])
m12.weight
torch.Size([64, 64])
m12.bias
torch.Size([64])
m2.weight
torch.Size([7, 64])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 0.2751, Loss: 1.949, forward nfe 40, backward nfe 0, tmp_train: 0.5500, tmp_val: 0.3588, tmp_test: 0.3878, Train: 0.5500, Val: 0.3588, Test: 0.3878, Best time: 2.3400
Epoch: 2, Runtime: 0.8722, Loss: 1.865, forward nfe 120, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.5221, tmp_test: 0.5431, Train: 0.8214, Val: 0.5221, Test: 0.5431, Best time: 2.3400
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.5481, Loss: 1.737, forward nfe 200, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6375, tmp_test: 0.6558, Train: 0.8786, Val: 0.6375, Test: 0.6558, Best time: 2.3400
Epoch: 4, Runtime: 0.1954, Loss: 1.627, forward nfe 280, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.7074, tmp_test: 0.7137, Train: 0.8714, Val: 0.7074, Test: 0.7137, Best time: 2.3400
Epoch: 5, Runtime: 0.1723, Loss: 1.432, forward nfe 360, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.7022, tmp_test: 0.7259, Train: 0.8714, Val: 0.7074, Test: 0.7137, Best time: 2.3400
Epoch: 6, Runtime: 0.1794, Loss: 1.230, forward nfe 440, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7272, tmp_test: 0.7482, Train: 0.9143, Val: 0.7272, Test: 0.7482, Best time: 2.3400
Epoch: 7, Runtime: 0.1982, Loss: 1.021, forward nfe 520, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7382, tmp_test: 0.7533, Train: 0.9429, Val: 0.7382, Test: 0.7533, Best time: 2.3400
Epoch: 8, Runtime: 0.2077, Loss: 0.750, forward nfe 600, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7382, tmp_test: 0.7401, Train: 0.9429, Val: 0.7382, Test: 0.7533, Best time: 2.3400
Epoch: 9, Runtime: 0.1778, Loss: 0.634, forward nfe 680, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7559, tmp_test: 0.7675, Train: 0.9929, Val: 0.7559, Test: 0.7675, Best time: 2.3400
Epoch: 10, Runtime: 0.1846, Loss: 0.375, forward nfe 760, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7581, tmp_test: 0.7675, Train: 0.9786, Val: 0.7581, Test: 0.7675, Best time: 2.3400
Epoch: 11, Runtime: 0.1861, Loss: 0.426, forward nfe 840, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7632, tmp_test: 0.7787, Train: 0.9857, Val: 0.7632, Test: 0.7787, Best time: 2.3400
Epoch: 12, Runtime: 0.2009, Loss: 0.363, forward nfe 920, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7848, Train: 1.0000, Val: 0.7772, Test: 0.7848, Best time: 2.3400
Epoch: 13, Runtime: 0.2030, Loss: 0.289, forward nfe 1000, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.7716, Train: 1.0000, Val: 0.7904, Test: 0.7716, Best time: 2.3400
Epoch: 14, Runtime: 0.2157, Loss: 0.230, forward nfe 1080, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.7929, Train: 1.0000, Val: 0.7904, Test: 0.7716, Best time: 2.3400
Epoch: 15, Runtime: 0.1742, Loss: 0.186, forward nfe 1160, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7779, tmp_test: 0.7919, Train: 1.0000, Val: 0.7904, Test: 0.7716, Best time: 2.3400
Epoch: 16, Runtime: 0.1856, Loss: 0.168, forward nfe 1240, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7566, tmp_test: 0.7655, Train: 1.0000, Val: 0.7904, Test: 0.7716, Best time: 2.3400
Epoch: 17, Runtime: 0.1945, Loss: 0.201, forward nfe 1320, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7301, tmp_test: 0.7340, Train: 1.0000, Val: 0.7904, Test: 0.7716, Best time: 2.3400
Epoch: 18, Runtime: 0.1885, Loss: 0.224, forward nfe 1400, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7206, tmp_test: 0.7269, Train: 1.0000, Val: 0.7904, Test: 0.7716, Best time: 2.3400
Epoch: 19, Runtime: 0.2013, Loss: 0.149, forward nfe 1480, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7397, tmp_test: 0.7371, Train: 1.0000, Val: 0.7904, Test: 0.7716, Best time: 2.3400
Epoch: 20, Runtime: 0.1760, Loss: 0.162, forward nfe 1560, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7463, tmp_test: 0.7411, Train: 1.0000, Val: 0.7904, Test: 0.7716, Best time: 2.3400
Epoch: 21, Runtime: 0.1846, Loss: 0.267, forward nfe 1640, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7584, Train: 1.0000, Val: 0.7904, Test: 0.7716, Best time: 2.3400
