/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.29, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.weight
torch.Size([7, 64])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 1.1012, Loss: 1.948, forward nfe 6, backward nfe 0, tmp_train: 0.5857, tmp_val: 0.4456, tmp_test: 0.4315, Train: 0.5857, Val: 0.4456, Test: 0.4315, Best time: 2.2900
Epoch: 2, Runtime: 0.0565, Loss: 1.868, forward nfe 18, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6257, tmp_test: 0.6132, Train: 0.8786, Val: 0.6257, Test: 0.6132, Best time: 2.2900
Epoch: 3, Runtime: 0.0512, Loss: 1.757, forward nfe 30, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.6897, tmp_test: 0.7127, Train: 0.9643, Val: 0.6897, Test: 0.7127, Best time: 2.2900
Epoch: 4, Runtime: 0.0346, Loss: 1.597, forward nfe 42, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7404, tmp_test: 0.7695, Train: 0.9714, Val: 0.7404, Test: 0.7695, Best time: 2.2900
Epoch: 5, Runtime: 0.0421, Loss: 1.442, forward nfe 54, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7713, tmp_test: 0.7929, Train: 0.9643, Val: 0.7713, Test: 0.7929, Best time: 2.2900
Epoch: 6, Runtime: 0.0525, Loss: 1.240, forward nfe 66, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7890, tmp_test: 0.8051, Train: 0.9643, Val: 0.7890, Test: 0.8051, Best time: 2.2900
Epoch: 7, Runtime: 0.0772, Loss: 1.068, forward nfe 78, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7934, tmp_test: 0.8091, Train: 0.9643, Val: 0.7934, Test: 0.8091, Best time: 2.2900
Epoch: 8, Runtime: 0.0440, Loss: 0.857, forward nfe 90, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.8015, tmp_test: 0.8102, Train: 0.9643, Val: 0.8015, Test: 0.8102, Best time: 2.2900
Epoch: 9, Runtime: 0.0391, Loss: 0.717, forward nfe 102, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.8000, tmp_test: 0.8071, Train: 0.9643, Val: 0.8015, Test: 0.8102, Best time: 2.2900
Epoch: 10, Runtime: 0.0582, Loss: 0.574, forward nfe 114, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.8044, tmp_test: 0.8020, Train: 0.9714, Val: 0.8044, Test: 0.8020, Best time: 2.2900
Epoch: 11, Runtime: 0.0404, Loss: 0.505, forward nfe 126, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8015, tmp_test: 0.8081, Train: 0.9714, Val: 0.8044, Test: 0.8020, Best time: 2.2900
Epoch: 12, Runtime: 0.0421, Loss: 0.405, forward nfe 138, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8074, tmp_test: 0.8193, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 13, Runtime: 0.0816, Loss: 0.291, forward nfe 150, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8044, tmp_test: 0.8112, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 14, Runtime: 0.0500, Loss: 0.223, forward nfe 162, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8066, tmp_test: 0.8020, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 15, Runtime: 0.0397, Loss: 0.212, forward nfe 174, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8051, tmp_test: 0.7939, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 16, Runtime: 0.0409, Loss: 0.248, forward nfe 186, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7978, tmp_test: 0.7827, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 17, Runtime: 0.0603, Loss: 0.274, forward nfe 198, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7926, tmp_test: 0.7827, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 18, Runtime: 0.0507, Loss: 0.161, forward nfe 210, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7971, tmp_test: 0.7817, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 19, Runtime: 0.0518, Loss: 0.241, forward nfe 222, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7978, tmp_test: 0.7868, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 20, Runtime: 0.0549, Loss: 0.189, forward nfe 234, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7993, tmp_test: 0.7959, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 21, Runtime: 0.0520, Loss: 0.172, forward nfe 246, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7993, tmp_test: 0.8010, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 22, Runtime: 0.0450, Loss: 0.162, forward nfe 258, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8051, tmp_test: 0.8091, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 23, Runtime: 0.0370, Loss: 0.239, forward nfe 270, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8051, tmp_test: 0.8132, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
Epoch: 24, Runtime: 0.0731, Loss: 0.158, forward nfe 282, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8066, tmp_test: 0.8122, Train: 0.9857, Val: 0.8074, Test: 0.8193, Best time: 2.2900
