
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.46, 'augment': False, 'method': 'rk4', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.3100, Loss: 1.980, forward nfe 52, backward nfe 0, tmp_train: 0.1714, tmp_val: 0.1941, tmp_test: 0.1553, Train: 0.1714, Val: 0.1941, Test: 0.1553, Best time: 2.4600
Epoch: 2, Runtime: 0.8823, Loss: 1.937, forward nfe 156, backward nfe 0, tmp_train: 0.3000, tmp_val: 0.2199, tmp_test: 0.2274, Train: 0.3000, Val: 0.2199, Test: 0.2274, Best time: 2.4600
Epoch: 3, Runtime: 1.5420, Loss: 1.952, forward nfe 260, backward nfe 0, tmp_train: 0.4429, tmp_val: 0.3044, tmp_test: 0.3228, Train: 0.4429, Val: 0.3044, Test: 0.3228, Best time: 2.4600
Epoch: 4, Runtime: 0.2117, Loss: 1.911, forward nfe 364, backward nfe 0, tmp_train: 0.6714, tmp_val: 0.5676, tmp_test: 0.5787, Train: 0.6714, Val: 0.5676, Test: 0.5787, Best time: 2.4600
Epoch: 5, Runtime: 0.2094, Loss: 1.902, forward nfe 468, backward nfe 0, tmp_train: 0.8429, tmp_val: 0.6801, tmp_test: 0.7178, Train: 0.8429, Val: 0.6801, Test: 0.7178, Best time: 2.4600
Epoch: 6, Runtime: 0.1978, Loss: 1.868, forward nfe 572, backward nfe 0, tmp_train: 0.8357, tmp_val: 0.6588, tmp_test: 0.6528, Train: 0.8429, Val: 0.6801, Test: 0.7178, Best time: 2.4600
Epoch: 7, Runtime: 0.2230, Loss: 1.844, forward nfe 676, backward nfe 0, tmp_train: 0.8429, tmp_val: 0.6309, tmp_test: 0.6112, Train: 0.8429, Val: 0.6801, Test: 0.7178, Best time: 2.4600
Epoch: 8, Runtime: 0.2204, Loss: 1.843, forward nfe 780, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6529, tmp_test: 0.6335, Train: 0.8429, Val: 0.6801, Test: 0.7178, Best time: 2.4600
Epoch: 9, Runtime: 0.2179, Loss: 1.825, forward nfe 884, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.6375, tmp_test: 0.6284, Train: 0.8429, Val: 0.6801, Test: 0.7178, Best time: 2.4600
Epoch: 10, Runtime: 0.2107, Loss: 1.794, forward nfe 988, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.6397, tmp_test: 0.6284, Train: 0.8429, Val: 0.6801, Test: 0.7178, Best time: 2.4600
Epoch: 11, Runtime: 0.2037, Loss: 1.765, forward nfe 1092, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.6485, tmp_test: 0.6406, Train: 0.8429, Val: 0.6801, Test: 0.7178, Best time: 2.4600
Epoch: 12, Runtime: 0.2207, Loss: 1.755, forward nfe 1196, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.6662, tmp_test: 0.6437, Train: 0.8429, Val: 0.6801, Test: 0.7178, Best time: 2.4600
Epoch: 13, Runtime: 0.2042, Loss: 1.713, forward nfe 1300, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.6787, tmp_test: 0.6640, Train: 0.8429, Val: 0.6801, Test: 0.7178, Best time: 2.4600
Epoch: 14, Runtime: 0.2087, Loss: 1.700, forward nfe 1404, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.6824, tmp_test: 0.6680, Train: 0.9000, Val: 0.6824, Test: 0.6680, Best time: 2.4600
Epoch: 15, Runtime: 0.2082, Loss: 1.550, forward nfe 1508, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.6824, tmp_test: 0.6670, Train: 0.9000, Val: 0.6824, Test: 0.6680, Best time: 2.4600
Epoch: 16, Runtime: 0.2044, Loss: 1.627, forward nfe 1612, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6831, tmp_test: 0.6690, Train: 0.8929, Val: 0.6831, Test: 0.6690, Best time: 2.4600
Epoch: 17, Runtime: 0.2027, Loss: 1.533, forward nfe 1716, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.6860, tmp_test: 0.6792, Train: 0.8857, Val: 0.6860, Test: 0.6792, Best time: 2.4600
Epoch: 18, Runtime: 0.2163, Loss: 1.511, forward nfe 1820, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6824, tmp_test: 0.6741, Train: 0.8857, Val: 0.6860, Test: 0.6792, Best time: 2.4600
Epoch: 19, Runtime: 0.2091, Loss: 1.500, forward nfe 1924, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.6824, tmp_test: 0.6650, Train: 0.8857, Val: 0.6860, Test: 0.6792, Best time: 2.4600
Epoch: 20, Runtime: 0.2158, Loss: 1.524, forward nfe 2028, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.6941, tmp_test: 0.6670, Train: 0.9286, Val: 0.6941, Test: 0.6670, Best time: 2.4600
Epoch: 21, Runtime: 0.2211, Loss: 1.482, forward nfe 2132, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7110, tmp_test: 0.6802, Train: 0.9571, Val: 0.7110, Test: 0.6802, Best time: 2.4600
Epoch: 22, Runtime: 0.2008, Loss: 1.400, forward nfe 2236, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7140, tmp_test: 0.6822, Train: 0.9571, Val: 0.7140, Test: 0.6822, Best time: 2.4600
Epoch: 23, Runtime: 0.1981, Loss: 1.458, forward nfe 2340, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7191, tmp_test: 0.7036, Train: 0.9571, Val: 0.7191, Test: 0.7036, Best time: 2.4600
