/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.21, 'augment': False, 'method': 'euler', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m11.weight
torch.Size([32, 32])
m11.bias
torch.Size([32])
m12.weight
torch.Size([32, 32])
m12.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 32])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 1.2865, Loss: 1.979, forward nfe 5, backward nfe 0, tmp_train: 0.2286, tmp_val: 0.1676, tmp_test: 0.1878, Train: 0.2286, Val: 0.1676, Test: 0.1878, Best time: 2.2100
Epoch: 2, Runtime: 0.0510, Loss: 1.961, forward nfe 15, backward nfe 0, tmp_train: 0.2000, tmp_val: 0.1772, tmp_test: 0.1919, Train: 0.2000, Val: 0.1772, Test: 0.1919, Best time: 2.2100
Epoch: 3, Runtime: 0.0441, Loss: 1.922, forward nfe 25, backward nfe 0, tmp_train: 0.2000, tmp_val: 0.1772, tmp_test: 0.1827, Train: 0.2000, Val: 0.1772, Test: 0.1919, Best time: 2.2100
Epoch: 4, Runtime: 0.0437, Loss: 1.941, forward nfe 35, backward nfe 0, tmp_train: 0.2714, tmp_val: 0.2184, tmp_test: 0.2244, Train: 0.2714, Val: 0.2184, Test: 0.2244, Best time: 2.2100
Epoch: 5, Runtime: 0.0361, Loss: 1.948, forward nfe 45, backward nfe 0, tmp_train: 0.4429, tmp_val: 0.3904, tmp_test: 0.4020, Train: 0.4429, Val: 0.3904, Test: 0.4020, Best time: 2.2100
Epoch: 6, Runtime: 0.0368, Loss: 1.908, forward nfe 55, backward nfe 0, tmp_train: 0.4857, tmp_val: 0.4529, tmp_test: 0.4680, Train: 0.4857, Val: 0.4529, Test: 0.4680, Best time: 2.2100
Epoch: 7, Runtime: 0.0692, Loss: 1.880, forward nfe 65, backward nfe 0, tmp_train: 0.4857, tmp_val: 0.4434, tmp_test: 0.4558, Train: 0.4857, Val: 0.4529, Test: 0.4680, Best time: 2.2100
Epoch: 8, Runtime: 0.0358, Loss: 1.917, forward nfe 75, backward nfe 0, tmp_train: 0.4714, tmp_val: 0.4235, tmp_test: 0.4223, Train: 0.4857, Val: 0.4529, Test: 0.4680, Best time: 2.2100
Epoch: 9, Runtime: 0.0367, Loss: 1.840, forward nfe 85, backward nfe 0, tmp_train: 0.4929, tmp_val: 0.4456, tmp_test: 0.4376, Train: 0.4857, Val: 0.4529, Test: 0.4680, Best time: 2.2100
Epoch: 10, Runtime: 0.0453, Loss: 1.846, forward nfe 95, backward nfe 0, tmp_train: 0.6143, tmp_val: 0.5074, tmp_test: 0.5046, Train: 0.6143, Val: 0.5074, Test: 0.5046, Best time: 2.2100
Epoch: 11, Runtime: 0.0491, Loss: 1.817, forward nfe 105, backward nfe 0, tmp_train: 0.7214, tmp_val: 0.5875, tmp_test: 0.5645, Train: 0.7214, Val: 0.5875, Test: 0.5645, Best time: 2.2100
Epoch: 12, Runtime: 0.0428, Loss: 1.857, forward nfe 115, backward nfe 0, tmp_train: 0.7500, tmp_val: 0.6640, tmp_test: 0.6315, Train: 0.7500, Val: 0.6640, Test: 0.6315, Best time: 2.2100
Epoch: 13, Runtime: 0.0386, Loss: 1.787, forward nfe 125, backward nfe 0, tmp_train: 0.8357, tmp_val: 0.7074, tmp_test: 0.6741, Train: 0.8357, Val: 0.7074, Test: 0.6741, Best time: 2.2100
Epoch: 14, Runtime: 0.0441, Loss: 1.741, forward nfe 135, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.7257, tmp_test: 0.7025, Train: 0.8714, Val: 0.7257, Test: 0.7025, Best time: 2.2100
Epoch: 15, Runtime: 0.0358, Loss: 1.672, forward nfe 145, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.7257, tmp_test: 0.7157, Train: 0.8714, Val: 0.7257, Test: 0.7025, Best time: 2.2100
Epoch: 16, Runtime: 0.0473, Loss: 1.720, forward nfe 155, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7294, tmp_test: 0.7157, Train: 0.9071, Val: 0.7294, Test: 0.7157, Best time: 2.2100
Epoch: 17, Runtime: 0.0604, Loss: 1.684, forward nfe 165, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.7331, tmp_test: 0.7076, Train: 0.8929, Val: 0.7331, Test: 0.7076, Best time: 2.2100
Epoch: 18, Runtime: 0.0374, Loss: 1.645, forward nfe 175, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7478, tmp_test: 0.7289, Train: 0.9071, Val: 0.7478, Test: 0.7289, Best time: 2.2100
Epoch: 19, Runtime: 0.0389, Loss: 1.605, forward nfe 185, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.7507, tmp_test: 0.7289, Train: 0.8929, Val: 0.7507, Test: 0.7289, Best time: 2.2100
Epoch: 20, Runtime: 0.0406, Loss: 1.592, forward nfe 195, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.7412, tmp_test: 0.7310, Train: 0.8929, Val: 0.7507, Test: 0.7289, Best time: 2.2100
Epoch: 21, Runtime: 0.0596, Loss: 1.593, forward nfe 205, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.7390, tmp_test: 0.7340, Train: 0.8929, Val: 0.7507, Test: 0.7289, Best time: 2.2100
Epoch: 22, Runtime: 0.0391, Loss: 1.502, forward nfe 215, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.7574, tmp_test: 0.7431, Train: 0.8786, Val: 0.7574, Test: 0.7431, Best time: 2.2100
Epoch: 23, Runtime: 0.0371, Loss: 1.552, forward nfe 225, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.7596, tmp_test: 0.7533, Train: 0.8857, Val: 0.7596, Test: 0.7533, Best time: 2.2100
Epoch: 24, Runtime: 0.0465, Loss: 1.510, forward nfe 235, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.7691, tmp_test: 0.7553, Train: 0.8929, Val: 0.7691, Test: 0.7553, Best time: 2.2100
Epoch: 25, Runtime: 0.0385, Loss: 1.493, forward nfe 245, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7816, tmp_test: 0.7594, Train: 0.9214, Val: 0.7816, Test: 0.7594, Best time: 2.2100
