
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': False, 'time': 2.29, 'augment': False, 'method': 'euler', 'step_size': 0.35000000000000003, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.1170, Loss: 1.949, forward nfe 7, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.4868, tmp_test: 0.4914, Train: 0.8929, Val: 0.4868, Test: 0.4914, Best time: 2.2900
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.7250, Loss: 1.806, forward nfe 21, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7485, tmp_test: 0.7401, Train: 0.9714, Val: 0.7485, Test: 0.7401, Best time: 2.2900
Epoch: 3, Runtime: 1.4060, Loss: 1.537, forward nfe 35, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7728, tmp_test: 0.7807, Train: 0.9786, Val: 0.7728, Test: 0.7807, Best time: 2.2900
Epoch: 4, Runtime: 0.0380, Loss: 1.178, forward nfe 49, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7846, tmp_test: 0.7888, Train: 0.9786, Val: 0.7846, Test: 0.7888, Best time: 2.2900
Epoch: 5, Runtime: 0.0362, Loss: 0.839, forward nfe 63, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7735, tmp_test: 0.7787, Train: 0.9786, Val: 0.7846, Test: 0.7888, Best time: 2.2900
Epoch: 6, Runtime: 0.0358, Loss: 0.524, forward nfe 77, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7963, tmp_test: 0.7888, Train: 0.9857, Val: 0.7963, Test: 0.7888, Best time: 2.2900
Epoch: 7, Runtime: 0.0368, Loss: 0.333, forward nfe 91, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7993, tmp_test: 0.8000, Train: 0.9857, Val: 0.7993, Test: 0.8000, Best time: 2.2900
Epoch: 8, Runtime: 0.0370, Loss: 0.207, forward nfe 105, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8096, tmp_test: 0.8203, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 9, Runtime: 0.0532, Loss: 0.194, forward nfe 119, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8037, tmp_test: 0.8254, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 10, Runtime: 0.0370, Loss: 0.129, forward nfe 133, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8044, tmp_test: 0.8010, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 11, Runtime: 0.0365, Loss: 0.107, forward nfe 147, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7898, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 12, Runtime: 0.0376, Loss: 0.092, forward nfe 161, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7827, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 13, Runtime: 0.0400, Loss: 0.096, forward nfe 175, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7817, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 14, Runtime: 0.0372, Loss: 0.096, forward nfe 189, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7912, tmp_test: 0.7949, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 15, Runtime: 0.0358, Loss: 0.107, forward nfe 203, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.8010, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 16, Runtime: 0.0366, Loss: 0.114, forward nfe 217, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7878, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 17, Runtime: 0.0355, Loss: 0.119, forward nfe 231, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7726, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 18, Runtime: 0.0366, Loss: 0.121, forward nfe 245, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7757, tmp_test: 0.7685, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 19, Runtime: 0.0385, Loss: 0.141, forward nfe 259, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7756, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
Epoch: 20, Runtime: 0.0371, Loss: 0.191, forward nfe 273, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7993, tmp_test: 0.7959, Train: 1.0000, Val: 0.8096, Test: 0.8203, Best time: 2.2900
