/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.28, 'augment': False, 'method': 'rk4', 'step_size': 0.35000000000000003, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([7, 256])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 1.2646, Loss: 1.945, forward nfe 28, backward nfe 0, tmp_train: 0.4929, tmp_val: 0.5228, tmp_test: 0.4944, Train: 0.4929, Val: 0.5228, Test: 0.4944, Best time: 2.2800
Epoch: 2, Runtime: 0.1403, Loss: 1.869, forward nfe 84, backward nfe 0, tmp_train: 0.6214, tmp_val: 0.5529, tmp_test: 0.5157, Train: 0.6214, Val: 0.5529, Test: 0.5157, Best time: 2.2800
Epoch: 3, Runtime: 0.1494, Loss: 1.761, forward nfe 140, backward nfe 0, tmp_train: 0.8286, tmp_val: 0.6574, tmp_test: 0.6690, Train: 0.8286, Val: 0.6574, Test: 0.6690, Best time: 2.2800
Epoch: 4, Runtime: 0.1461, Loss: 1.579, forward nfe 196, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6375, tmp_test: 0.6579, Train: 0.8286, Val: 0.6574, Test: 0.6690, Best time: 2.2800
Epoch: 5, Runtime: 0.1470, Loss: 1.375, forward nfe 252, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7029, tmp_test: 0.7269, Train: 0.9357, Val: 0.7029, Test: 0.7269, Best time: 2.2800
Epoch: 6, Runtime: 0.1516, Loss: 1.207, forward nfe 308, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7566, tmp_test: 0.7706, Train: 0.9643, Val: 0.7566, Test: 0.7706, Best time: 2.2800
Epoch: 7, Runtime: 0.1370, Loss: 1.111, forward nfe 364, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7721, tmp_test: 0.7878, Train: 0.9714, Val: 0.7721, Test: 0.7878, Best time: 2.2800
Epoch: 8, Runtime: 0.1484, Loss: 1.034, forward nfe 420, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7912, tmp_test: 0.7970, Train: 0.9714, Val: 0.7912, Test: 0.7970, Best time: 2.2800
Epoch: 9, Runtime: 0.1422, Loss: 0.892, forward nfe 476, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8103, tmp_test: 0.8102, Train: 0.9786, Val: 0.8103, Test: 0.8102, Best time: 2.2800
Epoch: 10, Runtime: 0.1311, Loss: 1.042, forward nfe 532, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8140, tmp_test: 0.8112, Train: 0.9857, Val: 0.8140, Test: 0.8112, Best time: 2.2800
Epoch: 11, Runtime: 0.1446, Loss: 0.799, forward nfe 588, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8191, tmp_test: 0.8000, Train: 0.9857, Val: 0.8191, Test: 0.8000, Best time: 2.2800
Epoch: 12, Runtime: 0.1462, Loss: 0.741, forward nfe 644, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8272, tmp_test: 0.8010, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 13, Runtime: 0.1371, Loss: 0.654, forward nfe 700, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8213, tmp_test: 0.7929, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 14, Runtime: 0.1425, Loss: 0.750, forward nfe 756, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8221, tmp_test: 0.7919, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 15, Runtime: 0.1467, Loss: 0.636, forward nfe 812, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7878, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 16, Runtime: 0.1473, Loss: 0.686, forward nfe 868, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7684, tmp_test: 0.7736, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 17, Runtime: 0.1410, Loss: 0.715, forward nfe 924, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7566, tmp_test: 0.7726, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 18, Runtime: 0.1492, Loss: 0.617, forward nfe 980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7817, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 19, Runtime: 0.1509, Loss: 0.607, forward nfe 1036, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8051, tmp_test: 0.8061, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 20, Runtime: 0.1462, Loss: 0.735, forward nfe 1092, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8132, tmp_test: 0.7959, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 21, Runtime: 0.1495, Loss: 0.747, forward nfe 1148, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8132, tmp_test: 0.7980, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 22, Runtime: 0.1442, Loss: 0.612, forward nfe 1204, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8044, tmp_test: 0.7909, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 23, Runtime: 0.1437, Loss: 0.713, forward nfe 1260, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7610, tmp_test: 0.7645, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
Epoch: 24, Runtime: 0.1417, Loss: 0.775, forward nfe 1316, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7346, tmp_test: 0.7503, Train: 0.9929, Val: 0.8272, Test: 0.8010, Best time: 2.2800
