
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 32, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.1, 'augment': False, 'method': 'rk4', 'step_size': 0.15000000000000002, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([32, 1433])
m1.bias
torch.Size([32])
m2.m21.weight
torch.Size([32, 32])
m2.m21.bias
torch.Size([32])
m2.m22.weight
torch.Size([7, 32])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 32])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([32])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 32])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([32])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 32])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([32, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([32])
Epoch: 1, Runtime: 0.3398, Loss: 1.955, forward nfe 56, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.1375, tmp_test: 0.1391, Train: 0.1429, Val: 0.1375, Test: 0.1391, Best time: 2.1000
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 2, Runtime: 0.9753, Loss: 1.957, forward nfe 168, backward nfe 0, tmp_train: 0.1786, tmp_val: 0.1449, tmp_test: 0.1462, Train: 0.1786, Val: 0.1449, Test: 0.1462, Best time: 2.1000
Epoch: 3, Runtime: 1.5928, Loss: 1.924, forward nfe 280, backward nfe 0, tmp_train: 0.5143, tmp_val: 0.3007, tmp_test: 0.2893, Train: 0.5143, Val: 0.3007, Test: 0.2893, Best time: 2.1000
Epoch: 4, Runtime: 0.2217, Loss: 1.918, forward nfe 392, backward nfe 0, tmp_train: 0.6643, tmp_val: 0.4441, tmp_test: 0.4396, Train: 0.6643, Val: 0.4441, Test: 0.4396, Best time: 2.1000
Epoch: 5, Runtime: 0.2587, Loss: 1.893, forward nfe 504, backward nfe 0, tmp_train: 0.7357, tmp_val: 0.5110, tmp_test: 0.5076, Train: 0.7357, Val: 0.5110, Test: 0.5076, Best time: 2.1000
Epoch: 6, Runtime: 0.2811, Loss: 1.858, forward nfe 616, backward nfe 0, tmp_train: 0.7929, tmp_val: 0.5500, tmp_test: 0.5340, Train: 0.7929, Val: 0.5500, Test: 0.5340, Best time: 2.1000
Epoch: 7, Runtime: 0.2358, Loss: 1.834, forward nfe 728, backward nfe 0, tmp_train: 0.8357, tmp_val: 0.5919, tmp_test: 0.6010, Train: 0.8357, Val: 0.5919, Test: 0.6010, Best time: 2.1000
Epoch: 8, Runtime: 0.2228, Loss: 1.806, forward nfe 840, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6522, tmp_test: 0.6701, Train: 0.8786, Val: 0.6522, Test: 0.6701, Best time: 2.1000
Epoch: 9, Runtime: 0.2586, Loss: 1.786, forward nfe 952, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6713, tmp_test: 0.7056, Train: 0.8929, Val: 0.6713, Test: 0.7056, Best time: 2.1000
Epoch: 10, Runtime: 0.2318, Loss: 1.791, forward nfe 1064, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.6713, tmp_test: 0.6985, Train: 0.8929, Val: 0.6713, Test: 0.7056, Best time: 2.1000
Epoch: 11, Runtime: 0.2606, Loss: 1.734, forward nfe 1176, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.6779, tmp_test: 0.7036, Train: 0.9000, Val: 0.6779, Test: 0.7036, Best time: 2.1000
Epoch: 12, Runtime: 0.2301, Loss: 1.684, forward nfe 1288, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6919, tmp_test: 0.6995, Train: 0.8786, Val: 0.6919, Test: 0.6995, Best time: 2.1000
Epoch: 13, Runtime: 0.2528, Loss: 1.620, forward nfe 1400, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.6949, tmp_test: 0.7036, Train: 0.8714, Val: 0.6949, Test: 0.7036, Best time: 2.1000
Epoch: 14, Runtime: 0.2271, Loss: 1.635, forward nfe 1512, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.7037, tmp_test: 0.7086, Train: 0.8786, Val: 0.7037, Test: 0.7086, Best time: 2.1000
Epoch: 15, Runtime: 0.2386, Loss: 1.624, forward nfe 1624, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.7037, tmp_test: 0.7157, Train: 0.8786, Val: 0.7037, Test: 0.7086, Best time: 2.1000
Epoch: 16, Runtime: 0.2480, Loss: 1.619, forward nfe 1736, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.7169, tmp_test: 0.7340, Train: 0.9000, Val: 0.7169, Test: 0.7340, Best time: 2.1000
Epoch: 17, Runtime: 0.2478, Loss: 1.595, forward nfe 1848, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7294, tmp_test: 0.7452, Train: 0.9071, Val: 0.7294, Test: 0.7452, Best time: 2.1000
Epoch: 18, Runtime: 0.2309, Loss: 1.608, forward nfe 1960, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7419, tmp_test: 0.7533, Train: 0.9429, Val: 0.7419, Test: 0.7533, Best time: 2.1000
Epoch: 19, Runtime: 0.2615, Loss: 1.494, forward nfe 2072, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7544, tmp_test: 0.7594, Train: 0.9643, Val: 0.7544, Test: 0.7594, Best time: 2.1000
Epoch: 20, Runtime: 0.2295, Loss: 1.467, forward nfe 2184, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7507, tmp_test: 0.7563, Train: 0.9643, Val: 0.7544, Test: 0.7594, Best time: 2.1000
Epoch: 21, Runtime: 0.2549, Loss: 1.386, forward nfe 2296, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7426, tmp_test: 0.7563, Train: 0.9643, Val: 0.7544, Test: 0.7594, Best time: 2.1000
