/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.13, 'augment': False, 'method': 'rk4', 'step_size': 0.45, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m11.weight
torch.Size([128, 128])
m11.bias
torch.Size([128])
m12.weight
torch.Size([128, 128])
m12.bias
torch.Size([128])
m2.weight
torch.Size([7, 128])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 1.2062, Loss: 1.951, forward nfe 20, backward nfe 0, tmp_train: 0.6357, tmp_val: 0.2794, tmp_test: 0.2944, Train: 0.6357, Val: 0.2794, Test: 0.2944, Best time: 2.1300
Epoch: 2, Runtime: 0.0934, Loss: 1.802, forward nfe 60, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.5294, tmp_test: 0.5330, Train: 0.8929, Val: 0.5294, Test: 0.5330, Best time: 2.1300
Epoch: 3, Runtime: 0.1034, Loss: 1.640, forward nfe 100, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.6044, tmp_test: 0.6365, Train: 0.9357, Val: 0.6044, Test: 0.6365, Best time: 2.1300
Epoch: 4, Runtime: 0.0965, Loss: 1.361, forward nfe 140, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7368, tmp_test: 0.7492, Train: 0.9643, Val: 0.7368, Test: 0.7492, Best time: 2.1300
Epoch: 5, Runtime: 0.0927, Loss: 0.956, forward nfe 180, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7934, tmp_test: 0.7888, Train: 0.9714, Val: 0.7934, Test: 0.7888, Best time: 2.1300
Epoch: 6, Runtime: 0.0990, Loss: 0.548, forward nfe 220, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7934, tmp_test: 0.7970, Train: 0.9714, Val: 0.7934, Test: 0.7888, Best time: 2.1300
Epoch: 7, Runtime: 0.0877, Loss: 0.336, forward nfe 260, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7949, tmp_test: 0.7970, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 8, Runtime: 0.0988, Loss: 0.166, forward nfe 300, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7618, tmp_test: 0.7695, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 9, Runtime: 0.0974, Loss: 0.089, forward nfe 340, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7184, tmp_test: 0.7249, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 10, Runtime: 0.0875, Loss: 0.218, forward nfe 380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7736, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 11, Runtime: 0.1012, Loss: 0.195, forward nfe 420, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7551, tmp_test: 0.7604, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 12, Runtime: 0.0930, Loss: 0.191, forward nfe 460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7618, tmp_test: 0.7675, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 13, Runtime: 0.1007, Loss: 0.271, forward nfe 500, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7640, tmp_test: 0.7553, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 14, Runtime: 0.0868, Loss: 0.216, forward nfe 540, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7324, tmp_test: 0.7320, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 15, Runtime: 0.0960, Loss: 0.375, forward nfe 580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7584, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 16, Runtime: 0.0987, Loss: 0.197, forward nfe 620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7716, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 17, Runtime: 0.1218, Loss: 0.328, forward nfe 660, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7757, tmp_test: 0.7797, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 18, Runtime: 0.1004, Loss: 0.519, forward nfe 700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7563, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 19, Runtime: 0.0996, Loss: 0.244, forward nfe 740, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6971, tmp_test: 0.7015, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 20, Runtime: 0.0972, Loss: 0.233, forward nfe 780, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.6537, tmp_test: 0.6579, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 21, Runtime: 0.0906, Loss: 0.274, forward nfe 820, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6765, tmp_test: 0.6883, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 22, Runtime: 0.1047, Loss: 0.269, forward nfe 860, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7015, tmp_test: 0.7188, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 23, Runtime: 0.0863, Loss: 0.346, forward nfe 900, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7331, tmp_test: 0.7371, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 24, Runtime: 0.0939, Loss: 0.301, forward nfe 940, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7581, tmp_test: 0.7411, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 25, Runtime: 0.0966, Loss: 0.261, forward nfe 980, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7368, tmp_test: 0.7239, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 26, Runtime: 0.0898, Loss: 0.336, forward nfe 1020, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7463, tmp_test: 0.7310, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 27, Runtime: 0.1120, Loss: 0.410, forward nfe 1060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7472, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 28, Runtime: 0.0924, Loss: 0.207, forward nfe 1100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7691, tmp_test: 0.7563, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 29, Runtime: 0.0947, Loss: 0.166, forward nfe 1140, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7618, tmp_test: 0.7482, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 30, Runtime: 0.0969, Loss: 0.218, forward nfe 1180, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7588, tmp_test: 0.7462, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 31, Runtime: 0.0887, Loss: 0.144, forward nfe 1220, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7588, tmp_test: 0.7472, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 32, Runtime: 0.1010, Loss: 0.239, forward nfe 1260, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7522, tmp_test: 0.7381, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
Epoch: 33, Runtime: 0.0946, Loss: 0.234, forward nfe 1300, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7485, tmp_test: 0.7310, Train: 0.9929, Val: 0.7949, Test: 0.7970, Best time: 2.1300
