
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.35, 'augment': False, 'method': 'rk4', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([7, 256])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.2779, Loss: 1.963, forward nfe 24, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.0816, tmp_test: 0.0843, Train: 0.1429, Val: 0.0816, Test: 0.0843, Best time: 2.3500
Epoch: 2, Runtime: 0.8584, Loss: 1.977, forward nfe 72, backward nfe 0, tmp_train: 0.2786, tmp_val: 0.2971, tmp_test: 0.2853, Train: 0.2786, Val: 0.2971, Test: 0.2853, Best time: 2.3500
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 3, Runtime: 1.5243, Loss: 1.935, forward nfe 120, backward nfe 0, tmp_train: 0.2786, tmp_val: 0.3434, tmp_test: 0.3096, Train: 0.2786, Val: 0.3434, Test: 0.3096, Best time: 2.3500
Epoch: 4, Runtime: 0.1539, Loss: 1.932, forward nfe 168, backward nfe 0, tmp_train: 0.5000, tmp_val: 0.4066, tmp_test: 0.4183, Train: 0.5000, Val: 0.4066, Test: 0.4183, Best time: 2.3500
Epoch: 5, Runtime: 0.1464, Loss: 1.905, forward nfe 216, backward nfe 0, tmp_train: 0.3857, tmp_val: 0.2110, tmp_test: 0.2538, Train: 0.5000, Val: 0.4066, Test: 0.4183, Best time: 2.3500
Epoch: 6, Runtime: 0.1555, Loss: 1.920, forward nfe 264, backward nfe 0, tmp_train: 0.5429, tmp_val: 0.3360, tmp_test: 0.3970, Train: 0.5000, Val: 0.4066, Test: 0.4183, Best time: 2.3500
Epoch: 7, Runtime: 0.1907, Loss: 1.870, forward nfe 312, backward nfe 0, tmp_train: 0.6714, tmp_val: 0.4243, tmp_test: 0.4832, Train: 0.6714, Val: 0.4243, Test: 0.4832, Best time: 2.3500
Epoch: 8, Runtime: 0.1584, Loss: 1.783, forward nfe 360, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.6206, tmp_test: 0.6589, Train: 0.8857, Val: 0.6206, Test: 0.6589, Best time: 2.3500
Epoch: 9, Runtime: 0.1532, Loss: 1.691, forward nfe 408, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.7257, tmp_test: 0.7168, Train: 0.8929, Val: 0.7257, Test: 0.7168, Best time: 2.3500
Epoch: 10, Runtime: 0.1833, Loss: 1.606, forward nfe 456, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.7154, tmp_test: 0.7249, Train: 0.8929, Val: 0.7257, Test: 0.7168, Best time: 2.3500
Epoch: 11, Runtime: 0.1692, Loss: 1.583, forward nfe 504, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.6985, tmp_test: 0.7289, Train: 0.8929, Val: 0.7257, Test: 0.7168, Best time: 2.3500
Epoch: 12, Runtime: 0.1552, Loss: 1.417, forward nfe 552, backward nfe 0, tmp_train: 0.8214, tmp_val: 0.5801, tmp_test: 0.6173, Train: 0.8929, Val: 0.7257, Test: 0.7168, Best time: 2.3500
Epoch: 13, Runtime: 0.1508, Loss: 1.410, forward nfe 600, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.5985, tmp_test: 0.6426, Train: 0.8929, Val: 0.7257, Test: 0.7168, Best time: 2.3500
Epoch: 14, Runtime: 0.1610, Loss: 1.398, forward nfe 648, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6919, tmp_test: 0.7228, Train: 0.8929, Val: 0.7257, Test: 0.7168, Best time: 2.3500
Epoch: 15, Runtime: 0.1810, Loss: 1.233, forward nfe 696, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7868, tmp_test: 0.7929, Train: 0.9786, Val: 0.7868, Test: 0.7929, Best time: 2.3500
Epoch: 16, Runtime: 0.1631, Loss: 1.148, forward nfe 744, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7860, tmp_test: 0.7766, Train: 0.9786, Val: 0.7868, Test: 0.7929, Best time: 2.3500
Epoch: 17, Runtime: 0.1478, Loss: 0.989, forward nfe 792, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7868, tmp_test: 0.7675, Train: 0.9786, Val: 0.7868, Test: 0.7929, Best time: 2.3500
Epoch: 18, Runtime: 0.1561, Loss: 1.018, forward nfe 840, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7904, tmp_test: 0.7645, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 19, Runtime: 0.1923, Loss: 1.016, forward nfe 888, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7662, tmp_test: 0.7604, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 20, Runtime: 0.1968, Loss: 0.953, forward nfe 936, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7551, tmp_test: 0.7553, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 21, Runtime: 0.1452, Loss: 0.985, forward nfe 984, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7779, tmp_test: 0.7614, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 22, Runtime: 0.1501, Loss: 0.950, forward nfe 1032, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7706, tmp_test: 0.7645, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 23, Runtime: 0.1509, Loss: 1.103, forward nfe 1080, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7779, tmp_test: 0.7574, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 24, Runtime: 0.1570, Loss: 1.112, forward nfe 1128, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7544, tmp_test: 0.7360, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 25, Runtime: 0.1736, Loss: 1.207, forward nfe 1176, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7691, tmp_test: 0.7482, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 26, Runtime: 0.1562, Loss: 1.012, forward nfe 1224, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7596, tmp_test: 0.7584, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 27, Runtime: 0.1561, Loss: 0.947, forward nfe 1272, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7471, tmp_test: 0.7523, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 28, Runtime: 0.1541, Loss: 0.899, forward nfe 1320, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7485, tmp_test: 0.7523, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 29, Runtime: 0.2022, Loss: 0.876, forward nfe 1368, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7596, tmp_test: 0.7645, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 30, Runtime: 0.1575, Loss: 0.847, forward nfe 1416, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7685, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 31, Runtime: 0.1448, Loss: 0.962, forward nfe 1464, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7675, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 32, Runtime: 0.1461, Loss: 0.840, forward nfe 1512, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7827, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 33, Runtime: 0.1491, Loss: 0.931, forward nfe 1560, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7735, tmp_test: 0.7706, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 34, Runtime: 0.1692, Loss: 0.889, forward nfe 1608, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7529, tmp_test: 0.7553, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 35, Runtime: 0.1730, Loss: 0.945, forward nfe 1656, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7353, tmp_test: 0.7533, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 36, Runtime: 0.1533, Loss: 0.841, forward nfe 1704, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7199, tmp_test: 0.7381, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 37, Runtime: 0.1486, Loss: 1.031, forward nfe 1752, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7485, tmp_test: 0.7665, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
Epoch: 38, Runtime: 0.1685, Loss: 1.040, forward nfe 1800, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7485, tmp_test: 0.7513, Train: 0.9929, Val: 0.7904, Test: 0.7645, Best time: 2.3500
