
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.15, 'augment': False, 'method': 'rk4', 'step_size': 0.15000000000000002, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.4876, Loss: 1.950, forward nfe 60, backward nfe 0, tmp_train: 0.6071, tmp_val: 0.3669, tmp_test: 0.3736, Train: 0.6071, Val: 0.3669, Test: 0.3736, Best time: 2.1500
Epoch: 2, Runtime: 1.0247, Loss: 1.758, forward nfe 180, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7169, tmp_test: 0.7117, Train: 0.9357, Val: 0.7169, Test: 0.7117, Best time: 2.1500
Epoch: 3, Runtime: 1.6960, Loss: 1.450, forward nfe 300, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7581, tmp_test: 0.7685, Train: 0.9500, Val: 0.7581, Test: 0.7685, Best time: 2.1500
Epoch: 4, Runtime: 0.3783, Loss: 1.002, forward nfe 420, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7632, tmp_test: 0.7716, Train: 0.9714, Val: 0.7632, Test: 0.7716, Best time: 2.1500
Epoch: 5, Runtime: 0.3500, Loss: 0.497, forward nfe 540, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8074, tmp_test: 0.8081, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 6, Runtime: 0.3353, Loss: 0.244, forward nfe 660, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.6912, tmp_test: 0.7015, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 7, Runtime: 0.3441, Loss: 0.411, forward nfe 780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8059, tmp_test: 0.7898, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 8, Runtime: 0.3299, Loss: 0.130, forward nfe 900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8051, tmp_test: 0.7898, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 9, Runtime: 0.3376, Loss: 0.164, forward nfe 1020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7294, tmp_test: 0.7320, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 10, Runtime: 0.3357, Loss: 0.260, forward nfe 1140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7154, tmp_test: 0.7096, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 11, Runtime: 0.3552, Loss: 0.151, forward nfe 1260, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7404, tmp_test: 0.7543, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 12, Runtime: 0.3694, Loss: 0.238, forward nfe 1380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7184, tmp_test: 0.7492, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 13, Runtime: 0.3374, Loss: 0.107, forward nfe 1500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6897, tmp_test: 0.7228, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 14, Runtime: 0.3437, Loss: 0.344, forward nfe 1620, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7015, tmp_test: 0.7228, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 15, Runtime: 0.3424, Loss: 0.451, forward nfe 1740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7456, tmp_test: 0.7482, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 16, Runtime: 0.3498, Loss: 0.424, forward nfe 1860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7265, tmp_test: 0.7228, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 17, Runtime: 0.3813, Loss: 0.300, forward nfe 1980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7169, tmp_test: 0.7036, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 18, Runtime: 0.3452, Loss: 0.426, forward nfe 2100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6831, tmp_test: 0.6711, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 19, Runtime: 0.3319, Loss: 0.323, forward nfe 2220, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6757, tmp_test: 0.6711, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 20, Runtime: 0.3369, Loss: 0.414, forward nfe 2340, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7022, tmp_test: 0.6944, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 21, Runtime: 0.3693, Loss: 0.744, forward nfe 2460, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7132, tmp_test: 0.7188, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 22, Runtime: 0.3662, Loss: 0.356, forward nfe 2580, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7360, tmp_test: 0.7249, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 23, Runtime: 0.3382, Loss: 0.403, forward nfe 2700, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7250, tmp_test: 0.7269, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 24, Runtime: 0.3408, Loss: 0.545, forward nfe 2820, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7154, tmp_test: 0.6914, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 25, Runtime: 0.3954, Loss: 0.302, forward nfe 2940, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7000, tmp_test: 0.6843, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 26, Runtime: 0.3681, Loss: 0.280, forward nfe 3060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6919, tmp_test: 0.6843, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 27, Runtime: 0.3533, Loss: 0.352, forward nfe 3180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7125, tmp_test: 0.6975, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 28, Runtime: 0.3641, Loss: 0.229, forward nfe 3300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7235, tmp_test: 0.7117, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 29, Runtime: 0.3627, Loss: 0.344, forward nfe 3420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7265, tmp_test: 0.7086, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
Epoch: 30, Runtime: 0.3631, Loss: 0.400, forward nfe 3540, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7272, tmp_test: 0.7107, Train: 0.9857, Val: 0.8074, Test: 0.8081, Best time: 2.1500
