/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.04, 'augment': False, 'method': 'rk4', 'step_size': 0.25, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.weight
torch.Size([7, 128])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 1.2608, Loss: 1.947, forward nfe 36, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.5904, tmp_test: 0.6183, Train: 0.8786, Val: 0.5904, Test: 0.6183, Best time: 2.0400
Epoch: 2, Runtime: 0.1512, Loss: 1.701, forward nfe 108, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.6500, tmp_test: 0.6731, Train: 0.9214, Val: 0.6500, Test: 0.6731, Best time: 2.0400
Epoch: 3, Runtime: 0.2019, Loss: 1.423, forward nfe 180, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.6566, tmp_test: 0.6883, Train: 0.9429, Val: 0.6566, Test: 0.6883, Best time: 2.0400
Epoch: 4, Runtime: 0.1474, Loss: 1.114, forward nfe 252, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.6831, tmp_test: 0.7228, Train: 0.9429, Val: 0.6831, Test: 0.7228, Best time: 2.0400
Epoch: 5, Runtime: 0.1742, Loss: 0.850, forward nfe 324, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7132, tmp_test: 0.7553, Train: 0.9571, Val: 0.7132, Test: 0.7553, Best time: 2.0400
Epoch: 6, Runtime: 0.1979, Loss: 0.632, forward nfe 396, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7566, tmp_test: 0.7777, Train: 0.9714, Val: 0.7566, Test: 0.7777, Best time: 2.0400
Epoch: 7, Runtime: 0.1869, Loss: 0.446, forward nfe 468, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7868, tmp_test: 0.8020, Train: 0.9786, Val: 0.7868, Test: 0.8020, Best time: 2.0400
Epoch: 8, Runtime: 0.2255, Loss: 0.316, forward nfe 540, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8037, tmp_test: 0.8091, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 9, Runtime: 0.1681, Loss: 0.203, forward nfe 612, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7978, tmp_test: 0.8091, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 10, Runtime: 0.2383, Loss: 0.209, forward nfe 684, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7956, tmp_test: 0.8081, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 11, Runtime: 0.1636, Loss: 0.128, forward nfe 756, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.8102, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 12, Runtime: 0.2145, Loss: 0.117, forward nfe 828, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.8112, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 13, Runtime: 0.1676, Loss: 0.092, forward nfe 900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7985, tmp_test: 0.8030, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 14, Runtime: 0.1936, Loss: 0.103, forward nfe 972, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7993, tmp_test: 0.7888, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 15, Runtime: 0.1818, Loss: 0.089, forward nfe 1044, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.7827, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 16, Runtime: 0.1988, Loss: 0.140, forward nfe 1116, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7757, tmp_test: 0.7777, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 17, Runtime: 0.1987, Loss: 0.103, forward nfe 1188, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7736, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 18, Runtime: 0.1520, Loss: 0.131, forward nfe 1260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7581, tmp_test: 0.7736, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 19, Runtime: 0.2200, Loss: 0.198, forward nfe 1332, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7551, tmp_test: 0.7756, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 20, Runtime: 0.1537, Loss: 0.136, forward nfe 1404, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7746, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 21, Runtime: 0.2071, Loss: 0.156, forward nfe 1476, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7647, tmp_test: 0.7766, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 22, Runtime: 0.1611, Loss: 0.173, forward nfe 1548, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7559, tmp_test: 0.7746, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
Epoch: 23, Runtime: 0.2205, Loss: 0.213, forward nfe 1620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7529, tmp_test: 0.7685, Train: 0.9786, Val: 0.8037, Test: 0.8091, Best time: 2.0400
