
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 128, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.18, 'augment': False, 'method': 'rk4', 'step_size': 0.4, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([128, 1433])
m1.bias
torch.Size([128])
m2.m21.weight
torch.Size([128, 128])
m2.m21.bias
torch.Size([128])
m2.m22.weight
torch.Size([7, 128])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 128])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 128])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 1, Runtime: 0.2285, Loss: 1.944, forward nfe 24, backward nfe 0, tmp_train: 0.4429, tmp_val: 0.2316, tmp_test: 0.2254, Train: 0.4429, Val: 0.2316, Test: 0.2254, Best time: 2.1800
Epoch: 2, Runtime: 0.8053, Loss: 1.865, forward nfe 72, backward nfe 0, tmp_train: 0.7857, tmp_val: 0.5706, tmp_test: 0.5909, Train: 0.7857, Val: 0.5706, Test: 0.5909, Best time: 2.1800
Epoch: 3, Runtime: 1.4711, Loss: 1.704, forward nfe 120, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.7191, tmp_test: 0.7513, Train: 0.8786, Val: 0.7191, Test: 0.7513, Best time: 2.1800
Epoch: 4, Runtime: 0.1376, Loss: 1.573, forward nfe 168, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.7662, tmp_test: 0.7797, Train: 0.9214, Val: 0.7662, Test: 0.7797, Best time: 2.1800
Epoch: 5, Runtime: 0.1445, Loss: 1.484, forward nfe 216, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7434, tmp_test: 0.7563, Train: 0.9214, Val: 0.7662, Test: 0.7797, Best time: 2.1800
Epoch: 6, Runtime: 0.1410, Loss: 1.167, forward nfe 264, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7434, tmp_test: 0.7563, Train: 0.9214, Val: 0.7662, Test: 0.7797, Best time: 2.1800
Epoch: 7, Runtime: 0.1298, Loss: 1.156, forward nfe 312, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7632, tmp_test: 0.7726, Train: 0.9214, Val: 0.7662, Test: 0.7797, Best time: 2.1800
Epoch: 8, Runtime: 0.1322, Loss: 1.058, forward nfe 360, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7971, tmp_test: 0.8091, Train: 0.9643, Val: 0.7971, Test: 0.8091, Best time: 2.1800
Epoch: 9, Runtime: 0.1337, Loss: 0.962, forward nfe 408, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.8169, tmp_test: 0.8254, Train: 0.9643, Val: 0.8169, Test: 0.8254, Best time: 2.1800
Epoch: 10, Runtime: 0.1193, Loss: 0.907, forward nfe 456, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.8250, tmp_test: 0.8274, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 11, Runtime: 0.1224, Loss: 0.986, forward nfe 504, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.8125, tmp_test: 0.8234, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 12, Runtime: 0.1325, Loss: 1.025, forward nfe 552, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.8015, tmp_test: 0.8162, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 13, Runtime: 0.1311, Loss: 0.915, forward nfe 600, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.8000, tmp_test: 0.8142, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 14, Runtime: 0.1213, Loss: 0.734, forward nfe 648, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7838, tmp_test: 0.7919, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 15, Runtime: 0.1271, Loss: 0.812, forward nfe 696, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7669, tmp_test: 0.7695, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 16, Runtime: 0.1306, Loss: 0.735, forward nfe 744, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7522, tmp_test: 0.7523, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 17, Runtime: 0.1318, Loss: 0.722, forward nfe 792, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7529, tmp_test: 0.7614, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 18, Runtime: 0.1297, Loss: 0.724, forward nfe 840, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7665, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 19, Runtime: 0.1314, Loss: 0.813, forward nfe 888, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7878, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 20, Runtime: 0.1260, Loss: 0.715, forward nfe 936, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7990, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 21, Runtime: 0.1266, Loss: 0.788, forward nfe 984, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.8020, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 22, Runtime: 0.1285, Loss: 0.738, forward nfe 1032, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7912, tmp_test: 0.8051, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 23, Runtime: 0.1441, Loss: 0.603, forward nfe 1080, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7858, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 24, Runtime: 0.1281, Loss: 0.643, forward nfe 1128, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7632, tmp_test: 0.7645, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 25, Runtime: 0.1265, Loss: 0.677, forward nfe 1176, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7507, tmp_test: 0.7584, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 26, Runtime: 0.1298, Loss: 0.711, forward nfe 1224, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7551, tmp_test: 0.7614, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 27, Runtime: 0.1300, Loss: 0.660, forward nfe 1272, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7618, tmp_test: 0.7695, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 28, Runtime: 0.1272, Loss: 0.789, forward nfe 1320, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7746, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 29, Runtime: 0.1323, Loss: 0.607, forward nfe 1368, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7654, tmp_test: 0.7827, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 30, Runtime: 0.1287, Loss: 0.645, forward nfe 1416, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7603, tmp_test: 0.7716, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 31, Runtime: 0.1284, Loss: 0.781, forward nfe 1464, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7654, tmp_test: 0.7787, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 32, Runtime: 0.1311, Loss: 0.691, forward nfe 1512, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7868, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 33, Runtime: 0.1286, Loss: 0.507, forward nfe 1560, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7919, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 34, Runtime: 0.1366, Loss: 0.653, forward nfe 1608, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7897, tmp_test: 0.7919, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 35, Runtime: 0.1157, Loss: 0.715, forward nfe 1656, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7888, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 36, Runtime: 0.1103, Loss: 0.653, forward nfe 1704, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7858, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 37, Runtime: 0.1237, Loss: 0.777, forward nfe 1752, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7898, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 38, Runtime: 0.1256, Loss: 0.820, forward nfe 1800, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.7980, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 39, Runtime: 0.1151, Loss: 0.787, forward nfe 1848, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7949, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 40, Runtime: 0.1412, Loss: 0.629, forward nfe 1896, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7691, tmp_test: 0.7787, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 41, Runtime: 0.1317, Loss: 0.643, forward nfe 1944, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7756, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 42, Runtime: 0.1332, Loss: 0.724, forward nfe 1992, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.7848, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 43, Runtime: 0.1323, Loss: 0.769, forward nfe 2040, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8051, tmp_test: 0.8020, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
Epoch: 44, Runtime: 0.1456, Loss: 0.649, forward nfe 2088, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8037, tmp_test: 0.8010, Train: 0.9571, Val: 0.8250, Test: 0.8274, Best time: 2.1800
