
rep 0
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.15, 'augment': False, 'method': 'rk4', 'step_size': 0.1, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([7, 256])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 0.4943, Loss: 1.955, forward nfe 88, backward nfe 0, tmp_train: 0.3500, tmp_val: 0.2610, tmp_test: 0.2528, Train: 0.3500, Val: 0.2610, Test: 0.2528, Best time: 2.1500
Epoch: 2, Runtime: 1.0946, Loss: 1.882, forward nfe 264, backward nfe 0, tmp_train: 0.5214, tmp_val: 0.2566, tmp_test: 0.2772, Train: 0.3500, Val: 0.2610, Test: 0.2528, Best time: 2.1500
Epoch: 3, Runtime: 1.7733, Loss: 1.772, forward nfe 440, backward nfe 0, tmp_train: 0.7143, tmp_val: 0.4449, tmp_test: 0.4528, Train: 0.7143, Val: 0.4449, Test: 0.4528, Best time: 2.1500
Epoch: 4, Runtime: 0.4192, Loss: 1.706, forward nfe 616, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.7581, tmp_test: 0.7584, Train: 0.9143, Val: 0.7581, Test: 0.7584, Best time: 2.1500
Epoch: 5, Runtime: 0.4024, Loss: 1.488, forward nfe 792, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7544, tmp_test: 0.7523, Train: 0.9143, Val: 0.7581, Test: 0.7584, Best time: 2.1500
Epoch: 6, Runtime: 0.4048, Loss: 1.235, forward nfe 968, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7985, tmp_test: 0.8030, Train: 0.9500, Val: 0.7985, Test: 0.8030, Best time: 2.1500
Epoch: 7, Runtime: 0.4287, Loss: 1.059, forward nfe 1144, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.8015, tmp_test: 0.8000, Train: 0.9643, Val: 0.8015, Test: 0.8000, Best time: 2.1500
Epoch: 8, Runtime: 0.4127, Loss: 0.967, forward nfe 1320, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7610, tmp_test: 0.7645, Train: 0.9643, Val: 0.8015, Test: 0.8000, Best time: 2.1500
Epoch: 9, Runtime: 0.4080, Loss: 0.991, forward nfe 1496, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7669, tmp_test: 0.7604, Train: 0.9643, Val: 0.8015, Test: 0.8000, Best time: 2.1500
Epoch: 10, Runtime: 0.4140, Loss: 0.784, forward nfe 1672, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8007, tmp_test: 0.7919, Train: 0.9643, Val: 0.8015, Test: 0.8000, Best time: 2.1500
Epoch: 11, Runtime: 0.4117, Loss: 0.724, forward nfe 1848, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8088, tmp_test: 0.8071, Train: 0.9786, Val: 0.8088, Test: 0.8071, Best time: 2.1500
Epoch: 12, Runtime: 0.4039, Loss: 0.673, forward nfe 2024, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8147, tmp_test: 0.8081, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 13, Runtime: 0.4065, Loss: 0.676, forward nfe 2200, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8059, tmp_test: 0.8071, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 14, Runtime: 0.4010, Loss: 0.787, forward nfe 2376, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7934, tmp_test: 0.7980, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 15, Runtime: 0.4136, Loss: 0.718, forward nfe 2552, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7853, tmp_test: 0.7858, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 16, Runtime: 0.4182, Loss: 0.673, forward nfe 2728, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7743, tmp_test: 0.7787, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 17, Runtime: 0.3986, Loss: 0.710, forward nfe 2904, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7890, tmp_test: 0.7949, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 18, Runtime: 0.4377, Loss: 0.619, forward nfe 3080, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.8091, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 19, Runtime: 0.3951, Loss: 0.659, forward nfe 3256, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7963, tmp_test: 0.8010, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 20, Runtime: 0.4148, Loss: 0.638, forward nfe 3432, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7897, tmp_test: 0.7959, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 21, Runtime: 0.4030, Loss: 0.709, forward nfe 3608, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8000, tmp_test: 0.8010, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 22, Runtime: 0.4247, Loss: 0.608, forward nfe 3784, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8007, tmp_test: 0.8061, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 23, Runtime: 0.4043, Loss: 0.757, forward nfe 3960, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.7919, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 24, Runtime: 0.4036, Loss: 0.708, forward nfe 4136, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7676, tmp_test: 0.7736, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 25, Runtime: 0.3991, Loss: 0.610, forward nfe 4312, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7471, tmp_test: 0.7594, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 26, Runtime: 0.4016, Loss: 0.630, forward nfe 4488, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7691, tmp_test: 0.7777, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 27, Runtime: 0.4126, Loss: 0.690, forward nfe 4664, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7971, tmp_test: 0.7990, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 28, Runtime: 0.4188, Loss: 0.675, forward nfe 4840, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8000, tmp_test: 0.7939, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 29, Runtime: 0.4125, Loss: 0.737, forward nfe 5016, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8037, tmp_test: 0.7939, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 30, Runtime: 0.4032, Loss: 0.724, forward nfe 5192, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8000, tmp_test: 0.8041, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 31, Runtime: 0.4128, Loss: 0.658, forward nfe 5368, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7926, tmp_test: 0.7959, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 32, Runtime: 0.4172, Loss: 0.605, forward nfe 5544, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7787, tmp_test: 0.7959, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 33, Runtime: 0.4073, Loss: 0.698, forward nfe 5720, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.8010, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 34, Runtime: 0.4103, Loss: 0.721, forward nfe 5896, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.8091, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 35, Runtime: 0.4010, Loss: 0.678, forward nfe 6072, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.8010, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 36, Runtime: 0.4061, Loss: 0.688, forward nfe 6248, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7888, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 37, Runtime: 0.4304, Loss: 0.657, forward nfe 6424, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7756, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 38, Runtime: 0.4159, Loss: 0.664, forward nfe 6600, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7757, tmp_test: 0.7655, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 39, Runtime: 0.4117, Loss: 0.629, forward nfe 6776, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7878, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
Epoch: 40, Runtime: 0.4086, Loss: 0.682, forward nfe 6952, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7904, tmp_test: 0.7970, Train: 0.9857, Val: 0.8147, Test: 0.8081, Best time: 2.1500
