/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.03, 'augment': False, 'method': 'rk4', 'step_size': 0.2, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
Epoch: 1, Runtime: 1.1524, Loss: 1.948, forward nfe 44, backward nfe 0, tmp_train: 0.2286, tmp_val: 0.0941, tmp_test: 0.1036, Train: 0.2286, Val: 0.0941, Test: 0.1036, Best time: 2.0300
Epoch: 2, Runtime: 0.1918, Loss: 1.925, forward nfe 132, backward nfe 0, tmp_train: 0.3929, tmp_val: 0.2794, tmp_test: 0.3066, Train: 0.3929, Val: 0.2794, Test: 0.3066, Best time: 2.0300
Epoch: 3, Runtime: 0.2239, Loss: 1.916, forward nfe 220, backward nfe 0, tmp_train: 0.5500, tmp_val: 0.4096, tmp_test: 0.4051, Train: 0.5500, Val: 0.4096, Test: 0.4051, Best time: 2.0300
Epoch: 4, Runtime: 0.1817, Loss: 1.896, forward nfe 308, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.5926, tmp_test: 0.5594, Train: 0.7714, Val: 0.5926, Test: 0.5594, Best time: 2.0300
Epoch: 5, Runtime: 0.2383, Loss: 1.831, forward nfe 396, backward nfe 0, tmp_train: 0.8357, tmp_val: 0.6735, tmp_test: 0.6345, Train: 0.8357, Val: 0.6735, Test: 0.6345, Best time: 2.0300
Epoch: 6, Runtime: 0.2690, Loss: 1.823, forward nfe 484, backward nfe 0, tmp_train: 0.9000, tmp_val: 0.7132, tmp_test: 0.6934, Train: 0.9000, Val: 0.7132, Test: 0.6934, Best time: 2.0300
Epoch: 7, Runtime: 0.2073, Loss: 1.803, forward nfe 572, backward nfe 0, tmp_train: 0.8857, tmp_val: 0.7265, tmp_test: 0.7168, Train: 0.8857, Val: 0.7265, Test: 0.7168, Best time: 2.0300
Epoch: 8, Runtime: 0.2284, Loss: 1.701, forward nfe 660, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.7037, tmp_test: 0.6914, Train: 0.8857, Val: 0.7265, Test: 0.7168, Best time: 2.0300
Epoch: 9, Runtime: 0.2020, Loss: 1.702, forward nfe 748, backward nfe 0, tmp_train: 0.8929, tmp_val: 0.6713, tmp_test: 0.6609, Train: 0.8857, Val: 0.7265, Test: 0.7168, Best time: 2.0300
Epoch: 10, Runtime: 0.2491, Loss: 1.618, forward nfe 836, backward nfe 0, tmp_train: 0.9071, tmp_val: 0.6324, tmp_test: 0.6406, Train: 0.8857, Val: 0.7265, Test: 0.7168, Best time: 2.0300
Epoch: 11, Runtime: 0.2035, Loss: 1.569, forward nfe 924, backward nfe 0, tmp_train: 0.9143, tmp_val: 0.6684, tmp_test: 0.6640, Train: 0.8857, Val: 0.7265, Test: 0.7168, Best time: 2.0300
Epoch: 12, Runtime: 0.2914, Loss: 1.459, forward nfe 1012, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7176, tmp_test: 0.6914, Train: 0.8857, Val: 0.7265, Test: 0.7168, Best time: 2.0300
Epoch: 13, Runtime: 0.1923, Loss: 1.422, forward nfe 1100, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.7434, tmp_test: 0.7228, Train: 0.9429, Val: 0.7434, Test: 0.7228, Best time: 2.0300
Epoch: 14, Runtime: 0.2517, Loss: 1.481, forward nfe 1188, backward nfe 0, tmp_train: 0.9571, tmp_val: 0.7618, tmp_test: 0.7421, Train: 0.9571, Val: 0.7618, Test: 0.7421, Best time: 2.0300
Epoch: 15, Runtime: 0.1948, Loss: 1.393, forward nfe 1276, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7603, tmp_test: 0.7411, Train: 0.9571, Val: 0.7618, Test: 0.7421, Best time: 2.0300
Epoch: 16, Runtime: 0.2237, Loss: 1.302, forward nfe 1364, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7596, tmp_test: 0.7452, Train: 0.9571, Val: 0.7618, Test: 0.7421, Best time: 2.0300
Epoch: 17, Runtime: 0.1928, Loss: 1.333, forward nfe 1452, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7706, tmp_test: 0.7523, Train: 0.9857, Val: 0.7706, Test: 0.7523, Best time: 2.0300
Epoch: 18, Runtime: 0.1894, Loss: 1.295, forward nfe 1540, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7838, tmp_test: 0.7685, Train: 0.9857, Val: 0.7838, Test: 0.7685, Best time: 2.0300
Epoch: 19, Runtime: 0.2438, Loss: 1.233, forward nfe 1628, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8081, tmp_test: 0.7909, Train: 0.9929, Val: 0.8081, Test: 0.7909, Best time: 2.0300
Epoch: 20, Runtime: 0.1913, Loss: 1.137, forward nfe 1716, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8110, tmp_test: 0.7888, Train: 0.9929, Val: 0.8110, Test: 0.7888, Best time: 2.0300
Epoch: 21, Runtime: 0.2261, Loss: 1.144, forward nfe 1804, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8044, tmp_test: 0.7929, Train: 0.9929, Val: 0.8110, Test: 0.7888, Best time: 2.0300
Epoch: 22, Runtime: 0.2040, Loss: 1.102, forward nfe 1892, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8096, tmp_test: 0.7970, Train: 0.9929, Val: 0.8110, Test: 0.7888, Best time: 2.0300
Epoch: 23, Runtime: 0.2476, Loss: 1.066, forward nfe 1980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8110, tmp_test: 0.7959, Train: 0.9929, Val: 0.8110, Test: 0.7888, Best time: 2.0300
Epoch: 24, Runtime: 0.2065, Loss: 1.092, forward nfe 2068, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8088, tmp_test: 0.7929, Train: 0.9929, Val: 0.8110, Test: 0.7888, Best time: 2.0300
