
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.36, 'augment': False, 'method': 'rk4', 'step_size': 0.15000000000000002, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.weight
torch.Size([7, 64])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 1, Runtime: 0.3541, Loss: 1.943, forward nfe 64, backward nfe 0, tmp_train: 0.8786, tmp_val: 0.6588, tmp_test: 0.6640, Train: 0.8786, Val: 0.6588, Test: 0.6640, Best time: 2.3600
Epoch: 2, Runtime: 0.9355, Loss: 1.758, forward nfe 192, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7140, tmp_test: 0.7330, Train: 0.9500, Val: 0.7140, Test: 0.7330, Best time: 2.3600
Epoch: 3, Runtime: 1.5802, Loss: 1.539, forward nfe 320, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7147, tmp_test: 0.7279, Train: 0.9714, Val: 0.7147, Test: 0.7279, Best time: 2.3600
Epoch: 4, Runtime: 0.2524, Loss: 1.352, forward nfe 448, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7257, tmp_test: 0.7371, Train: 0.9786, Val: 0.7257, Test: 0.7371, Best time: 2.3600
Epoch: 5, Runtime: 0.2476, Loss: 1.112, forward nfe 576, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7507, tmp_test: 0.7635, Train: 0.9786, Val: 0.7507, Test: 0.7635, Best time: 2.3600
Epoch: 6, Runtime: 0.2543, Loss: 0.867, forward nfe 704, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7654, tmp_test: 0.7838, Train: 0.9857, Val: 0.7654, Test: 0.7838, Best time: 2.3600
Epoch: 7, Runtime: 0.2616, Loss: 0.692, forward nfe 832, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7853, tmp_test: 0.7980, Train: 0.9929, Val: 0.7853, Test: 0.7980, Best time: 2.3600
Epoch: 8, Runtime: 0.2941, Loss: 0.533, forward nfe 960, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7971, tmp_test: 0.8152, Train: 0.9929, Val: 0.7971, Test: 0.8152, Best time: 2.3600
Epoch: 9, Runtime: 0.2663, Loss: 0.417, forward nfe 1088, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8022, tmp_test: 0.8254, Train: 0.9929, Val: 0.8022, Test: 0.8254, Best time: 2.3600
Epoch: 10, Runtime: 0.3067, Loss: 0.286, forward nfe 1216, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8088, tmp_test: 0.8193, Train: 0.9929, Val: 0.8088, Test: 0.8193, Best time: 2.3600
Epoch: 11, Runtime: 0.2791, Loss: 0.262, forward nfe 1344, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8110, tmp_test: 0.8223, Train: 0.9929, Val: 0.8110, Test: 0.8223, Best time: 2.3600
Epoch: 12, Runtime: 0.2669, Loss: 0.191, forward nfe 1472, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8162, tmp_test: 0.8223, Train: 0.9929, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 13, Runtime: 0.2758, Loss: 0.148, forward nfe 1600, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8132, tmp_test: 0.8193, Train: 0.9929, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 14, Runtime: 0.2619, Loss: 0.144, forward nfe 1728, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8125, tmp_test: 0.8142, Train: 0.9929, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 15, Runtime: 0.2761, Loss: 0.094, forward nfe 1856, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8096, tmp_test: 0.8081, Train: 0.9929, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 16, Runtime: 0.2693, Loss: 0.092, forward nfe 1984, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8125, tmp_test: 0.8071, Train: 0.9929, Val: 0.8162, Test: 0.8223, Best time: 2.3600
Epoch: 17, Runtime: 0.2628, Loss: 0.111, forward nfe 2112, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8169, tmp_test: 0.8142, Train: 1.0000, Val: 0.8169, Test: 0.8142, Best time: 2.3600
Epoch: 18, Runtime: 0.2982, Loss: 0.104, forward nfe 2240, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8154, tmp_test: 0.8132, Train: 1.0000, Val: 0.8169, Test: 0.8142, Best time: 2.3600
Epoch: 19, Runtime: 0.2623, Loss: 0.114, forward nfe 2368, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8191, tmp_test: 0.8162, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
Epoch: 20, Runtime: 0.2621, Loss: 0.111, forward nfe 2496, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8103, tmp_test: 0.8081, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
Epoch: 21, Runtime: 0.2625, Loss: 0.132, forward nfe 2624, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.8020, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
Epoch: 22, Runtime: 0.2663, Loss: 0.149, forward nfe 2752, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.8030, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
Epoch: 23, Runtime: 0.2777, Loss: 0.148, forward nfe 2880, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.8061, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
Epoch: 24, Runtime: 0.2827, Loss: 0.141, forward nfe 3008, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.8071, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
Epoch: 25, Runtime: 0.2741, Loss: 0.142, forward nfe 3136, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7963, tmp_test: 0.8071, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
Epoch: 26, Runtime: 0.2839, Loss: 0.170, forward nfe 3264, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.8051, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
Epoch: 27, Runtime: 0.2646, Loss: 0.138, forward nfe 3392, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8022, tmp_test: 0.8020, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
Epoch: 28, Runtime: 0.2641, Loss: 0.152, forward nfe 3520, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8066, tmp_test: 0.8010, Train: 1.0000, Val: 0.8191, Test: 0.8162, Best time: 2.3600
