/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 2.44, 'augment': False, 'method': 'rk4', 'step_size': 0.35000000000000003, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.m21.weight
torch.Size([256, 256])
m2.m21.bias
torch.Size([256])
m2.m22.weight
torch.Size([7, 256])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 1.3103, Loss: 1.961, forward nfe 28, backward nfe 0, tmp_train: 0.1929, tmp_val: 0.0809, tmp_test: 0.0873, Train: 0.1929, Val: 0.0809, Test: 0.0873, Best time: 2.4400
Epoch: 2, Runtime: 0.1486, Loss: 1.988, forward nfe 84, backward nfe 0, tmp_train: 0.1429, tmp_val: 0.1772, tmp_test: 0.1472, Train: 0.1429, Val: 0.1772, Test: 0.1472, Best time: 2.4400
Epoch: 3, Runtime: 0.2012, Loss: 1.988, forward nfe 140, backward nfe 0, tmp_train: 0.2929, tmp_val: 0.2279, tmp_test: 0.2508, Train: 0.2929, Val: 0.2279, Test: 0.2508, Best time: 2.4400
Epoch: 4, Runtime: 0.1417, Loss: 1.925, forward nfe 196, backward nfe 0, tmp_train: 0.5357, tmp_val: 0.3985, tmp_test: 0.4183, Train: 0.5357, Val: 0.3985, Test: 0.4183, Best time: 2.4400
Epoch: 5, Runtime: 0.1681, Loss: 1.909, forward nfe 252, backward nfe 0, tmp_train: 0.4071, tmp_val: 0.2772, tmp_test: 0.2569, Train: 0.5357, Val: 0.3985, Test: 0.4183, Best time: 2.4400
Epoch: 6, Runtime: 0.1498, Loss: 1.896, forward nfe 308, backward nfe 0, tmp_train: 0.6000, tmp_val: 0.5404, tmp_test: 0.5117, Train: 0.6000, Val: 0.5404, Test: 0.5117, Best time: 2.4400
Epoch: 7, Runtime: 0.1623, Loss: 1.851, forward nfe 364, backward nfe 0, tmp_train: 0.7714, tmp_val: 0.7132, tmp_test: 0.6761, Train: 0.7714, Val: 0.7132, Test: 0.6761, Best time: 2.4400
Epoch: 8, Runtime: 0.1614, Loss: 1.689, forward nfe 420, backward nfe 0, tmp_train: 0.8071, tmp_val: 0.7316, tmp_test: 0.7076, Train: 0.8071, Val: 0.7316, Test: 0.7076, Best time: 2.4400
Epoch: 9, Runtime: 0.1541, Loss: 1.638, forward nfe 476, backward nfe 0, tmp_train: 0.8571, tmp_val: 0.7559, tmp_test: 0.7371, Train: 0.8571, Val: 0.7559, Test: 0.7371, Best time: 2.4400
Epoch: 10, Runtime: 0.1683, Loss: 1.581, forward nfe 532, backward nfe 0, tmp_train: 0.8500, tmp_val: 0.7368, tmp_test: 0.7056, Train: 0.8571, Val: 0.7559, Test: 0.7371, Best time: 2.4400
Epoch: 11, Runtime: 0.1426, Loss: 1.502, forward nfe 588, backward nfe 0, tmp_train: 0.8714, tmp_val: 0.8007, tmp_test: 0.7665, Train: 0.8714, Val: 0.8007, Test: 0.7665, Best time: 2.4400
Epoch: 12, Runtime: 0.1886, Loss: 1.433, forward nfe 644, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.8140, tmp_test: 0.7959, Train: 0.9286, Val: 0.8140, Test: 0.7959, Best time: 2.4400
Epoch: 13, Runtime: 0.1449, Loss: 1.323, forward nfe 700, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.8331, tmp_test: 0.8091, Train: 0.9500, Val: 0.8331, Test: 0.8091, Best time: 2.4400
Epoch: 14, Runtime: 0.1931, Loss: 1.218, forward nfe 756, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.8088, tmp_test: 0.8010, Train: 0.9500, Val: 0.8331, Test: 0.8091, Best time: 2.4400
Epoch: 15, Runtime: 0.1500, Loss: 1.213, forward nfe 812, backward nfe 0, tmp_train: 0.9214, tmp_val: 0.8176, tmp_test: 0.8030, Train: 0.9500, Val: 0.8331, Test: 0.8091, Best time: 2.4400
Epoch: 16, Runtime: 0.1665, Loss: 1.100, forward nfe 868, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.8368, tmp_test: 0.8142, Train: 0.9500, Val: 0.8368, Test: 0.8142, Best time: 2.4400
Epoch: 17, Runtime: 0.1719, Loss: 1.134, forward nfe 924, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.8382, tmp_test: 0.8152, Train: 0.9500, Val: 0.8382, Test: 0.8152, Best time: 2.4400
Epoch: 18, Runtime: 0.1472, Loss: 1.066, forward nfe 980, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.8331, tmp_test: 0.8183, Train: 0.9500, Val: 0.8382, Test: 0.8152, Best time: 2.4400
Epoch: 19, Runtime: 0.1927, Loss: 0.966, forward nfe 1036, backward nfe 0, tmp_train: 0.9429, tmp_val: 0.8140, tmp_test: 0.8051, Train: 0.9500, Val: 0.8382, Test: 0.8152, Best time: 2.4400
Epoch: 20, Runtime: 0.1512, Loss: 1.027, forward nfe 1092, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.8287, tmp_test: 0.8183, Train: 0.9500, Val: 0.8382, Test: 0.8152, Best time: 2.4400
Epoch: 21, Runtime: 0.1844, Loss: 1.017, forward nfe 1148, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.8257, tmp_test: 0.8091, Train: 0.9500, Val: 0.8382, Test: 0.8152, Best time: 2.4400
Epoch: 22, Runtime: 0.1547, Loss: 0.957, forward nfe 1204, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.8125, tmp_test: 0.7970, Train: 0.9500, Val: 0.8382, Test: 0.8152, Best time: 2.4400
Epoch: 23, Runtime: 0.1685, Loss: 0.915, forward nfe 1260, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.8147, tmp_test: 0.7959, Train: 0.9500, Val: 0.8382, Test: 0.8152, Best time: 2.4400
Epoch: 24, Runtime: 0.1811, Loss: 0.889, forward nfe 1316, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8132, tmp_test: 0.7980, Train: 0.9500, Val: 0.8382, Test: 0.8152, Best time: 2.4400
Epoch: 25, Runtime: 0.1423, Loss: 0.822, forward nfe 1372, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.8051, tmp_test: 0.7868, Train: 0.9500, Val: 0.8382, Test: 0.8152, Best time: 2.4400
