/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'sc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.21, 'augment': False, 'method': 'rk4', 'step_size': 0.15000000000000002, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gat', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 256])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 1.8681, Loss: 1.948, forward nfe 60, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7265, tmp_test: 0.7584, Train: 0.9857, Val: 0.7265, Test: 0.7584, Best time: 2.2100
Epoch: 2, Runtime: 0.8694, Loss: 1.577, forward nfe 180, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7441, tmp_test: 0.7563, Train: 0.9929, Val: 0.7441, Test: 0.7563, Best time: 2.2100
Epoch: 3, Runtime: 0.8715, Loss: 1.154, forward nfe 300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7537, tmp_test: 0.7655, Train: 1.0000, Val: 0.7537, Test: 0.7655, Best time: 2.2100
Epoch: 4, Runtime: 0.9017, Loss: 0.752, forward nfe 420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7684, tmp_test: 0.7787, Train: 1.0000, Val: 0.7684, Test: 0.7787, Best time: 2.2100
Epoch: 5, Runtime: 0.9416, Loss: 0.482, forward nfe 540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7919, Train: 1.0000, Val: 0.7699, Test: 0.7919, Best time: 2.2100
Epoch: 6, Runtime: 0.8210, Loss: 0.289, forward nfe 660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7939, Train: 1.0000, Val: 0.7794, Test: 0.7939, Best time: 2.2100
Epoch: 7, Runtime: 0.8717, Loss: 0.178, forward nfe 780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7919, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 8, Runtime: 0.8944, Loss: 0.128, forward nfe 900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7838, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 9, Runtime: 0.8531, Loss: 0.076, forward nfe 1020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7777, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 10, Runtime: 0.8487, Loss: 0.066, forward nfe 1140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7684, tmp_test: 0.7635, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 11, Runtime: 0.8956, Loss: 0.069, forward nfe 1260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7647, tmp_test: 0.7604, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 12, Runtime: 0.8864, Loss: 0.044, forward nfe 1380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7603, tmp_test: 0.7584, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 13, Runtime: 0.8207, Loss: 0.071, forward nfe 1500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7563, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 14, Runtime: 0.8840, Loss: 0.158, forward nfe 1620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7500, tmp_test: 0.7574, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 15, Runtime: 0.8939, Loss: 0.141, forward nfe 1740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7515, tmp_test: 0.7604, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 16, Runtime: 0.8964, Loss: 0.141, forward nfe 1860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7588, tmp_test: 0.7645, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 17, Runtime: 0.9058, Loss: 0.152, forward nfe 1980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7766, Train: 1.0000, Val: 0.7853, Test: 0.7919, Best time: 2.2100
Epoch: 18, Runtime: 0.9439, Loss: 0.206, forward nfe 2100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7868, Train: 1.0000, Val: 0.7926, Test: 0.7868, Best time: 2.2100
Epoch: 19, Runtime: 0.8798, Loss: 0.158, forward nfe 2220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7787, Train: 1.0000, Val: 0.7926, Test: 0.7868, Best time: 2.2100
Epoch: 20, Runtime: 0.9243, Loss: 0.184, forward nfe 2340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7625, tmp_test: 0.7655, Train: 1.0000, Val: 0.7926, Test: 0.7868, Best time: 2.2100
Epoch: 21, Runtime: 0.8285, Loss: 0.128, forward nfe 2460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7581, tmp_test: 0.7594, Train: 1.0000, Val: 0.7926, Test: 0.7868, Best time: 2.2100
Epoch: 22, Runtime: 0.8344, Loss: 0.164, forward nfe 2580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7676, tmp_test: 0.7787, Train: 1.0000, Val: 0.7926, Test: 0.7868, Best time: 2.2100
Epoch: 23, Runtime: 0.8692, Loss: 0.112, forward nfe 2700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.7827, Train: 1.0000, Val: 0.7926, Test: 0.7868, Best time: 2.2100
