/root/miniconda3/envs/grade/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 256, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'sc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': True, 'add_source': False, 'XN_activation': False, 'm2_mlp': False, 'time': 2.12, 'augment': False, 'method': 'rk4', 'step_size': 0.1, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-gauss', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep-cora-gauss', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([256, 1433])
m1.bias
torch.Size([256])
m11.weight
torch.Size([256, 256])
m11.bias
torch.Size([256])
m12.weight
torch.Size([256, 256])
m12.bias
torch.Size([256])
m2.weight
torch.Size([7, 256])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 256])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([256])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 256])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([256])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 256])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([256, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([256])
Epoch: 1, Runtime: 1.4596, Loss: 1.960, forward nfe 88, backward nfe 0, tmp_train: 0.8643, tmp_val: 0.5706, tmp_test: 0.5766, Train: 0.8643, Val: 0.5706, Test: 0.5766, Best time: 2.1200
Epoch: 2, Runtime: 0.5737, Loss: 1.778, forward nfe 264, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.7721, tmp_test: 0.7624, Train: 0.9357, Val: 0.7721, Test: 0.7624, Best time: 2.1200
Epoch: 3, Runtime: 0.5298, Loss: 1.495, forward nfe 440, backward nfe 0, tmp_train: 0.9357, tmp_val: 0.6566, tmp_test: 0.6660, Train: 0.9357, Val: 0.7721, Test: 0.7624, Best time: 2.1200
Epoch: 4, Runtime: 0.4958, Loss: 1.001, forward nfe 616, backward nfe 0, tmp_train: 0.9643, tmp_val: 0.7949, tmp_test: 0.7827, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 5, Runtime: 0.4964, Loss: 0.548, forward nfe 792, backward nfe 0, tmp_train: 0.9286, tmp_val: 0.6632, tmp_test: 0.6528, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 6, Runtime: 0.5753, Loss: 0.641, forward nfe 968, backward nfe 0, tmp_train: 0.9500, tmp_val: 0.7941, tmp_test: 0.7695, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 7, Runtime: 0.5093, Loss: 0.355, forward nfe 1144, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.7324, tmp_test: 0.7188, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 8, Runtime: 0.4926, Loss: 0.343, forward nfe 1320, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6993, tmp_test: 0.6944, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 9, Runtime: 0.5312, Loss: 0.265, forward nfe 1496, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7029, tmp_test: 0.6843, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 10, Runtime: 0.5572, Loss: 0.219, forward nfe 1672, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6691, tmp_test: 0.6640, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 11, Runtime: 0.5091, Loss: 0.313, forward nfe 1848, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6860, tmp_test: 0.6802, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 12, Runtime: 0.4862, Loss: 0.301, forward nfe 2024, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7221, tmp_test: 0.6995, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 13, Runtime: 0.5750, Loss: 0.152, forward nfe 2200, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7162, tmp_test: 0.6873, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 14, Runtime: 0.5343, Loss: 0.319, forward nfe 2376, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7147, tmp_test: 0.6731, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 15, Runtime: 0.4741, Loss: 0.141, forward nfe 2552, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7000, tmp_test: 0.6792, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 16, Runtime: 0.5426, Loss: 0.249, forward nfe 2728, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6838, tmp_test: 0.6650, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 17, Runtime: 0.5411, Loss: 0.324, forward nfe 2904, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6662, tmp_test: 0.6721, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 18, Runtime: 0.5032, Loss: 0.295, forward nfe 3080, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6632, tmp_test: 0.6650, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 19, Runtime: 0.4909, Loss: 0.348, forward nfe 3256, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6779, tmp_test: 0.6802, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 20, Runtime: 0.5378, Loss: 0.339, forward nfe 3432, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6824, tmp_test: 0.6711, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 21, Runtime: 0.5022, Loss: 0.274, forward nfe 3608, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6868, tmp_test: 0.6650, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 22, Runtime: 0.4800, Loss: 0.225, forward nfe 3784, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6772, tmp_test: 0.6579, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 23, Runtime: 0.5658, Loss: 0.279, forward nfe 3960, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6684, tmp_test: 0.6660, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
Epoch: 24, Runtime: 0.5096, Loss: 0.340, forward nfe 4136, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6779, tmp_test: 0.6721, Train: 0.9643, Val: 0.7949, Test: 0.7827, Best time: 2.1200
